PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"DeShaun Foster, RB",CAR,227,897,4.0,43,3,3,64.1,3,49
"Shaun Alexander, RB",SEA,252,896,3.6,33,2,7,89.6,5,53
"Corey Dillon, RB",NE,199,812,4.1,50,3,13,50.8,2,48
"Cadillac Williams, RB",TB,225,798,3.5,38,4,1,57.0,2,32
"Reuben Droughns, RB",CLE,220,758,3.4,22,1,4,54.1,5,38
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Laurence Maroney, RB",NE,175,745,4.3,41,7,6,53.2,1,40
"Kevin Jones, RB",DET,181,689,3.8,52,5,6,57.4,4,31
"Mike Bell, RB",DEN,157,677,4.3,48,3,8,45.1,1,40
"Justin Fargas, RB",OAK,178,659,3.7,48,1,1,41.2,1,27
"Marion Barber, RB",DAL,135,654,4.8,25,4,14,40.9,0,46
"Leon Washington, RB",NYJ,151,650,4.3,23,2,4,40.6,1,33
"Cedric Benson, RB",CHI,157,647,4.1,30,2,6,43.1,0,33
"Dominic Rhodes, RB",IND,187,641,3.4,17,0,5,40.1,2,38
"Jerious Norwood, RB",ATL,99,633,6.4,78,4,2,45.2,0,27
"Ron Dayne, RB",HOU,151,612,4.1,19,0,5,55.6,1,39
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Maurice Morris, RB",SEA,161,604,3.8,29,4,0,37.8,1,33
"Reggie Bush, RB",NO,155,565,3.6,18,0,6,35.3,2,27
"Vince Young, QB",TEN,83,552,6.7,39,6,7,36.8,6,31
"Clinton Portis, RB",WSH,127,523,4.1,38,3,7,65.4,0,29
"Michael Turner, RB",SD,80,502,6.3,73,7,2,38.6,0,24
"DeAngelo Williams, RB",CAR,121,501,4.1,31,5,1,38.5,1,30
"Wali Lundy, RB",HOU,124,476,3.8,35,4,4,34.0,1,29
"LaMont Jordan, RB",OAK,114,434,3.8,59,2,2,48.2,0,17
"Brandon Jacobs, RB",NYG,96,423,4.4,16,0,9,28.2,2,33
"Vernand Morency, RB",GB/HOU,91,421,4.6,39,4,2,32.4,2,24
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Sammy Morris, RB",MIA,92,400,4.3,55,2,1,33.3,2,17
"Anthony Thomas, RB",BUF,107,378,3.5,19,0,2,23.6,1,15
"Cedric Houston, RB",NYJ,113,374,3.3,31,2,5,46.8,0,20
"Kevan Barlow, RB",NYJ,131,370,2.8,12,0,6,30.8,1,19
"Correll Buckhalter, RB",PHI,83,345,4.2,20,1,2,21.6,1,16
"David Garrard, QB",JAX,47,250,5.3,20,1,0,22.7,2,20
"Michael Pittman, RB",TB,50,245,4.9,32,1,1,15.3,1,12
"LenDale White, RB",TEN,61,244,4.0,26,1,0,18.8,0,13
"Najeh Davenport, RB",PIT,60,221,3.7,48,2,1,17.0,1,9
"Samkon Gado, RB",GB/HOU,54,217,4.0,34,3,1,27.1,1,9
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Charlie Frye, QB",CLE,47,215,4.6,17,0,3,16.5,2,17
"Donovan McNabb, QB",PHI,32,212,6.6,37,2,3,21.2,2,14
"Michael Bennett, RB",KC,36,200,5.6,41,2,0,18.2,1,8
"David Carr, QB",HOU,53,195,3.7,16,0,2,12.2,5,16
"Artose Pinner, RB",MIN,43,190,4.4,21,1,3,15.8,1,11
"Jason Wright, RB",CLE,62,189,3.0,18,0,0,14.5,1,8
"Mike Anderson, RB",BAL,39,183,4.7,34,2,1,11.4,0,10
"Stephen Davis, RB",STL,40,177,4.4,16,0,0,11.8,1,10
"Mike Alstott, FB",TB,60,171,2.9,17,0,3,10.7,1,17
"Zack Crockett, RB",OAK,39,163,4.2,17,0,0,10.2,2,14
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Bruce Gradkowski, QB",TB,41,161,3.9,14,0,0,12.4,4,12
"Arlen Harris, RB",DET,49,158,3.2,20,1,1,15.8,0,8
"Jon Kitna, QB",DET,34,156,4.6,18,0,2,9.8,3,9
"Chris Brown, RB",TEN,41,156,3.8,21,1,0,31.2,1,8
"Musa Smith, RB",BAL,36,153,4.3,30,1,0,12.8,1,7
"Noah Herron, RB",GB,37,150,4.1,19,0,1,9.4,0,7
"Mack Strong, FB",SEA,33,149,4.5,17,0,1,9.3,0,12
"Alex Smith, QB",SF,44,147,3.3,22,1,2,9.2,4,12
"Lorenzo Neal, FB",SD,29,140,4.8,43,1,1,8.8,1,21
"J.P. Losman, QB",BUF,38,140,3.7,15,0,1,8.8,6,14
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Kenny Watson, RB",CIN,25,138,5.5,18,0,1,8.6,0,6
"T.J. Duckett, RB",WSH,38,132,3.5,19,0,2,13.2,1,9
"Mewelde Moore, RB",MIN,24,131,5.5,15,0,0,8.2,0,3
"Aaron Brooks, QB",OAK,22,124,5.6,23,1,0,15.5,4,5
"Kevin Faulk, RB",NE,25,123,4.9,11,0,1,8.2,0,6
"Chris Taylor, RB",HOU,28,123,4.4,17,0,1,30.8,0,7
"Javon Walker, WR",DEN,9,123,13.7,72,2,1,7.7,0,4
"Seneca Wallace, QB",SEA,12,122,10.2,37,2,0,15.3,2,5
"Steve McNair, QB",BAL,45,119,2.6,19,0,1,7.4,4,16
"Antwaan Randle El, WR",WSH,19,118,6.2,20,2,0,7.4,0,4
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Heath Evans, FB",NE,27,117,4.3,35,1,0,7.3,1,9
"Michael Robinson, FB",SF,38,116,3.1,33,1,2,7.3,0,5
"Jake Plummer, QB",DEN,36,112,3.1,19,0,1,7.0,3,10
"Matt Hasselbeck, QB",SEA,18,110,6.1,19,0,0,9.2,1,7
"Chad Pennington, QB",NYJ,35,109,3.1,15,0,0,6.8,1,12
"Jason Campbell, QB",WSH,24,107,4.5,15,0,0,15.3,1,8
"Justin Griffith, FB",ATL,19,106,5.6,21,1,1,6.6,2,2
"Brad Smith, WR",NYJ,18,103,5.7,32,2,0,6.4,0,11
"Tom Brady, QB",NE,49,102,2.1,22,1,0,6.4,1,13
"Tony Romo, QB",DAL,34,102,3.0,16,0,0,6.4,3,9
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Ciatrick Fason, RB",MIN,18,99,5.5,15,0,1,19.8,0,6
"Ben Roethlisberger, QB",PIT,32,98,3.1,20,1,2,6.5,2,11
"Chris Chambers, WR",MIA,8,95,11.9,39,1,0,5.9,0,4
"Bryan Gilmore, WR",SF,7,94,13.4,22,3,0,5.9,1,5
"Aveion Cason, RB",DET,24,94,3.9,16,0,0,15.7,0,4
"Alvin Pearman, RB",JAX,19,89,4.7,12,0,1,6.8,0,4
"Jeff Garcia, QB",PHI,25,87,3.5,12,0,0,10.9,2,8
"Brad Johnson, QB",MIN,29,82,2.8,10,0,1,5.5,2,7
"Santana Moss, WR",WSH,7,82,11.7,35,2,0,5.9,1,3
"Maurice Hicks, RB",SF,29,82,2.8,9,0,0,5.1,0,4
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Cecil Sapp, FB",DEN,10,80,8.0,28,2,0,7.3,0,4
"Verron Haynes, FB",PIT,15,78,5.2,13,0,0,11.1,1,4
"Tarvaris Jackson, QB",MIN,15,77,5.1,13,0,1,19.3,0,4
"Travis Minor, RB",MIA,19,74,3.9,9,0,0,4.6,0,3
"Brad Hoover, FB",CAR,22,73,3.3,17,0,1,4.6,1,10
"ReShard Lee, RB",OAK,21,72,3.4,13,0,2,4.5,1,6
"Ryan Moats, RB",PHI,22,69,3.1,13,0,0,8.6,0,5
"Damien Nash, RB",DEN,18,66,3.7,26,2,0,22.0,0,2
"Steve Smith Sr., WR",CAR,8,61,7.6,24,2,1,4.4,1,3
"Jerome Harrison, RB",CLE,20,60,3.0,15,0,0,6.0,1,4
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Trent Green, QB",KC,19,59,3.1,10,0,0,7.4,1,5
"Earnest Graham, RB",TB,11,59,5.4,17,0,0,3.7,0,3
"Chris Perry, RB",CIN,10,57,5.7,18,0,0,9.5,0,3
"Jeremi Johnson, FB",CIN,15,56,3.7,15,0,1,3.5,0,3
"Nick Goings, RB",CAR,11,52,4.7,28,1,0,4.7,0,2
"Mike Sellers, FB",WSH,12,51,4.3,13,0,0,3.2,0,7
"Ovie Mughelli, FB",BAL,12,50,4.2,12,0,0,3.1,0,4
"Philip Rivers, QB",SD,48,49,1.0,15,0,0,3.1,5,8
"Matt Leinart, QB",ARI,22,49,2.2,14,0,2,4.1,4,6
"Derek Anderson, QB",CLE,4,47,11.8,33,1,0,9.4,1,2
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Marc Bulger, QB",STL,18,44,2.4,29,1,0,2.8,2,5
"Derrick Blaylock, RB",NYJ,25,44,1.8,6,0,0,11.0,0,0
"Marcel Shipp, RB",ARI,17,41,2.4,9,0,4,2.7,0,8
"Adrian Peterson, RB",CHI,10,41,4.1,11,0,2,2.6,0,5
"Byron Leftwich, QB",JAX,25,41,1.6,7,0,2,6.8,2,5
"Michael Clayton, WR",TB,5,41,8.2,27,1,0,3.4,1,2
"Obafemi Ayanbadejo, RB",ARI,9,37,4.1,11,0,0,2.6,0,5
"Carson Palmer, QB",CIN,26,37,1.4,11,0,0,2.3,2,6
"Peyton Manning, QB",IND,23,36,1.6,12,0,4,2.3,0,7
"Mark Brunell, QB",WSH,13,34,2.6,12,0,0,3.4,4,4
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Kyle Boller, QB",BAL,22,34,1.5,10,0,0,6.8,3,3
"Reggie Williams, WR",JAX,7,33,4.7,10,0,0,2.1,1,3
"Mike Karney, FB",NO,11,33,3.0,8,0,1,2.2,0,7
"Dennis Northcutt, WR",CLE,3,32,10.7,16,0,0,2.5,1,1
"Drew Brees, QB",NO,42,32,0.8,16,0,0,2.0,3,3
"Hines Ward, WR",PIT,2,30,15.0,21,1,0,2.1,0,1
"Deion Branch, WR",SEA,4,30,7.5,19,0,0,2.1,0,1
"Kyle Johnson, RB",DEN,5,30,6.0,15,0,0,2.1,0,1
"Andrew Walter, QB",OAK,14,30,2.1,12,0,0,2.5,7,2
"Tyson Thompson, RB",DAL,13,30,2.3,7,0,1,4.3,0,1
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Brett Favre, QB",GB,23,29,1.3,14,0,1,1.8,2,4
"Marques Tuiasosopo, QB",OAK,4,29,7.3,11,0,0,14.5,1,2
"Maurice Stovall, WR",TB,2,29,14.5,18,0,0,3.2,0,2
"Jamaal Branch, RB",NO,10,29,2.9,9,0,0,29.0,0,2
"Drew Bledsoe, QB",DAL,8,28,3.5,11,0,2,4.7,1,6
"Tim Dwight, WR",NYJ,2,28,14.0,28,1,0,3.1,0,1
"Anquan Boldin, WR",ARI,5,28,5.6,18,0,0,1.8,1,2
"Quinn Gray, QB",JAX,2,26,13.0,17,0,2,13.0,0,2
"Lee Suggs, RB",MIA,6,26,4.3,7,0,0,6.5,0,0
"Arnaz Battle, WR",SF,5,25,5.0,18,0,0,1.6,0,2
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Andrew Pinnock, RB",SD,4,25,6.3,15,0,0,8.3,0,1
"Jerricho Cotchery, WR",NYJ,5,25,5.0,10,0,0,1.6,0,1
"Chad Johnson, WR",CIN,6,24,4.0,8,0,0,1.5,0,0
"Dee Brown, RB",KC,10,24,2.4,7,0,0,1.6,1,0
"Joey Harrington, QB",MIA,19,24,1.3,7,0,0,2.2,1,6
"Reggie Brown, WR",PHI,3,24,8.0,15,0,1,1.5,0,1
"Eric Shelton, RB",CAR,8,23,2.9,9,0,0,2.6,0,1
"Chad Morton, RB",NYG,1,22,22.0,22,1,0,1.5,0,1
"LaBrandon Toefield, RB",JAX,10,22,2.2,12,0,0,5.5,0,1
"Chad Jackson, WR",NE,4,22,5.5,14,0,0,1.8,0,2
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Patrick Pass, FB",NE,6,21,3.5,6,0,0,7.0,1,1
"Eli Manning, QB",NYG,25,21,0.8,9,0,0,1.3,2,5
"Matt Schaub, QB",ATL,7,21,3.0,19,0,0,1.3,1,2
"Ahmard Hall, FB",TEN,7,21,3.0,11,0,0,1.5,0,3
"Daunte Culpepper, QB",MIA,10,20,2.0,7,0,1,5.0,0,2
"Matt Turk, P",STL,2,19,9.5,16,0,0,1.2,1,1
"Marty Booker, WR",MIA,3,19,6.3,18,0,0,1.4,0,1
"Eric Parker, WR",SD,2,19,9.5,18,0,0,1.3,0,1
"Ronnie Cruz, RB",KC,5,19,3.8,7,0,0,3.8,0,0
"J.J. Arrington, RB",ARI,14,19,1.4,9,0,0,1.2,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Brian Calhoun, RB",DET,7,19,2.7,7,0,0,2.7,1,0
"Troy Brown, WR",NE,2,18,9.0,16,0,0,1.1,0,1
"Peerless Price, WR",BUF,5,18,3.6,9,0,0,1.1,0,1
"Jameel Cook, FB",HOU,3,18,6.0,14,0,0,1.6,0,2
"Jason McKie, FB",CHI,8,18,2.3,7,0,0,1.2,0,0
"Reno Mahe, RB",PHI,4,18,4.5,11,0,0,1.5,0,0
"Drew Carter, WR",CAR,2,18,9.0,11,0,0,1.3,0,1
"Lousaka Polite, FB",DAL,7,18,2.6,4,0,0,1.5,0,1
"Roscoe Parrish, WR",BUF,2,18,9.0,11,0,0,1.1,0,1
"John Kuhn, RB",PIT,2,18,9.0,16,0,0,2.0,0,1
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Jay Cutler, QB",DEN,12,18,1.5,9,0,0,3.6,5,0
"Eddie Kennison, WR",KC,4,16,4.0,9,0,0,1.0,0,0
"Donald Driver, WR",GB,7,16,2.3,16,0,0,1.0,0,2
"Chris Weinke, QB",CAR,4,16,4.0,13,0,0,5.3,1,1
"Vincent Jackson, WR",SD,3,16,5.3,8,0,0,1.0,0,0
"Charlie Batch, QB",PIT,13,15,1.2,12,0,0,1.9,1,1
"Rock Cartwright, RB",WSH,5,15,3.0,9,0,0,0.9,1,0
"Jim Finn, FB",NYG,2,14,7.0,12,0,0,0.9,0,1
"Laveranues Coles, WR",NYJ,2,14,7.0,15,0,0,0.9,0,1
"Terrelle Smith, FB",CLE,8,14,1.8,3,0,0,0.9,0,1
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Cedrick Wilson, WR",PIT,2,14,7.0,14,0,0,0.9,1,1
"Andre Johnson, WR",HOU,3,14,4.7,18,0,0,0.9,0,1
"Devery Henderson, WR",NO,2,14,7.0,11,0,1,1.1,0,2
"Dane Looker, WR",STL,1,13,13.0,13,0,0,0.8,0,1
"Josh Reed, WR",BUF,4,13,3.3,15,0,0,1.0,0,2
"Vernand Morency, RB",GB/HOU,5,13,2.6,12,0,0,13.0,0,2
"Bo Scaife, TE",TEN,1,13,13.0,13,0,1,0.9,0,1
"Santonio Holmes, WR",PIT,1,13,13.0,13,0,0,0.8,0,1
"Charlie Whitehurst, QB",SD,2,13,6.5,14,0,1,6.5,0,1
"Fred McAfee, RB",NO,3,12,4.0,6,0,1,3.0,0,1
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Tony Richardson, FB",MIN,5,12,2.4,3,0,0,1.3,0,2
"Jake Delhomme, QB",CAR,18,12,0.7,12,0,0,0.9,0,2
"Mike Jennings, WR",NYG,2,12,6.0,21,1,0,1.5,0,1
"Brandon Marshall, WR",DEN,2,12,6.0,6,0,0,0.8,0,1
"Terry Glenn, WR",DAL,3,11,3.7,22,1,0,0.7,0,1
"Dante Hall, WR",KC,3,11,3.7,9,0,0,0.7,0,0
"Aaron Stecker, RB",NO,4,11,2.8,4,0,0,0.9,0,0
"B.J. Askew, FB",NYJ,6,11,1.8,5,0,0,0.8,0,1
"Aaron Rodgers, QB",GB,2,11,5.5,6,0,0,5.5,0,1
"Joshua Cribbs, WR",CLE,2,11,5.5,9,0,0,0.7,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Kellen Clemens, QB",NYJ,2,10,5.0,8,0,0,5.0,0,0
"Joey Galloway, WR",TB,2,9,4.5,7,0,0,0.6,0,0
"Damon Huard, QB",KC,9,9,1.0,8,0,0,0.9,4,0
"Tony Fisher, RB",STL,6,9,1.5,4,0,0,1.1,0,0
"Cedric Cobbs, RB",DEN,3,9,3.0,5,0,0,4.5,0,0
"Thomas Tapeh, RB",PHI,5,9,1.8,4,0,0,0.6,0,2
"Keylon Kincade, RB",DAL,4,9,2.3,7,0,0,9.0,0,0
"Kay-Jay Harris, RB",STL/MIA,3,9,3.0,9,0,0,1.3,0,0
"Keenan McCardell, WR",SD,1,8,8.0,8,0,0,0.6,0,0
"Moran Norris, RB",SF,2,8,4.0,4,0,0,0.6,0,1
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Bethel Johnson, WR",MIN/NO,4,8,2.0,5,0,0,0.7,0,0
"Terrance Copper, WR",NO,1,8,8.0,8,0,0,0.5,0,1
"Kelvin Kight, WR",NE,1,8,8.0,8,0,0,2.0,0,0
"Adam Jones, DB",TEN,2,8,4.0,7,0,0,0.5,0,1
"Nate Washington, WR",PIT,3,8,2.7,8,0,0,0.5,0,1
"Marquis Weeks, RB",SEA,3,8,2.7,3,0,0,0.8,0,0
"Reggie McNeal, WR",CIN,1,8,8.0,8,0,0,1.1,0,1
"Derrick Ross, RB",KC,3,8,2.7,4,0,0,1.1,0,0
"Chris Simms, QB",TB,4,7,1.8,3,0,1,2.3,0,1
"Cleo Lemon, QB",MIA,3,7,2.3,6,0,0,1.8,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Samie Parker, WR",KC,3,7,2.3,5,0,0,0.4,0,0
"Braylon Edwards, WR",CLE,3,7,2.3,8,0,0,0.4,0,1
"Eric Moulds, WR",HOU,1,6,6.0,6,0,0,0.4,0,0
"T.J. Houshmandzadeh, WR",CIN,3,6,2.0,13,0,0,0.4,0,1
"Travis Taylor, WR",MIN,1,5,5.0,5,0,0,0.3,0,0
"Dan Kreider, FB",PIT,1,5,5.0,5,0,0,0.3,0,0
"Sage Rosenfels, QB",HOU,4,5,1.3,7,0,0,1.3,0,0
"Reche Caldwell, WR",NE,1,5,5.0,5,0,0,0.3,0,0
"Edell Shepherd, WR",HOU,2,5,2.5,6,0,0,0.7,0,0
"Bernard Berrian, WR",CHI,2,5,2.5,5,0,0,0.3,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Rich Alexis, RB",STL/JAX,3,5,1.7,3,0,0,5.0,0,0
"Vernon Davis, TE",SF,2,5,2.5,9,0,0,0.5,0,0
"A.J. Schable, DE",ARI,1,5,5.0,5,0,0,0.5,0,1
"Keyshawn Johnson, WR",CAR,1,4,4.0,4,0,1,0.3,0,1
"Bobby Engram, WR",SEA,1,4,4.0,4,0,0,0.6,0,0
"Alvis Whitted, WR",OAK,1,4,4.0,4,0,0,0.3,0,0
"Ronald Curry, WR",OAK,1,4,4.0,4,0,0,0.3,0,0
"Eddie Drummond, WR",DET,1,4,4.0,4,0,0,0.3,0,0
"Kevin Curtis, WR",STL,4,4,1.0,7,0,0,0.3,0,1
"Ran Carthon, RB",DET/IND,3,4,1.3,3,0,1,1.3,0,1
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Tab Perry, WR",CIN,2,4,2.0,2,0,0,2.0,0,0
"Matt Cassel, QB",NE,2,4,2.0,5,0,0,0.7,0,1
"Jarrad Page, S",KC,1,4,4.0,4,0,0,0.3,0,1
"Kurt Warner, QB",ARI,13,3,0.2,9,0,0,0.5,3,3
"Tim Rattay, QB",TB,4,3,0.8,4,0,0,0.8,1,1
"A.J. Feeley, QB",PHI,1,3,3.0,3,0,0,1.5,0,0
"David Givens, WR",TEN,1,3,3.0,3,0,0,0.6,0,0
"Kevin Walter, WR",HOU,1,3,3.0,3,0,0,0.2,0,1
"Courtney Roby, WR",TEN,1,3,3.0,3,0,0,0.3,0,0
"Brandon Jones, WR",TEN,1,3,3.0,3,0,0,0.2,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Derrick Wimbush, FB",JAX,1,3,3.0,3,0,0,0.3,0,0
"Tony Scheffler, TE",DEN,1,3,3.0,3,0,0,0.2,0,0
"Devale Ellis, WR",DET,2,3,1.5,12,0,0,0.3,0,1
"Jason Elam, PK",DEN,1,2,2.0,2,0,0,0.1,0,1
"Marlion Jackson, RB",ATL,1,2,2.0,2,0,0,2.0,0,0
"Brian Moorman, P",BUF,2,2,1.0,2,0,0,0.1,1,1
"Lamar Gordon, RB",DET,1,2,2.0,2,0,0,2.0,0,0
"Rex Grossman, QB",CHI,24,2,0.1,22,1,0,0.1,3,4
"Roy Williams, WR",DET,2,2,1.0,2,0,0,0.1,0,0
"Michael Jenkins, WR",ATL,1,2,2.0,2,0,0,0.1,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Quincy Wilson, RB",CIN,2,2,1.0,5,0,0,0.7,0,0
"Shaud Williams, RB",BUF,2,2,1.0,2,0,0,0.4,0,0
"Jared Lorenzen, QB",NYG,1,2,2.0,2,0,0,1.0,0,1
"Madison Hedgecock, FB",STL,1,2,2.0,2,0,0,0.1,0,1
"Lawrence Vickers, FB",CLE,3,2,0.7,2,0,0,0.1,0,0
"Brett Basanez, QB",CAR,1,2,2.0,2,0,0,2.0,0,0
"Az-Zahir Hakim, WR",DET/SD,1,1,1.0,1,0,0,0.2,0,0
"Shawn Bryson, RB",DET,2,1,0.5,1,0,0,0.2,0,0
"Brandon Manumaleuna, TE",SD,1,1,1.0,1,0,0,0.1,0,0
"Amani Toomer, WR",NYG,1,0,0.0,0,0,0,0.0,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Jason Simmons, DB",HOU,1,0,0.0,0,0,0,0.0,0,0
"Chad Stanley, P",HOU,1,0,0.0,0,0,0,0.0,1,0
"Dirk Johnson, P",PHI,1,0,0.0,0,0,0,0.0,0,0
"Donnie Nickey, S",TEN,1,0,0.0,0,0,0,0.0,1,0
"Mat McBriar, P",DAL,1,0,0.0,0,0,0,0.0,1,0
"Donnie Jones, P",MIA,1,0,0.0,0,0,0,0.0,1,0
"Dustin Colquitt, P",KC,1,0,0.0,0,0,0,0.0,1,0
"Ryan Fitzpatrick, QB",STL,3,0,0.0,2,0,0,0.0,0,1
"Ben Graham, P",NYJ,1,0,0.0,0,0,0,0.0,1,0
"Bryant McFadden, CB",PIT,1,-2,-2.0,-2,0,0,-0.1,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Billy Volek, QB",TEN/SD,3,-3,-1.0,-1,0,0,-3.0,0,0
"Bryant Johnson, WR",ARI,1,-3,-3.0,-3,0,0,-0.2,0,0
"Brodie Croyle, QB",KC,3,-3,-1.0,-1,0,0,-1.5,0,0
"Derrick Mason, WR",BAL,1,-4,-4.0,-4,0,0,-0.3,0,0
"Adam Jennings, WR",ATL,1,-4,-4.0,-4,0,0,-0.3,0,0
"Rod Smith, WR",DEN,1,-5,-5.0,-5,0,0,-0.3,0,0
"Brian Griese, QB",CHI,6,-5,-0.8,0,0,0,-0.8,1,0
"Ingle Martin, QB",GB,2,-5,-2.5,-2,0,0,-5.0,0,0
"Mike Scifres, P",SD,1,-7,-7.0,-7,0,0,-0.4,0,0
"Samkon Gado, RB",GB/HOU,2,-7,-3.5,-3,0,0,-7.0,0,0
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Vinny Testaverde, QB",NE,8,-8,-1.0,-1,0,0,-2.7,0,0
"Robert Royal, TE",BUF,1,-9,-9.0,-9,0,0,-0.6,0,0
"Jon Ryan, P",GB,1,-11,-11.0,-11,0,0,-0.7,0,0
"Anthony Wright, QB",CIN,4,-12,-3.0,-1,0,0,-3.0,0,0
"Matt Jones, WR",JAX,2,-15,-7.5,-6,0,0,-1.1,0,0
"Mark Clayton, WR",BAL,7,-30,-4.3,3,0,0,-1.9,0,0
