PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Jamal Lewis, RB",BAL,387,"2,066",5.3,82,16,14,129.1,8,83
"Ahman Green, RB",GB,355,"1,883",5.3,98,15,15,117.7,7,96
"LaDainian Tomlinson, RB",SD,313,"1,645",5.3,73,12,13,102.8,2,81
"Deuce McAllister, RB",NO,351,"1,641",4.7,76,16,8,102.6,6,69
"Clinton Portis, RB",DEN,290,"1,591",5.5,65,13,14,122.4,3,76
"Fred Taylor, RB",JAX,345,"1,572",4.6,62,10,6,98.3,5,77
"Stephen Davis, RB",CAR,318,"1,444",4.5,40,11,8,103.1,3,69
"Shaun Alexander, RB",SEA,326,"1,435",4.4,55,9,14,89.7,4,79
"Priest Holmes, RB",KC,320,"1,420",4.4,31,6,27,88.8,1,88
"Ricky Williams, RB",MIA,392,"1,372",3.5,45,6,9,85.8,4,68
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Travis Henry, RB",BUF,331,"1,356",4.1,64,5,10,90.4,7,76
"Curtis Martin, RB",NYJ,323,"1,308",4.1,56,5,2,81.8,2,53
"Edgerrin James, RB",IND,310,"1,259",4.1,43,3,11,96.8,5,83
"Tiki Barber, RB",NYG,278,"1,216",4.4,27,4,2,76.0,6,66
"Eddie George, RB",TEN,312,"1,031",3.3,27,2,5,64.4,0,52
"Domanick Williams, RB",HOU,238,"1,031",4.3,51,5,8,73.6,2,47
"Anthony Thomas, RB",CHI,244,"1,024",4.2,67,7,6,78.8,1,46
"Kevan Barlow, RB",SF,201,"1,024",5.1,78,6,6,64.0,4,44
"Troy Hambrick, RB",DAL,275,972,3.5,42,3,5,60.8,4,57
"Rudi Johnson, RB",CIN,215,957,4.5,54,5,9,73.6,0,48
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Marcel Shipp, RB",ARI,228,830,3.6,36,3,0,51.9,3,37
"Marshall Faulk, RB",STL,209,818,3.9,52,5,10,74.4,0,49
"Jerome Bettis, RB",PIT,246,811,3.3,21,2,7,50.7,4,43
"T.J. Duckett, RB",ATL,197,779,4.0,55,5,11,48.7,3,39
"Garrison Hearst, RB",SF,178,768,4.3,36,3,3,64.0,2,38
"Michael Pittman, RB",TB,187,751,4.0,17,0,0,46.9,2,37
"Moe Williams, RB",MIN,174,745,4.3,61,2,5,46.6,2,43
"Tyrone Wheatley, RB",OAK,159,678,4.3,41,4,4,45.2,2,31
"Warrick Dunn, RB",ATL,125,672,5.4,69,7,3,61.1,1,27
"Antowain Smith, RB",NE,182,642,3.5,30,3,3,49.4,0,31
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Kevin Faulk, RB",NE,178,638,3.6,23,1,0,42.5,3,28
"Thomas Jones, RB",TB,137,627,4.6,61,2,3,39.2,3,25
"Brian Westbrook, RB",PHI,117,613,5.2,62,6,7,40.9,0,27
"Shawn Bryson, RB",DET,158,606,3.8,39,4,3,37.9,2,31
"Trung Canidate, RB",WSH,142,600,4.2,38,3,1,54.5,1,27
"Onterrio Smith, RB",MIN,107,579,5.4,47,4,5,38.6,1,28
"William Green, RB",CLE,142,559,3.9,26,2,1,79.9,5,30
"Charlie Garner, RB",OAK,120,553,4.6,33,4,3,39.5,1,27
"Correll Buckhalter, RB",PHI,126,542,4.3,64,4,8,36.1,3,28
"Corey Dillon, RB",CIN,138,541,3.9,39,3,2,41.6,0,24
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Duce Staley, RB",PHI,96,463,4.8,22,1,5,28.9,1,22
"Michael Bennett, RB",MIN,90,447,5.0,28,3,1,55.9,2,17
"Amos Zereoue, RB",PIT,132,433,3.3,22,1,2,27.1,0,22
"DeShaun Foster, RB",CAR,113,429,3.8,21,1,0,30.6,1,22
"Daunte Culpepper, QB",MIN,73,422,5.8,42,1,4,30.1,5,28
"Najeh Davenport, RB",GB,77,420,5.5,76,4,2,28.0,4,18
"Rock Cartwright, RB",WSH,107,411,3.8,22,2,4,27.4,1,36
"Olandis Gary, RB",DET,113,384,3.4,27,2,2,29.5,1,19
"James Jackson, RB",CLE,102,382,3.7,18,0,3,31.8,3,22
"Donovan McNabb, QB",PHI,71,355,5.0,34,3,3,22.2,4,26
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Quentin Griffin, RB",DEN,94,345,3.7,23,2,0,34.5,3,14
"Jeff Garcia, QB",SF,56,319,5.7,21,2,7,24.5,5,23
"Richie Anderson, FB",DAL,70,306,4.4,19,0,1,20.4,0,16
"Lamar Gordon, RB",STL,71,298,4.2,20,1,1,29.8,1,21
"Kordell Stewart, QB",CHI,59,290,4.9,25,1,3,32.2,3,24
"Lee Suggs, RB",CLE,56,289,5.2,78,2,2,41.3,2,13
"Chester Taylor, RB",BAL,63,276,4.4,32,2,2,17.3,1,12
"Jamel White, RB",CLE,70,266,3.8,23,2,1,16.6,1,15
"Mike Anderson, RB",DEN,70,257,3.7,44,2,3,21.4,2,15
"Quincy Carter, QB",DAL,68,257,3.8,19,0,2,16.1,3,24
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Emmitt Smith, RB",ARI,90,256,2.8,22,1,2,25.6,2,15
"Michael Vick, QB",ATL,40,255,6.4,43,2,1,51.0,1,14
"Ladell Betts, RB",WSH,77,255,3.3,13,0,2,28.3,0,15
"Arlen Harris, RB",STL,85,255,3.0,18,0,4,15.9,1,16
"Stacey Mack, RB",HOU,93,253,2.7,13,0,4,31.6,1,15
"Maurice Morris, RB",SEA,38,239,6.3,43,1,0,14.9,1,10
"Chris Brown, RB",TEN,56,221,3.9,28,1,0,20.1,1,8
"Aveion Cason, RB",DAL,40,220,5.5,63,2,2,22.0,1,7
"Chad Morton, RB",WSH,48,216,4.5,27,2,0,14.4,0,9
"LaBrandon Toefield, RB",JAX,53,212,4.0,30,1,2,13.3,0,10
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Jake Plummer, QB",DEN,37,205,5.5,40,3,3,18.6,1,16
"Justin Fargas, RB",OAK,40,203,5.1,53,1,0,20.3,1,10
"Robert Holcombe, FB",TEN,63,201,3.2,21,2,1,13.4,2,11
"Tony Fisher, RB",GB,40,200,5.0,19,0,1,13.3,0,9
"Dorsey Levens, RB",NYG,68,197,2.9,17,0,3,17.9,0,14
"Travis Minor, RB",MIA,41,193,4.7,26,1,1,12.1,0,13
"Brock Forsey, RB",CHI,50,191,3.8,17,0,2,17.4,0,12
"LaMont Jordan, RB",NYJ,46,190,4.1,39,2,4,11.9,0,14
"Jeff Blake, QB",ARI,30,177,5.9,19,0,2,13.6,4,12
"Aaron Brooks, QB",NO,54,175,3.2,15,0,2,10.9,5,20
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Mack Strong, FB",SEA,37,174,4.7,21,2,1,10.9,1,19
"Brandon Bennett, RB",CIN,56,173,3.1,19,0,0,10.8,1,11
"Doug Flutie, QB",SD,33,168,5.1,17,0,2,24.0,6,12
"Justin Griffith, FB",ATL,38,168,4.4,15,0,0,10.5,0,12
"Josh McCown, QB",ARI,28,158,5.6,16,0,1,19.8,3,8
"Peter Warrick, WR",CIN,18,157,8.7,50,2,0,10.5,0,6
"Dominic Rhodes, RB",IND,37,157,4.2,25,1,0,14.3,0,6
"Ricky Williams, RB",IND,48,155,3.2,19,0,2,11.9,1,6
"David Carr, QB",HOU,27,151,5.6,36,1,2,12.6,2,11
"Zack Crockett, RB",OAK,48,145,3.0,44,1,7,9.1,1,19
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Chris Fuamatu-Ma'afala, RB",JAX,35,144,4.1,18,0,1,11.1,0,12
"Steve McNair, QB",TEN,38,138,3.6,23,1,4,9.9,5,9
"Jamal Robertson, RB",SF,32,136,4.3,23,2,0,15.1,0,7
"Matt Hasselbeck, QB",SEA,36,125,3.5,18,0,2,7.8,2,10
"Aaron Stecker, RB",TB,37,125,3.4,15,0,0,7.8,0,6
"Mike Cloud, RB",NE,27,118,4.4,42,1,5,23.6,0,12
"Jon Kitna, QB",CIN,38,113,3.0,15,0,0,7.1,1,7
"Joe Burns, RB",BUF,39,113,2.9,12,0,0,7.1,1,3
"Derrick Blaylock, RB",KC,22,112,5.1,25,2,2,7.0,0,7
"Byron Leftwich, QB",JAX,25,108,4.3,18,0,2,7.2,2,10
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Adrian Murrell, RB",DAL,28,107,3.8,17,0,0,35.7,0,5
"Tony Hollings, RB",HOU,38,102,2.7,17,0,0,7.3,1,4
"Artose Pinner, RB",DET,39,99,2.5,12,0,0,33.0,0,3
"Rod Smith, WR",DEN,10,98,9.8,26,2,0,6.5,0,4
"Johnnie Morton, WR",KC,8,94,11.8,39,3,0,5.9,0,3
"Stanley Pritchett, RB",CHI,21,93,4.4,18,0,2,5.8,0,7
"Jay Fiedler, QB",MIA,34,88,2.6,14,0,3,7.3,2,14
"Tim Dwight, WR",SD,9,88,9.8,20,1,0,9.8,0,3
"Joey Harrington, QB",DET,30,86,2.9,26,1,0,5.4,3,7
"Larry Johnson, RB",KC,20,85,4.3,15,0,1,14.2,0,5
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Drew Brees, QB",SD,21,84,4.0,18,0,0,7.6,1,7
"Rick Mirer, QB",OAK,20,83,4.2,20,1,1,9.2,1,5
"Trent Green, QB",KC,26,83,3.2,14,0,2,5.2,1,8
"Dennis Northcutt, WR",CLE,12,83,6.9,23,1,0,5.5,0,4
"Larry Centers, FB",NE,21,82,3.9,13,0,0,9.1,0,2
"Alan Ricard, RB",BAL,19,79,4.2,30,1,0,4.9,0,5
"Mike Alstott, FB",TB,27,77,2.9,29,1,2,19.3,0,10
"James McKnight, WR",MIA,2,75,37.5,68,1,1,5.0,0,1
"Marc Bulger, QB",STL,29,75,2.6,28,1,4,5.0,1,7
"Antwaan Randle El, WR",PIT,15,75,5.0,32,1,0,4.7,2,4
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Anthony Wright, QB",BAL,28,73,2.6,17,0,0,10.4,6,5
"Dante Hall, WR",KC,16,73,4.6,16,0,0,4.6,0,5
"Ki-Jana Carter, RB",NO,19,72,3.8,31,1,1,9.0,0,4
"Kelly Campbell, WR",MIN,10,71,7.1,19,0,0,4.7,1,4
"Sammy Morris, RB",BUF,19,70,3.7,12,0,1,7.8,0,7
"Adrian Peterson, RB",CHI,22,70,3.2,10,0,0,11.7,0,3
"Nick Goings, RB",CAR,10,69,6.9,17,0,0,4.6,0,4
"Damien Anderson, RB",ARI,18,68,3.8,17,0,0,4.3,0,5
"Santana Moss, WR",NYJ,10,67,6.7,25,1,0,4.2,0,3
"Tom Brady, QB",NE,42,63,1.5,11,0,1,3.9,4,11
PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Verron Haynes, FB",PIT,20,63,3.2,15,0,0,5.3,1,3
"Travis Taylor, WR",BAL,11,62,5.6,16,0,0,3.9,0,2
"Patrick Ramsey, QB",WSH,15,62,4.1,24,1,1,5.6,2,3
"Kyle Boller, QB",BAL,30,62,2.1,15,0,0,5.6,4,5
"Lamar Smith, RB",NO,11,61,5.5,17,0,0,15.3,0,4
