PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Antonio Bryant, WR",TB,39,86,600,15.4,4,42,14,46.2,0,137,25
"Roy Williams, WR",DAL,38,88,596,15.7,7,66,9,39.7,1,208,29
"Todd Heap, TE",BAL,53,75,593,11.2,6,31,10,37.1,0,180,33
"Dwayne Bowe, WR",KC,47,87,589,12.5,4,41,8,53.5,1,166,31
"Donnie Avery, WR",STL,47,97,589,12.5,5,50,9,36.8,1,261,28
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Jason Avant, WR",PHI,41,60,587,14.3,3,58,11,36.7,1,200,26
"Muhsin Muhammad, WR",CAR,53,89,581,11.0,1,27,7,41.5,0,131,32
"John Carlson, TE",SEA,51,83,574,11.3,7,42,5,35.9,0,253,27
"Jeremy Shockey, TE",NO,48,68,569,11.9,3,66,6,43.8,0,148,29
"Nate Washington, WR",TEN,47,95,569,12.1,6,35,6,35.6,1,91,34
"Kevin Boss, TE",NYG,42,69,567,13.5,5,35,12,37.8,0,232,26
"Visanthe Shiancoe, TE",MIN,56,78,566,10.1,11,27,4,35.4,0,198,38
"Greg Camarillo, WR",MIA,50,71,552,11.0,0,29,5,34.5,0,112,29
"Braylon Edwards, WR",CLE/NYJ,35,72,541,15.5,4,65,9,45.1,1,160,27
"Antwaan Randle El, WR",WSH,50,75,530,10.6,0,44,4,33.1,1,199,33
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Josh Morgan, WR",SF,52,81,527,10.1,3,61,6,32.9,0,240,20
"Johnny Knox, WR",CHI,45,80,527,11.7,5,68,7,35.1,0,140,22
"Dustin Keller, TE",NYJ,45,82,522,11.6,2,40,7,32.6,1,184,27
"Louis Murphy, WR",OAK,34,96,521,15.3,4,75,6,32.6,0,133,26
"Owen Daniels, TE",HOU,40,57,519,13.0,5,44,8,64.9,1,227,28
"Marcedes Lewis, TE",JAX,32,58,518,16.2,2,47,11,34.5,1,158,20
"Laveranues Coles, WR",CIN,43,77,514,12.0,5,40,8,32.1,0,188,29
"Fred Davis, TE",WSH,48,76,509,10.6,6,29,4,31.8,0,275,31
"Brian Hartline, WR",MIA,31,56,506,16.3,3,67,7,31.6,0,171,26
"Chris Johnson, RB",TEN,50,71,503,10.1,2,69,3,31.4,0,563,18
