PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Muhsin Muhammad, WR",CAR,93,0,"1,405",15.1,16,51,24,87.8,2,0,74
"Joe Horn, WR",NO,94,0,"1,399",14.9,11,57,22,87.4,0,0,73
"Javon Walker, WR",GB,89,0,"1,382",15.5,12,79,19,86.4,2,0,63
"Torry Holt, WR",STL,94,0,"1,372",14.6,10,75,21,85.8,3,0,58
"Isaac Bruce, WR",STL,89,0,"1,292",14.5,6,56,20,80.8,5,0,64
"Chad Johnson, WR",CIN,95,0,"1,274",13.4,9,53,17,79.6,1,0,63
"Tony Gonzalez, TE",KC,102,0,"1,258",12.3,7,32,19,78.6,0,0,69
"Drew Bennett, WR",TEN,80,0,"1,247",15.6,11,48,20,77.9,2,0,62
"Reggie Wayne, WR",IND,77,0,"1,210",15.7,12,71,19,75.6,0,0,59
"Donald Driver, WR",GB,84,0,"1,208",14.4,9,50,16,75.5,1,0,59
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Terrell Owens, WR",PHI,77,0,"1,200",15.6,14,59,20,85.7,2,0,51
"Darrell Jackson, WR",SEA,87,0,"1,199",13.8,7,56,16,74.9,2,0,59
"Michael Clayton, WR",TB,80,0,"1,193",14.9,7,75,19,74.6,0,0,56
"Jimmy Smith, WR",JAX,74,0,"1,172",15.8,6,65,19,73.3,2,0,52
"Derrick Mason, WR",TEN,96,0,"1,168",12.2,7,37,12,73.0,0,0,67
"Rod Smith, WR",DEN,79,0,"1,144",14.5,7,85,14,71.5,1,0,52
"Andre Johnson, WR",HOU,79,0,"1,142",14.5,6,54,18,71.4,1,0,53
"Marvin Harrison, WR",IND,86,0,"1,113",12.9,15,59,16,69.6,1,0,63
"Eddie Kennison, WR",KC,62,0,"1,086",17.5,8,70,18,77.6,1,0,47
"Ashley Lelie, WR",DEN,54,0,"1,084",20.1,7,58,21,67.8,0,0,40
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Brandon Stokley, WR",IND,68,0,"1,077",15.8,10,69,20,67.3,1,0,53
"Eric Moulds, WR",BUF,88,0,"1,043",11.9,5,49,12,65.2,1,0,53
"Nate Burleson, WR",MIN,68,0,"1,006",14.8,9,68,14,62.9,0,0,50
"Hines Ward, WR",PIT,80,0,"1,004",12.6,4,58,15,62.8,1,0,52
"Jerry Porter, WR",OAK,64,0,998,15.6,9,52,17,62.4,2,0,47
"Keyshawn Johnson, WR",DAL,70,0,981,14.0,6,39,15,61.3,1,0,53
"Jason Witten, TE",DAL,87,0,980,11.3,6,42,13,61.3,2,0,44
"T.J. Houshmandzadeh, WR",CIN,73,0,978,13.4,4,62,15,61.1,0,0,49
"Antonio Gates, TE",SD,81,0,964,11.9,13,72,14,64.3,0,0,55
"Laveranues Coles, WR",WSH,90,0,950,10.6,1,45,10,59.4,1,0,52
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Chris Chambers, WR",MIA,69,0,898,13.0,7,76,8,59.9,0,0,46
"David Givens, WR",NE,56,0,874,15.6,3,50,13,58.3,0,0,47
"Lee Evans, WR",BUF,48,0,843,17.6,9,69,12,52.7,1,0,38
"Santana Moss, WR",NYJ,45,0,838,18.6,5,69,13,55.9,0,0,35
"Eric Johnson, TE",SF,82,0,825,10.1,2,25,4,51.6,1,0,45
"Roy Williams, WR",DET,54,0,817,15.1,8,46,15,58.4,1,0,34
"Dennis Northcutt, WR",CLE,55,0,806,14.7,2,58,12,50.4,0,0,25
"David Patten, WR",NE,44,0,800,18.2,7,48,15,50.0,0,0,37
"Johnnie Morton, WR",KC,55,0,795,14.5,3,52,10,61.2,1,0,38
"Randy McMichael, TE",MIA,73,0,791,10.8,4,42,9,49.4,2,0,42
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Larry Fitzgerald, WR",ARI,58,0,780,13.4,8,48,15,48.8,1,0,36
"Alge Crumpler, TE",ATL,48,0,774,16.1,6,49,17,55.3,1,0,32
"Justin McCareins, WR",NYJ,56,0,770,13.8,4,43,10,48.1,1,0,43
"Randy Moss, WR",MIN,49,0,767,15.7,13,82,11,59.0,1,0,43
"Donte' Stallworth, WR",NO,58,0,767,13.2,5,45,13,47.9,0,0,35
"Keary Colbert, WR",CAR,47,0,754,16.0,5,63,14,50.3,1,0,31
"Amani Toomer, WR",NYG,51,0,747,14.6,0,48,8,49.8,1,0,39
"Jermaine Wiggins, TE",MIN,71,0,705,9.9,4,39,9,50.4,1,0,33
"Brian Westbrook, RB",PHI,73,0,703,9.6,6,50,7,54.1,1,0,30
"David Terrell, WR",CHI,42,0,699,16.6,1,63,12,43.7,0,0,35
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Plaxico Burress, WR",PIT,35,0,698,19.9,5,48,13,63.5,1,0,31
"Eric Parker, WR",SD,47,0,690,14.7,4,79,8,46.0,1,0,32
"Ronald Curry, WR",OAK,50,0,679,13.6,6,63,11,56.6,1,0,32
"Todd Pinkston, WR",PHI,36,0,676,18.8,1,80,7,42.3,0,0,24
"Jeremy Shockey, TE",NYG,61,0,666,10.9,6,38,10,44.4,1,0,32
"Marcus Robinson, WR",MIN,47,0,657,14.0,8,50,11,41.1,1,0,31
"Rod Gardner, WR",WSH,51,0,650,12.7,5,51,7,40.6,0,0,30
