RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
1,"Curtis Martin, RB",NYJ,371,"1,697",4.6,25,7,12,106.1,2,90
2,"Shaun Alexander, RB",SEA,353,"1,696",4.8,44,15,16,106.0,5,77
3,"Corey Dillon, RB",NE,345,"1,635",4.7,44,8,12,109.0,4,81
4,"Edgerrin James, RB",IND,334,"1,548",4.6,40,6,9,96.8,6,73
5,"Tiki Barber, RB",NYG,322,"1,518",4.7,72,11,13,94.9,5,77
6,"Rudi Johnson, RB",CIN,361,"1,454",4.0,52,7,12,90.9,4,73
7,"LaDainian Tomlinson, RB",SD,339,"1,335",3.9,42,6,17,89.0,5,68
8,"Clinton Portis, RB",WSH,343,"1,315",3.8,64,5,5,87.7,5,65
9,"Reuben Droughns, RB",DEN,275,"1,240",4.5,51,8,6,77.5,5,69
10,"Fred Taylor, RB",JAX,260,"1,224",4.7,46,9,2,87.4,3,48
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
11,"Domanick Williams, RB",HOU,302,"1,188",3.9,44,5,13,79.2,2,56
12,"Ahman Green, RB",GB,259,"1,163",4.5,90,6,7,77.5,6,55
13,"Kevin Jones, RB",DET,241,"1,133",4.7,74,11,5,75.5,2,57
14,"Willis McGahee, RB",BUF,284,"1,128",4.0,41,10,13,70.5,3,64
15,"Warrick Dunn, RB",ATL,265,"1,106",4.2,60,5,9,69.1,3,46
16,"Deuce McAllister, RB",NO,269,"1,074",4.0,71,5,9,76.7,5,53
17,"Chris Brown, RB",TEN,220,"1,067",4.9,52,5,6,97.0,6,40
18,"Jamal Lewis, RB",BAL,235,"1,006",4.3,75,5,7,83.8,2,47
19,"Thomas Jones, RB",CHI,240,948,4.0,54,2,7,67.7,2,49
20,"Jerome Bettis, RB",PIT,250,941,3.8,29,3,13,62.7,1,50
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
21,"Emmitt Smith, RB",ARI,267,937,3.5,29,4,9,62.5,4,41
22,"Michael Pittman, RB",TB,219,926,4.2,78,2,7,71.2,5,41
23,"Michael Vick, QB",ATL,120,902,7.5,58,10,3,60.1,3,49
24,"Priest Holmes, RB",KC,196,892,4.6,33,3,14,111.5,4,56
25,"Duce Staley, RB",PIT,192,830,4.3,38,3,1,83.0,3,38
26,"Kevan Barlow, RB",SF,244,822,3.4,60,5,7,54.8,2,44
27,"Nick Goings, RB",CAR,217,821,3.8,57,3,6,51.3,1,39
28,"Julius Jones, RB",DAL,197,819,4.2,53,4,7,102.4,3,44
29,"Brian Westbrook, RB",PHI,177,812,4.6,50,7,3,62.5,0,38
30,"Marshall Faulk, RB",STL,195,774,4.0,40,2,3,55.3,1,45
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
31,"Lee Suggs, RB",CLE,199,744,3.7,39,3,2,74.4,6,38
32,"Chester Taylor, RB",BAL,160,714,4.5,47,3,2,44.6,1,35
33,"Steven Jackson, RB",STL,134,673,5.0,48,5,4,48.1,1,37
34,"William Green, RB",CLE,163,585,3.6,46,4,2,39.0,3,30
35,"Larry Johnson, RB",KC,120,581,4.8,46,4,9,58.1,0,34
36,"Onterrio Smith, RB",MIN,124,544,4.4,38,4,2,49.5,2,18
37,"Derrick Blaylock, RB",KC,118,539,4.6,24,3,8,44.9,0,34
38,"Sammy Morris, RB",MIA,132,523,4.0,35,2,6,40.2,1,31
39,"Antowain Smith, RB",TEN,137,509,3.7,43,2,4,39.2,2,22
 ,"T.J. Duckett, RB",ATL,104,509,4.9,35,6,8,39.2,2,30
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
41,"LaMont Jordan, RB",NYJ,93,479,5.2,33,3,2,29.9,0,27
42,"Eddie George, RB",DAL,132,432,3.3,24,2,4,33.2,2,27
43,"Amos Zereoue, RB",OAK,112,425,3.8,55,1,3,28.3,1,20
44,"Dorsey Levens, RB",PHI,94,410,4.4,45,1,4,27.3,0,24
45,"Daunte Culpepper, QB",MIN,88,406,4.6,16,0,2,25.4,5,32
46,"Anthony Thomas, RB",CHI,122,404,3.3,41,2,2,33.7,1,16
47,"Tatum Bell, RB",DEN,75,396,5.3,29,2,3,28.3,0,18
48,"Jesse Chatman, RB",SD,65,392,6.0,52,5,3,26.1,1,18
49,"Travis Minor, RB",MIA,109,388,3.6,34,2,3,35.3,0,21
50,"Mewelde Moore, RB",MIN,65,379,5.8,33,2,0,37.9,0,16
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
51,"Ladell Betts, RB",WSH,90,371,4.1,27,2,1,23.2,0,19
52,"Maurice Hicks, RB",SF,96,362,3.8,35,2,2,40.2,3,19
53,"Najeh Davenport, RB",GB,71,359,5.1,40,3,2,32.6,0,16
54,"Tyrone Wheatley, RB",OAK,85,327,3.8,60,2,4,40.9,0,25
55,"Travis Henry, RB",BUF,94,326,3.5,19,0,0,32.6,0,17
56,"Quentin Griffin, RB",DEN,85,311,3.7,47,2,2,51.8,2,13
57,"David Carr, QB",HOU,73,299,4.1,24,2,0,18.7,5,24
 ,"Jonathan Wells, RB",HOU,82,299,3.6,14,0,3,18.7,1,16
59,"Troy Hambrick, RB",ARI,63,283,4.5,62,3,1,28.3,0,12
60,"Michael Bennett, RB",MIN,70,276,3.9,25,1,1,25.1,1,14
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
61,"Verron Haynes, FB",PIT,55,272,4.9,18,0,0,20.9,0,17
62,"Shawn Bryson, RB",DET,50,264,5.3,28,3,0,16.5,0,15
63,"Kevin Faulk, RB",NE,54,255,4.7,20,1,2,23.2,0,14
 ,"DeShaun Foster, RB",CAR,59,255,4.3,71,1,2,63.8,0,13
65,"Dominic Rhodes, RB",IND,53,254,4.8,55,1,1,15.9,1,16
66,"Richie Anderson, FB",DAL,57,246,4.3,27,2,1,20.5,1,11
 ,"Brad Hoover, FB",CAR,68,246,3.6,16,0,0,17.6,0,13
68,"Aaron Stecker, RB",NO,58,244,4.2,42,3,2,15.3,1,10
69,"Zack Crockett, RB",OAK,48,232,4.8,47,2,2,14.5,0,12
70,"Mike Alstott, FB",TB,67,230,3.4,32,1,2,16.4,1,20
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
71,"Tony Fisher, RB",GB,65,224,3.4,24,1,0,14.0,0,17
72,"Donovan McNabb, QB",PHI,41,220,5.4,28,2,3,14.7,2,12
73,"Jake Plummer, QB",DEN,62,202,3.3,22,1,1,12.6,6,13
74,"Kyle Boller, QB",BAL,53,189,3.6,19,0,1,11.8,4,9
75,"Willie Parker, RB",PIT,32,186,5.8,58,2,0,23.3,0,8
76,"Ron Dayne, RB",NYG,52,179,3.4,15,0,1,12.8,0,10
77,"Joey Harrington, QB",DET,48,175,3.6,17,0,0,10.9,1,9
78,"Artose Pinner, RB",DET,57,174,3.1,14,0,2,19.3,0,10
79,"Aaron Brooks, QB",NO,58,173,3.0,15,0,4,10.8,6,14
80,"Jeff Garcia, QB",CLE,35,169,4.8,21,1,2,15.4,3,15
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
81,"LaBrandon Toefield, RB",JAX,51,169,3.3,16,0,0,12.1,0,7
82,"Shaud Williams, RB",BUF,42,167,4.0,27,2,2,41.8,0,8
83,"Greg Jones, RB",JAX,62,162,2.6,12,0,3,10.1,1,14
84,"Moe Williams, RB",MIN,30,161,5.4,49,1,3,11.5,0,13
 ,"Kenny Watson, RB",CIN,26,161,6.2,25,1,0,10.1,2,8
86,"Byron Leftwich, QB",JAX,39,148,3.8,17,0,2,10.6,0,7
87,"Ben Roethlisberger, QB",PIT,56,144,2.6,20,2,1,10.3,1,12
88,"Patrick Pass, FB",NE,39,141,3.6,19,0,0,10.1,0,6
 ,"Leonard Henry, RB",MIA,46,141,3.1,53,1,0,20.1,1,5
90,"Mack Strong, FB",SEA,36,131,3.6,11,0,0,8.2,2,13
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
91,"Steve McNair, QB",TEN,23,128,5.6,23,1,1,16.0,2,11
 ,"ReShard Lee, RB",DAL,27,128,4.7,14,0,1,9.1,0,8
93,"Chad Pennington, QB",NYJ,34,126,3.7,16,0,1,9.7,2,12
 ,"Maurice Morris, RB",SEA,30,126,4.2,12,0,0,8.4,0,9
 ,"Justin Fargas, RB",OAK,35,126,3.6,15,0,1,10.5,0,9
96,"Obafemi Ayanbadejo, RB",ARI,30,122,4.1,23,1,3,7.6,0,9
97,"J.R. Redmond, RB",OAK,21,119,5.7,18,0,0,7.4,2,5
98,"Josh McCown, QB",ARI,36,112,3.1,12,0,2,8.0,1,9
99,"Charlie Garner, RB",TB,30,111,3.7,25,1,0,37.0,0,3
100,"Michael Turner, RB",SD,20,104,5.2,30,2,0,7.4,0,4
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
101,"Terry Jackson, RB",SF,26,101,3.9,13,0,0,6.3,2,4
102,"Stephen Davis, RB",CAR,24,92,3.8,12,0,0,46.0,0,5
103,"Reno Mahe, RB",PHI,23,91,4.0,22,1,0,8.3,0,6
104,"Matt Hasselbeck, QB",SEA,27,90,3.3,19,0,1,6.4,2,5
 ,"Mike Cloud, RB",NYG,21,90,4.3,26,1,3,9.0,0,8
106,"Marc Bulger, QB",STL,19,89,4.7,19,0,3,6.4,0,7
 ,"Josh Scobey, RB",ARI,27,89,3.3,10,0,0,7.4,0,7
108,"Trent Green, QB",KC,25,85,3.4,13,0,0,5.3,1,4
 ,"Drew Brees, QB",SD,53,85,1.6,22,1,2,5.7,3,18
 ,"Lee Evans, WR",BUF,5,85,17.0,48,2,0,5.3,0,4
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
111,"Garrison Hearst, RB",DEN,20,81,4.1,11,0,1,11.6,0,8
 ,"James Jackson, RB",CLE/GB,12,81,6.8,38,1,0,20.3,0,2
113,"Chris Chambers, WR",MIA,9,76,8.4,24,1,0,5.1,1,4
 ,"David Garrard, QB",JAX,12,76,6.3,12,0,1,19.0,0,5
 ,"Bobby Wade, WR",CHI,12,76,6.3,14,0,0,4.8,0,5
 ,"Larry Croom, RB",ARI,29,76,2.6,20,1,0,12.7,0,3
117,"Joe Burns, RB",BUF,20,73,3.7,21,1,0,4.6,0,2
 ,"Earnest Graham, RB",TB,13,73,5.6,13,0,0,8.1,0,2
119,"Jake Delhomme, QB",CAR,25,71,2.8,13,0,1,4.4,3,9
 ,"Jamal Robertson, RB",SF/CAR,16,71,4.4,16,0,1,10.1,2,6
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
121,"Chris Fuamatu-Ma'afala, RB",JAX,20,69,3.5,10,0,1,9.9,0,7
122,"Lamar Gordon, RB",MIA,35,64,1.8,11,0,0,21.3,1,1
123,"Arlen Harris, RB",STL,20,63,3.2,14,0,0,4.5,0,3
124,"Mark Brunell, QB",WSH,19,62,3.3,21,1,0,6.9,2,2
 ,"Robert Holcombe, FB",TEN,17,62,3.6,20,1,0,3.9,0,3
 ,"Jamel White, RB",TB/BAL,14,62,4.4,16,0,0,10.3,0,2
