PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Reggie Wayne, WR",IND,104,157,"1,510",14.5,10,64,25,94.4,3,376,72
"Randy Moss, WR",NE,98,160,"1,493",15.2,23,65,18,93.3,0,280,74
"Chad Johnson, WR",CIN,93,161,"1,440",15.5,8,70,27,90.0,2,292,74
"Larry Fitzgerald, WR",ARI,100,167,"1,409",14.1,10,48,19,93.9,3,292,69
"Terrell Owens, WR",DAL,81,144,"1,355",16.7,15,52,22,90.3,0,352,69
"Brandon Marshall, WR",DEN,102,170,"1,325",13.0,7,68,13,82.8,3,524,70
"Braylon Edwards, WR",CLE,80,154,"1,289",16.1,16,78,21,80.6,3,322,57
"Roddy White, WR",ATL,83,137,"1,202",14.5,6,69,19,75.1,3,472,52
"Marques Colston, WR",NO,98,144,"1,202",12.3,11,45,14,75.1,1,388,64
"Torry Holt, WR",STL,93,147,"1,189",12.8,7,40,16,74.3,2,199,63
"Wes Welker, WR",NE,112,145,"1,175",10.5,8,42,10,73.4,2,626,65
"Tony Gonzalez, TE",KC,99,156,"1,172",11.8,5,31,14,73.3,0,297,59
"Bobby Engram, WR",SEA,94,134,"1,147",12.2,6,49,12,71.7,1,357,63
"Jason Witten, TE",DAL,96,142,"1,145",11.9,7,53,12,71.6,1,382,56
"T.J. Houshmandzadeh, WR",CIN,112,169,"1,143",10.2,12,42,9,71.4,2,339,70
"Jerricho Cotchery, WR",NYJ,82,127,"1,130",13.8,2,50,18,75.3,1,424,51
"Kevin Curtis, WR",PHI,77,136,"1,110",14.4,6,75,14,69.4,0,346,49
"Kellen Winslow, TE",CLE,82,149,"1,106",13.5,5,49,17,69.1,2,356,56
"Derrick Mason, WR",BAL,103,164,"1,087",10.6,5,79,7,67.9,1,299,60
"Donald Driver, WR",GB,82,122,"1,048",12.8,2,47,14,69.9,1,430,49
"Plaxico Burress, WR",NYG,70,141,"1,025",14.6,12,60,15,64.1,0,270,49
"Joey Galloway, WR",TB,57,98,"1,014",17.8,6,69,13,67.6,0,383,37
"Steve Smith Sr., WR",CAR,87,149,"1,002",11.5,7,74,9,66.8,1,456,43
"Dwayne Bowe, WR",KC,70,117,995,14.2,5,58,13,62.2,0,354,51
"Antonio Gates, TE",SD,75,118,984,13.1,9,49,15,61.5,0,307,54
"Bernard Berrian, WR",CHI,71,127,951,13.4,5,59,11,59.4,1,259,47
"Shaun McDonald, WR",DET,79,128,943,11.9,6,49,12,58.9,2,234,46
"Santonio Holmes, WR",PIT,52,85,942,18.1,8,83,15,72.5,1,249,42
"Greg Jennings, WR",GB,53,85,920,17.4,12,82,13,70.8,1,381,37
"Anquan Boldin, WR",ARI,71,100,853,12.0,9,44,14,71.1,2,377,43
"Andre Johnson, WR",HOU,60,86,851,14.2,8,77,8,94.6,1,254,39
"Lee Evans, WR",BUF,55,114,849,15.4,5,85,12,53.1,0,198,38
"Roy Williams, WR",DET,64,103,838,13.1,5,91,11,69.8,2,284,34
"Santana Moss, WR",WSH,61,115,808,13.2,3,49,11,57.7,1,185,43
"Kevin Walter, WR",HOU,65,106,800,12.3,4,46,8,50.0,0,163,43
"David Patten, WR",NO,54,88,792,14.7,3,58,14,49.5,2,253,37
"Chris Cooley, TE",WSH,66,110,786,11.9,8,39,10,49.1,1,288,46
"Reggie Brown, WR",PHI,61,111,780,12.8,4,45,8,48.8,1,155,38
"Brian Westbrook, RB",PHI,90,120,771,8.6,5,57,7,51.4,1,804,31
"Owen Daniels, TE",HOU,63,93,768,12.2,3,29,8,48.0,4,219,44
"Amani Toomer, WR",NYG,59,105,760,12.9,3,40,8,47.5,0,191,42
"Calvin Johnson, WR",DET,48,95,756,15.8,4,49,12,50.4,1,173,38
"Justin Gage, WR",TEN,55,85,750,13.6,2,73,10,46.9,1,240,45
"Isaac Bruce, WR",STL,55,101,733,13.3,4,37,13,52.4,0,171,36
"Hines Ward, WR",PIT,71,112,732,10.3,7,25,7,56.3,0,252,47
"Antwaan Randle El, WR",WSH,51,77,728,14.3,1,54,9,48.5,1,184,38
"Ike Hilliard, WR",TB,62,87,722,11.6,1,56,7,48.1,2,300,37
"Roydell Williams, WR",TEN,55,93,719,13.1,4,48,6,44.9,0,218,38
"Ronald Curry, WR",OAK,55,97,717,13.0,4,49,9,44.8,0,226,35
"Jerry Porter, WR",OAK,44,102,705,16.0,6,59,13,44.1,0,187,29
"Donte' Stallworth, WR",NE,46,75,697,15.2,3,69,10,43.6,0,315,27
"Patrick Crayton, WR",DAL,50,81,697,13.9,7,59,10,46.5,1,290,33
"Nate Burleson, WR",SEA,50,96,694,13.9,9,45,16,43.4,1,205,37
"James Jones, WR",GB,47,80,676,14.4,2,79,10,42.3,3,220,29
"Mike Furrey, WR",DET,61,90,664,10.9,1,49,2,41.5,0,177,37
"Deion Branch, WR",SEA,49,85,661,13.5,4,65,10,60.1,0,208,30
"Bobby Wade, WR",MIN,54,85,647,12.0,3,40,4,40.4,2,158,33
"Laveranues Coles, WR",NYJ,55,89,646,11.7,6,57,9,53.8,0,141,35
"Brandon Stokley, WR",DEN,40,71,635,15.9,5,58,10,48.8,0,118,34
"Reggie Williams, WR",JAX,38,60,629,16.6,10,80,11,41.9,3,213,29
"Vincent Jackson, WR",SD,41,80,623,15.2,3,45,10,38.9,0,119,28
