PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Greg Camarillo, WR",MIN,20,33,240,12.0,1,31,3,15.0,0,93,12
"Sammie Stroughter, WR",TB,24,39,239,10.0,0,27,1,19.9,0,100,13
"Andrew Quarless, TE",GB,21,33,238,11.3,1,23,3,18.3,1,116,13
"Golden Tate, WR",SEA,21,38,227,10.8,0,52,2,20.6,0,114,8
"Mike Sellers, FB",WSH,20,40,224,11.2,0,28,5,14.0,0,148,9
"Derek Hagan, WR",NYG,24,43,223,9.3,1,17,0,31.9,0,26,15
"Rashad Jennings, RB",JAX,26,33,223,8.6,0,25,2,17.2,0,214,8
"Randy McMichael, TE",SD,20,25,221,11.1,2,28,3,13.8,0,92,15
"David Thomas, TE",NO,30,46,219,7.3,2,22,1,16.8,0,131,11
"Damian Williams, WR",TEN,16,28,219,13.7,0,39,4,13.7,0,45,10
"Mike Tolbert, RB",SD,25,29,216,8.6,0,28,2,14.4,0,196,8
"Zach Miller, TE",JAX,20,26,216,10.8,1,52,1,14.4,0,104,10
"Fred Jackson, RB",BUF,31,54,215,6.9,2,65,1,13.4,1,268,9
"Chris Chambers, WR",KC,22,44,213,9.7,1,26,1,16.4,0,46,13
"Donald Jones, WR",BUF,18,40,213,11.8,1,40,4,14.2,0,96,8
"Bryant Johnson, WR",DET,18,49,210,11.7,0,24,2,15.0,0,35,11
"Dexter McCluster, WR",KC,21,39,209,10.0,1,31,2,19.0,0,173,11
"Reggie Bush, RB",NO,34,43,208,6.1,1,20,2,26.0,0,204,10
"Mewelde Moore, RB",PIT,26,31,205,7.9,0,29,3,13.7,0,212,10
"Donald Brown, RB",IND,20,28,205,10.3,0,25,2,15.8,0,183,9
"Pierre Thomas, RB",NO,29,29,201,6.9,0,23,2,33.5,0,249,9
"Greg Lewis, WR",MIN,17,36,197,11.6,0,33,2,15.2,0,79,8
"Michael Bush, RB",OAK,18,24,194,10.8,0,55,1,13.9,0,193,11
"Cedric Benson, RB",CIN,28,38,178,6.4,1,24,1,11.1,0,193,9
"Randy Moss, WR",TEN/MIN/NE,13,25,174,13.4,2,37,2,43.5,0,19,10
"Joey Galloway, WR",WSH,12,38,173,14.4,0,62,2,17.3,0,19,9
"Kelley Washington, WR",SD,13,14,173,13.3,1,36,2,21.6,0,91,10
"Maurice Morris, RB",DET,25,31,170,6.8,0,16,0,12.1,0,136,9
"Rashard Mendenhall, RB",PIT,23,34,167,7.3,0,24,1,10.4,0,165,6
"Toby Gerhart, RB",MIN,21,29,167,8.0,0,23,2,11.1,2,169,6
"Antonio Brown, WR",PIT,16,19,167,10.4,0,26,2,18.6,0,67,10
"Brian Finneran, WR",ATL,19,31,166,8.7,3,21,1,10.4,0,41,11
"Ted Ginn, WR",SF,12,35,163,13.6,1,37,2,12.5,0,18,6
"John Gilmore, TE",TB,13,18,160,12.3,1,30,2,10.0,0,95,9
"Ruvell Martin, WR",SEA,7,10,158,22.6,1,61,3,31.6,0,55,6
"Terrance Copper, WR",KC,18,28,157,8.7,0,20,2,9.8,0,71,9
"C.J. Spiller, RB",BUF,24,31,157,6.5,1,41,1,11.2,0,161,7
"Ed Dickson, TE",BAL,11,23,152,13.8,1,58,2,10.1,0,75,5
"Brian Westbrook, RB",SF,16,24,150,9.4,1,62,1,10.7,0,136,5
"Devin Aromashodu, WR",CHI,10,23,149,14.9,0,34,3,10.6,0,50,8
"Jimmy Kleinsasser, TE",MIN,17,21,148,8.7,0,20,3,9.3,0,67,6
"Daniel Graham, TE",DEN,18,37,148,8.2,0,28,3,9.3,1,42,5
"Michael Hoomanawanui, TE",STL,13,22,146,11.2,3,36,2,18.3,0,109,9
"Billy Bajema, TE",STL,14,24,145,10.4,2,26,2,11.2,1,72,8
"Jacob Hester, RB",SD,22,26,145,6.6,1,21,1,9.7,0,153,9
"Ryan Mathews, RB",SD,22,26,145,6.6,0,17,0,12.1,1,178,7
"Ricky Williams, RB",MIA,19,30,141,7.4,1,28,2,8.8,0,136,6
"Ladell Betts, RB",NO,23,30,141,6.1,0,25,1,17.6,0,172,6
"Randy Moss, WR",TEN/MIN/NE,9,22,139,15.4,3,35,3,34.8,0,41,6
"Chester Taylor, RB",CHI,20,26,139,7.0,0,18,0,8.7,0,124,7
"Naaman Roosevelt, WR",BUF,9,17,139,15.4,0,30,3,23.2,0,37,7
"Marshawn Lynch, RB",BUF/SEA,21,25,138,6.6,0,22,1,11.5,2,141,5
"Brian Leonard, RB",CIN,20,26,137,6.9,1,20,1,12.5,0,125,9
"Tim Hightower, RB",ARI,21,42,136,6.5,0,20,1,8.5,1,147,6
"Owen Schmitt, FB",PHI,19,24,136,7.2,1,18,0,9.1,0,98,9
"Le'Ron McClain, FB",BAL,21,26,134,6.4,0,19,0,8.9,0,157,6
"Earnest Graham, RB",TB,16,19,130,8.1,1,46,1,10.8,0,118,3
"Marlon Moore, WR",MIA,6,19,128,21.3,1,57,2,14.2,0,75,4
"Ovie Mughelli, FB",ATL,13,18,126,9.7,1,18,0,7.9,0,108,5
"Ryan Torain, RB",WSH,18,28,125,6.9,2,20,1,12.5,0,162,6
"Joseph Addai, RB",IND,19,26,124,6.5,0,15,0,15.5,0,87,5
"Ben Patrick, TE",ARI,15,18,123,8.2,0,21,1,8.2,1,64,5
"Kevin Smith, RB",DET,11,16,123,11.2,0,27,2,20.5,0,102,7
"Thomas Jones, RB",KC,14,20,122,8.7,0,20,1,7.6,0,118,8
"Craig Stevens, TE",TEN,11,23,122,11.1,2,28,1,8.1,0,76,6
"Jeff King, TE",CAR,19,33,121,6.4,2,16,0,7.6,0,28,8
"Sam Hurd, WR",DAL,14,23,120,8.6,0,13,0,8.0,0,68,11
"Shonn Greene, RB",NYJ,16,23,120,7.5,0,15,0,8.0,1,90,9
"David Anderson, WR",HOU,11,18,117,10.6,0,35,1,9.8,0,52,5
"Cameron Morrah, TE",SEA,9,18,117,13.0,0,36,2,7.8,0,68,5
"Max Komar, WR",ARI,12,22,117,9.8,0,20,1,14.6,1,32,6
"Chris Baker, TE",SEA,9,19,116,12.9,1,44,1,7.3,0,46,4
"Travis Beckum, TE",NYG,13,18,116,8.9,2,29,2,7.3,0,35,7
