PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Torry Holt, WR",STL,117,0,"1,696",14.5,12,48,26,106.0,1,0,84
"Randy Moss, WR",MIN,111,0,"1,632",14.7,17,72,27,102.0,1,0,76
"Anquan Boldin, WR",ARI,101,0,"1,377",13.6,8,71,20,86.1,2,0,62
"Chad Johnson, WR",CIN,90,0,"1,355",15.1,10,82,20,84.7,0,0,66
"Derrick Mason, WR",TEN,95,0,"1,303",13.7,8,50,16,81.4,0,0,68
"Marvin Harrison, WR",IND,94,0,"1,272",13.5,10,79,17,84.8,2,0,60
"Laveranues Coles, WR",WSH,82,0,"1,204",14.7,6,64,21,75.3,0,0,54
"Keenan McCardell, WR",TB,84,0,"1,174",14.0,8,76,13,73.4,1,0,53
"Hines Ward, WR",PIT,95,0,"1,163",12.2,10,50,18,72.7,0,0,60
"Darrell Jackson, WR",SEA,68,0,"1,137",16.7,9,80,18,71.1,1,0,54
"Steve Smith Sr., WR",CAR,88,0,"1,110",12.6,7,67,16,69.4,2,0,48
"Santana Moss, WR",NYJ,74,0,"1,105",14.9,10,65,17,69.1,2,0,49
"Terrell Owens, WR",SF,80,0,"1,102",13.8,9,75,15,73.5,0,0,55
"Amani Toomer, WR",NYG,63,0,"1,057",16.8,5,77,16,66.1,0,0,48
"Isaac Bruce, WR",STL,69,0,981,14.2,5,41,19,65.4,0,0,49
"Andre Johnson, WR",HOU,66,0,976,14.8,4,46,14,61.0,0,0,45
"Joe Horn, WR",NO,78,0,973,12.5,10,50,10,64.9,2,0,52
"Chris Chambers, WR",MIA,64,0,963,15.0,11,57,17,60.2,1,0,50
"Tony Gonzalez, TE",KC,71,0,916,12.9,10,67,14,57.3,0,0,48
"Koren Robinson, WR",SEA,65,0,896,13.8,4,38,14,59.7,1,0,39
"David Boston, WR",SD,70,0,880,12.6,7,46,13,62.9,2,0,42
"Jerry Rice, WR",OAK,63,0,869,13.8,2,47,13,54.3,2,0,44
"Plaxico Burress, WR",PIT,60,0,860,14.3,4,47,11,53.8,1,0,40
"Eddie Kennison, WR",KC,56,0,853,15.2,5,51,11,53.3,1,0,43
"Rod Smith, WR",DEN,74,0,845,11.4,3,38,8,56.3,0,0,48
"Peerless Price, WR",ATL,64,0,838,13.1,3,49,9,52.4,0,0,40
"Reggie Wayne, WR",IND,68,0,838,12.3,7,57,8,52.4,0,0,49
"Muhsin Muhammad, WR",CAR,54,0,837,15.5,3,60,18,55.8,3,0,37
"Peter Warrick, WR",CIN,79,0,819,10.4,7,77,8,54.6,0,0,48
"Justin McCareins, WR",TEN,47,0,813,17.3,7,73,14,50.8,0,0,40
"Jimmy Smith, WR",JAX,54,0,805,14.9,4,67,13,67.1,1,0,38
"Deion Branch, WR",NE,57,0,803,14.1,3,66,9,53.5,0,0,40
"Eric Moulds, WR",BUF,64,0,780,12.2,1,49,10,60.0,0,0,35
"Shannon Sharpe, TE",DEN,62,0,770,12.4,8,28,11,51.3,0,0,42
"Terry Glenn, WR",DAL,52,0,754,14.5,5,51,14,47.1,2,0,37
"Johnnie Morton, WR",KC,50,0,740,14.8,4,50,10,46.3,0,0,36
"Bobby Shaw, WR",BUF,56,0,732,13.1,4,54,7,45.8,1,0,37
"Dennis Northcutt, WR",CLE,62,0,729,11.8,2,44,6,48.6,0,0,43
"LaDainian Tomlinson, RB",SD,100,0,725,7.3,4,73,5,45.3,0,0,26
"Javon Walker, WR",GB,41,0,716,17.5,9,66,12,44.8,1,0,27
"Marty Booker, WR",CHI,52,0,715,13.8,4,61,10,55.0,0,0,31
"Todd Heap, TE",BAL,57,0,693,12.2,3,33,13,43.3,1,0,32
"Priest Holmes, RB",KC,74,0,690,9.3,0,36,7,43.1,0,0,36
"Joey Galloway, WR",DAL,34,0,672,19.8,2,64,14,44.8,0,0,27
"Moe Williams, RB",MIN,65,0,644,9.9,3,42,6,40.3,0,0,34
"Curtis Conway, WR",NYJ,46,0,640,13.9,2,45,11,40.0,0,0,33
"Bobby Engram, WR",SEA,52,0,637,12.3,6,34,8,39.8,1,0,34
"Travis Taylor, WR",BAL,39,0,632,16.2,3,73,9,39.5,0,0,23
"Ashley Lelie, WR",DEN,37,0,628,17.0,2,60,11,39.3,0,0,25
"Donald Driver, WR",GB,52,0,621,11.9,2,41,11,41.4,0,0,30
"Ike Hilliard, WR",NYG,60,0,608,10.1,6,38,2,46.8,2,0,38
"Keyshawn Johnson, WR",TB,45,0,600,13.3,3,39,9,60.0,0,0,33
"Rod Gardner, WR",WSH,59,0,600,10.2,5,35,7,37.5,1,0,30
"Randy McMichael, TE",MIA,49,0,598,12.2,2,46,8,37.4,0,0,29
"Michael Pittman, RB",TB,75,0,597,8.0,2,68,5,37.3,2,0,21
"Tai Streets, WR",SF,47,0,595,12.7,7,41,4,37.2,0,0,30
"Josh Reed, WR",BUF,58,0,588,10.1,2,26,5,36.8,1,0,33
"Dez White, WR",CHI,49,0,583,11.9,3,49,7,38.9,0,0,30
"Jerome Pathon, WR",NO,44,0,578,13.1,4,40,8,36.1,1,0,27
"Andre Davis, WR",CLE,40,0,576,14.4,5,49,8,36.0,0,0,31
"Todd Pinkston, WR",PHI,36,0,575,16.0,2,59,8,35.9,1,0,22
"Tim Brown, WR",OAK,52,0,567,10.9,2,36,8,35.4,0,0,28
"James Thrash, WR",PHI,49,0,558,11.4,1,51,5,34.9,0,0,24
"Alge Crumpler, TE",ATL,44,0,552,12.5,3,63,8,34.5,1,0,26
"Antonio Bryant, WR",DAL,39,0,550,14.1,2,54,9,34.4,0,0,27
"Marcus Pollard, TE",IND,40,0,541,13.5,3,70,5,38.6,1,0,25
"Jeremy Shockey, TE",NYG,48,0,535,11.1,2,46,6,59.4,1,0,29
"Kelly Campbell, WR",MIN,25,0,522,20.9,4,72,9,34.8,1,0,15
"Robert Ferguson, WR",GB,38,0,520,13.7,4,47,7,34.7,0,0,25
"Freddie Jones, TE",ARI,55,0,517,9.4,3,34,5,32.3,0,0,19
"Deuce McAllister, RB",NO,69,0,516,7.5,0,39,2,32.3,0,0,22
"Quincy Morgan, WR",CLE,38,0,516,13.6,3,71,5,32.3,0,0,22
"David Givens, WR",NE,34,0,510,15.0,6,57,9,39.2,0,0,24
"Drew Bennett, WR",TEN,32,0,504,15.8,4,48,9,42.0,0,0,27
"Freddie Mitchell, WR",PHI,35,0,498,14.2,2,39,7,31.1,0,0,23
"Dane Looker, WR",STL,47,0,495,10.5,3,41,5,30.9,1,0,27
"Richie Anderson, FB",DAL,69,0,493,7.1,4,37,5,32.9,1,0,21
"Itula Mili, TE",SEA,46,0,492,10.7,4,46,5,30.8,0,0,28
"Troy Edwards, WR",JAX,35,0,487,13.9,3,84,3,37.5,0,0,22
"Donte' Stallworth, WR",NO,25,0,485,19.4,3,76,6,44.1,1,0,19
"Troy Brown, WR",NE,40,0,472,11.8,4,82,4,39.3,0,0,18
"Tiki Barber, RB",NYG,69,0,461,6.7,1,36,3,28.8,3,0,26
"Corey Bradford, WR",HOU,24,0,460,19.2,4,78,8,28.8,0,0,16
"Troy Walters, WR",IND,36,0,456,12.7,3,46,5,30.4,0,0,25
"Nate Burleson, WR",MIN,29,0,455,15.7,2,52,7,28.4,1,0,17
"Marcus Robinson, WR",BAL,31,0,451,14.5,6,50,7,30.1,0,0,23
"Az-Zahir Hakim, WR",DET,49,0,449,9.2,4,28,2,32.1,2,0,27
"Kevin Faulk, RB",NE,48,0,440,9.2,0,27,5,29.3,1,0,20
"Bryant Johnson, WR",ARI,35,0,438,12.5,1,54,4,29.2,1,0,20
"Jed Weaver, TE",SF,35,0,437,12.5,1,30,5,27.3,1,0,20
"Jerald Sowell, FB",NYJ,47,0,436,9.3,1,44,4,27.3,0,0,27
"Boo Williams, TE",NO,41,0,436,10.6,5,31,4,27.3,0,0,25
"Mikhael Ricks, TE",DET,37,0,434,11.7,2,38,6,27.1,0,0,24
"Desmond Clark, TE",CHI,44,0,433,9.8,2,31,4,28.9,2,0,23
"Charles Lee, WR",TB,33,0,432,13.1,2,72,5,54.0,0,0,18
"Dante Hall, WR",KC,40,0,423,10.6,1,67,6,26.4,0,0,16
"Daniel Graham, TE",NE,38,0,409,10.8,4,38,8,29.2,0,0,21
"Jabar Gaffney, WR",HOU,34,0,402,11.8,2,33,4,25.1,0,0,21
"Jimmy Kleinsasser, TE",MIN,46,0,401,8.7,4,19,0,25.1,0,0,23
"Bill Schroeder, WR",DET,36,0,397,11.0,2,26,5,24.8,0,0,24
"Cedrick Wilson, WR",SF,35,0,396,11.3,2,29,6,24.8,1,0,24
"Ricky Proehl, WR",CAR,27,0,389,14.4,4,66,6,24.3,0,0,15
"Antonio Gates, TE",SD,24,0,389,16.2,2,48,7,25.9,1,0,19
"Charlie Garner, RB",OAK,48,0,386,8.0,1,46,3,27.6,0,0,15
"Duce Staley, RB",PHI,36,0,382,10.6,2,52,4,23.9,1,0,19
"Kevin Johnson, WR",CLE/JAX,41,0,381,9.3,2,41,3,42.3,0,0,20
"Erron Kinney, TE",TEN,41,0,381,9.3,3,28,2,23.8,1,0,22
"Fred Taylor, RB",JAX,48,0,370,7.7,1,60,2,23.1,1,0,16
"Brian Finneran, WR",ATL,26,0,368,14.2,2,38,4,30.7,0,0,21
"Ahman Green, RB",GB,50,0,367,7.3,5,27,4,22.9,0,0,19
"Antwaan Randle El, WR",PIT,37,0,364,9.8,1,32,4,22.8,0,0,21
"Jerry Porter, WR",OAK,28,0,361,12.9,1,35,5,36.1,1,0,21
"David Terrell, WR",CHI,43,0,361,8.4,1,35,4,22.6,1,0,19
"Darnerien McCants, WR",WSH,27,0,360,13.3,6,32,7,24.0,0,0,22
"Derrius Thompson, WR",MIA,26,0,359,13.8,0,31,5,22.4,0,0,19
"Anthony Becht, TE",NYJ,40,0,356,8.9,4,29,2,22.3,1,0,26
"Billy Miller, TE",HOU,40,0,355,8.9,3,25,5,22.2,0,0,18
"Ricky Williams, RB",MIA,50,0,351,7.0,1,59,3,21.9,3,0,11
"Domanick Williams, RB",HOU,47,0,351,7.5,0,17,0,25.1,2,0,15
"Jason Witten, TE",DAL,35,0,347,9.9,1,36,1,23.1,0,0,18
"Shawn Bryson, RB",DET,54,0,340,6.3,0,26,2,21.3,0,0,10
"Dallas Clark, TE",IND,29,0,340,11.7,1,42,5,34.0,0,0,16
"Mark Campbell, TE",BUF,34,0,339,10.0,1,31,5,21.2,0,0,11
"Justin Gage, WR",CHI,17,0,338,19.9,2,57,7,33.8,1,0,14
"Warrick Dunn, RB",ATL,37,0,336,9.1,2,86,4,30.5,1,0,14
"Matt Schobel, TE",CIN,24,0,332,13.8,2,45,4,22.1,2,0,12
"Brian Westbrook, RB",PHI,37,0,332,9.0,4,38,5,22.1,0,0,17
"Scotty Anderson, WR",DET,17,0,325,19.1,2,72,4,36.1,0,0,12
"L.J. Smith, TE",PHI,27,0,321,11.9,1,36,6,21.4,1,0,15
"Clinton Portis, RB",DEN,38,0,314,8.3,0,72,3,24.2,0,0,10
"Amos Zereoue, RB",PIT,40,0,310,7.8,0,29,1,19.4,0,0,13
