PLAYER,TEAM,COMP,ATT,PCT,YDS,YDS/A,LONG,TD,INT,SACK,RATE,YDS/G
"Brad Smith, WR",NYJ,1,1,100.0,27,27.00,27,0,0,0,118.8,2
"Fred Jackson, RB",BUF,1,1,100.0,27,27.00,27,1,0,0,158.3,2
"Mark Bradley, WR",KC,1,1,100.0,26,26.00,26,0,0,0,118.8,2
"Brian Moorman, P",BUF,1,1,100.0,25,25.00,25,1,0,0,158.3,2
"Troy Smith, QB",BAL,5,9,55.6,24,2.67,9,0,1,0,21.3,6
"Chris Simms, QB",DEN,5,17,29.4,23,1.35,7,0,1,5,15.1,8
"Ronnie Brown, RB",MIA,2,6,33.3,22,3.67,21,1,0,1,84.7,2
"Joseph Addai, RB",IND,1,1,100.0,22,22.00,22,1,0,0,158.3,1
"Legedu Naanee, WR",SD,1,1,100.0,21,21.00,21,0,0,0,118.8,1
"Joshua Cribbs, WR",CLE,1,4,25.0,18,4.50,18,0,1,0,6.3,1
"Charlie Batch, QB",PIT,1,2,50.0,17,8.50,17,0,0,0,79.2,17
"Brian St. Pierre, QB",ARI,2,4,50.0,12,3.00,9,1,1,0,56.3,12
"Caleb Hanie, QB",CHI,3,7,42.9,11,1.57,5,0,1,0,10.7,6
"Phil Dawson, PK",CLE,1,1,100.0,10,10.00,10,0,0,0,108.3,1
"Mewelde Moore, RB",PIT,1,1,100.0,6,6.00,6,1,0,0,131.3,0
"Matt Gutierrez, QB",KC,1,1,100.0,3,3.00,3,0,0,0,79.2,3
"Josh McCown, QB",CAR,1,6,16.7,2,0.33,2,0,0,1,39.6,2
"Luke McCown, QB",JAX,1,3,33.3,2,0.67,2,0,0,2,42.4,1
"Brad Maynard, P",CHI,1,1,100.0,0,0.00,0,0,0,0,79.2,0
"Ricky Williams, RB",MIA,0,1,0.0,0,0.00,0,0,1,0,0.0,0
"LaDainian Tomlinson, RB",SD,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Reggie Wayne, WR",IND,0,1,0.0,0,0.00,0,0,1,0,0.0,0
"Clinton Portis, RB",WSH,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Brian Westbrook, RB",PHI,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Dirk Johnson, P",TB,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Chris Brown, RB",HOU,0,1,0.0,0,0.00,0,0,1,0,0.0,0
"Michael Clayton, WR",TB,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"J.P. Losman, QB",OAK,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Braylon Edwards, WR",CLE/NYJ,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Mark Clayton, WR",BAL,1,1,100.0,0,0.00,0,0,0,0,79.2,0
"Santonio Holmes, WR",PIT,0,1,0.0,0,0.00,0,0,1,0,0.0,0
"Steve Weatherford, P",NYJ,0,1,0.0,0,0.00,0,0,1,0,0.0,0
"Micheal Spurlock, WR",SF/TB,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Sidney Rice, WR",MIN,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Michael Bush, RB",OAK,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Tim Castille, RB",KC,0,1,0.0,0,0.00,0,0,1,0,0.0,0
"Chris Johnson, RB",TEN,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Ray Rice, RB",BAL,0,1,0.0,0,0.00,0,0,0,0,39.6,0
"Pat White, QB",MIA,0,5,0.0,0,0.00,0,0,0,1,39.6,0
