PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"Lorenzo Booker, RB",MIA,28,125,4.5,22,1,0,17.9,0,8
"Heath Evans, FB",NE,34,121,3.6,11,0,3,7.6,0,13
"Michael Robinson, FB",SF,26,121,4.7,28,2,0,8.1,1,7
"Greg Jones, RB",JAX,42,119,2.8,11,0,2,7.4,0,7
"Chris Henry, RB",TEN,31,119,3.8,24,2,2,17.0,0,5
"Maurice Hicks, RB",SF,21,117,5.6,18,0,1,7.3,1,3
"Luke McCown, QB",TB,12,117,9.8,31,2,0,23.4,1,7
"Jeff Garcia, QB",TB,35,116,3.3,21,1,1,8.9,4,10
"Mewelde Moore, RB",MIN,20,113,5.7,17,0,0,9.4,1,7
"Kellen Clemens, QB",NYJ,27,111,4.1,18,0,1,11.1,1,10
"J.P. Losman, QB",BUF,20,110,5.5,17,0,0,13.8,2,8
"Vernand Morency, RB",GB,29,108,3.7,15,0,0,8.3,0,5
"Samkon Gado, RB",MIA/HOU,35,104,3.0,20,1,3,20.8,0,5
"Cleo Lemon, QB",MIA,31,102,3.3,11,0,4,11.3,2,16
"Tom Brady, QB",NE,37,98,2.6,19,0,2,6.1,1,14
"Dwayne Wright, FB",BUF,29,94,3.2,15,0,0,6.3,0,8
"Deuce McAllister, RB",NO,24,92,3.8,15,0,0,30.7,1,3
"Kyle Eckel, FB",NE,33,90,2.7,14,0,2,7.5,0,5
"Matt Hasselbeck, QB",SEA,39,89,2.3,12,0,0,5.6,4,8
"Anthony Thomas, RB",BUF,36,89,2.5,9,0,0,8.9,0,4
"Kyle Boller, QB",BAL,19,89,4.7,15,0,0,7.4,0,9
"Alex Smith, QB",SF,13,89,6.8,25,2,0,12.7,0,5
"Adimchinobe Echemandu, RB",OAK/HOU,20,85,4.3,20,1,0,12.1,1,3
"Garrett Wolfe, RB",CHI,31,85,2.7,25,1,0,6.5,0,4
"Mike Sellers, FB",WSH,26,78,3.0,15,0,2,5.6,0,9
"J.J. Arrington, RB",ARI,26,78,3.0,12,0,0,4.9,0,3
"Cory Ross, RB",BAL,12,72,6.0,32,1,1,12.0,0,3
"Derek Anderson, QB",CLE,32,70,2.2,11,0,3,4.4,1,12
"Eli Manning, QB",NYG,29,69,2.4,18,0,1,4.3,4,9
"Travis Minor, RB",STL,17,68,4.0,13,0,0,4.9,0,3
"Carey Davis, FB",PIT,17,68,4.0,12,0,0,4.3,0,1
"Steve Smith Sr., WR",CAR,9,66,7.3,22,1,0,4.4,0,4
"Clifton Dawson, RB",CIN/IND,30,64,2.1,12,0,1,5.8,0,3
"Jon Kitna, QB",DET,25,63,2.5,11,0,0,3.9,4,4
"Mike Anderson, RB",BAL,15,62,4.1,16,0,0,7.8,1,3
"Joshua Cribbs, WR",CLE,9,61,6.8,18,0,0,3.8,0,3
"David Carr, QB",CAR,17,59,3.5,15,0,0,9.8,1,5
"Cecil Sapp, FB",DEN,18,59,3.3,12,0,2,3.7,0,5
"Quinn Gray, QB",JAX,19,57,3.0,15,0,0,7.1,0,7
"Brandon Marshall, WR",DEN,5,57,11.4,24,1,0,3.6,0,4
"Tyson Thompson, RB",DAL,14,54,3.9,23,1,0,6.8,0,3
"Troy Smith, QB",BAL,12,54,4.5,14,0,1,13.5,2,5
"Michael Bennett, RB",KC/TB,20,52,2.6,12,0,0,8.7,0,3
"Drew Brees, QB",NO,23,52,2.3,9,0,1,3.3,1,8
"Matt Schaub, QB",HOU,17,52,3.1,12,0,0,4.7,1,4
"Calvin Johnson, WR",DET,4,52,13.0,32,1,1,3.5,0,3
"Sage Rosenfels, QB",HOU,21,51,2.4,19,0,1,5.7,1,6
"Trent Edwards, QB",BUF,14,49,3.5,14,0,0,4.9,1,4
"Chad Johnson, WR",CIN,6,47,7.8,16,0,0,2.9,0,2
"Patrick Cobbs, RB",MIA,15,47,3.1,12,0,1,3.4,0,3
"Jackie Battle, RB",KC,14,47,3.4,6,0,1,15.7,0,3
"Artose Pinner, RB",ATL,5,46,9.2,49,1,0,6.6,0,2
"Samkon Gado, RB",MIA/HOU,18,46,2.6,7,0,1,15.3,0,4
"Brad Smith, WR",NYJ,12,45,3.8,11,0,0,2.8,1,2
"Lawrence Vickers, FB",CLE,15,43,2.9,7,0,0,2.7,0,10
"Jason Snelling, FB",ATL,13,43,3.3,17,0,1,6.1,0,6
"Matt Leinart, QB",ARI,11,42,3.8,20,1,0,8.4,0,5
"Marcel Shipp, RB",ARI,15,41,2.7,14,0,1,2.6,0,5
"Daunte Culpepper, QB",OAK,20,40,2.0,9,0,3,5.7,3,7
"Brad Hoover, FB",CAR,12,39,3.3,10,0,0,2.4,0,4
"Aveion Cason, RB",DET,11,38,3.5,12,0,0,3.2,0,2
"Jerricho Cotchery, WR",NYJ,5,38,7.6,16,0,0,2.5,0,3
"Cedrick Wilson, WR",PIT,2,37,18.5,37,1,0,2.3,0,1
"Brandon Jones, WR",TEN,2,37,18.5,19,0,0,4.1,0,2
"Travis Williams, LB",ATL,1,37,37.0,37,1,0,6.2,0,1
"Reggie Brown, WR",PHI,5,36,7.2,12,0,0,2.3,0,2
"Brian Calhoun, RB",DET,7,35,5.0,17,0,0,8.8,0,2
"Wes Welker, WR",NE,4,34,8.5,27,1,0,2.1,0,1
"Joey Harrington, QB",ATL,14,33,2.4,13,0,0,2.8,0,2
"Philip Rivers, QB",SD,29,33,1.1,10,0,1,2.1,5,8
"Trent Green, QB",MIA,7,32,4.6,23,1,0,6.4,2,3
"Lorenzo Neal, FB",SD,13,32,2.5,10,0,0,2.5,0,5
"Steve McNair, QB",BAL,10,32,3.2,13,0,0,5.3,2,4
"Chad Pennington, QB",NYJ,20,32,1.6,5,0,1,3.6,2,9
"Kevin Walter, WR",HOU,5,30,6.0,13,0,0,1.9,0,2
"Dallas Clark, TE",IND,2,29,14.5,15,0,0,1.9,0,2
"Troy Williamson, WR",MIN,2,29,14.5,26,1,0,2.6,0,1
"Aaron Rodgers, QB",GB,7,29,4.1,13,0,0,14.5,0,3
"Brian Griese, QB",CHI,13,28,2.2,9,0,0,4.0,4,3
"Dennis Northcutt, WR",JAX,6,27,4.5,8,0,0,1.8,0,0
"Rex Grossman, QB",CHI,14,27,1.9,12,0,0,3.4,2,4
"Justin Griffith, FB",OAK,7,27,3.9,6,0,0,1.7,0,0
"LaBrandon Toefield, RB",JAX,13,27,2.1,7,0,1,13.5,0,2
"Jake Delhomme, QB",CAR,6,26,4.3,13,0,0,8.7,0,2
"Trent Dilfer, QB",SF,10,25,2.5,11,0,0,3.6,4,1
"Jeremi Johnson, FB",CIN,7,25,3.6,12,0,0,1.6,0,1
"Jameel Cook, FB",HOU,8,24,3.0,9,0,0,1.5,0,2
"A.J. Feeley, QB",PHI,7,23,3.3,7,0,0,7.7,0,2
"Vinny Testaverde, QB",CAR,9,22,2.4,16,0,0,3.1,0,0
"Michael Clayton, WR",TB,5,22,4.4,20,1,0,1.6,0,2
"Gary Russell, RB",PIT,7,21,3.0,8,0,0,7.0,0,1
"Devery Henderson, WR",NO,2,20,10.0,15,0,0,1.3,0,1
"Bruce Gradkowski, QB",TB,7,20,2.9,13,0,0,5.0,0,1
"Mack Strong, FB",SEA,4,19,4.8,9,0,0,3.8,0,1
"Roscoe Parrish, WR",BUF,3,19,6.3,24,1,1,1.2,0,1
"Chris Davis, WR",TEN,2,19,9.5,14,0,0,1.6,0,1
"Dante Hall, WR",STL,3,18,6.0,9,0,0,2.6,0,2
"Brooks Bollinger, QB",MIN,5,18,3.6,10,0,0,3.6,1,1
"Thomas Tapeh, RB",PHI,5,18,3.6,11,0,0,1.1,0,3
"Brodie Croyle, QB",KC,7,18,2.6,6,0,0,2.0,0,1
"Le'Ron McClain, FB",BAL,8,18,2.3,4,0,0,1.1,0,2
"Chris Chambers, WR",MIA/SD,2,17,8.5,9,0,0,1.7,0,0
"Moran Norris, RB",SF,7,17,2.4,6,0,0,1.1,0,4
"Jason McKie, FB",CHI,6,17,2.8,6,0,1,1.1,1,3
"Seneca Wallace, QB",SEA,4,17,4.3,11,0,0,1.7,0,2
"Mike Karney, FB",NO,11,17,1.5,10,0,2,1.1,0,4
"Santonio Holmes, WR",PIT,5,17,3.4,11,0,0,1.3,1,1
"Chris Redman, QB",ATL,8,16,2.0,7,0,0,2.3,0,0
"Tony Hunt, RB",PHI,10,16,1.6,4,0,1,2.0,0,5
"Kurt Warner, QB",ARI,17,15,0.9,9,0,1,1.1,7,1
"Ricky Williams, RB",MIA,6,15,2.5,6,0,0,15.0,1,2
"Naufahu Tahi, FB",MIN,6,15,2.5,6,0,0,1.5,0,0
"T.J. Houshmandzadeh, WR",CIN,5,14,2.8,8,0,0,0.9,0,0
"Brian Moorman, P",BUF,4,14,3.5,10,0,0,0.9,1,2
"Shaun Hill, QB",SF,12,14,1.2,12,0,1,4.7,1,2
"Anquan Boldin, WR",ARI,1,14,14.0,14,0,0,1.2,0,1
"Tony Richardson, FB",MIN,7,13,1.9,4,0,0,0.9,0,3
"Sean Morey, WR",ARI,1,13,13.0,13,0,0,0.9,0,1
"Marc Bulger, QB",STL,9,13,1.4,14,0,0,1.1,2,1
"Santana Moss, WR",WSH,3,13,4.3,11,0,0,0.9,1,1
"Luke Lawton, FB",IND,5,13,2.6,4,0,0,1.2,0,1
"Brett Favre, QB",GB,29,12,0.4,21,1,0,0.8,4,3
"Tim Dwight, WR",OAK,2,12,6.0,10,0,0,2.0,0,1
"Marty Booker, WR",MIA,2,12,6.0,12,0,0,0.8,1,1
"Donte' Stallworth, WR",NE,1,12,12.0,12,0,0,0.8,0,1
"Matt Cassel, QB",NE,4,12,3.0,15,0,1,2.0,1,1
"John Beck, QB",MIA,9,12,1.3,8,0,1,2.4,2,4
"Hines Ward, WR",PIT,3,11,3.7,7,0,0,0.8,0,1
"Benjamin Watson, TE",NE,1,11,11.0,11,0,0,0.9,0,1
"Dwayne Jarrett, WR",CAR,1,11,11.0,11,0,0,1.6,0,1
"Josh Reed, WR",BUF,4,10,2.5,12,0,0,0.7,0,1
"Carson Palmer, QB",CIN,24,10,0.4,10,0,0,0.6,1,3
"Jon Bradley, FB",DET,5,9,1.8,3,0,0,0.6,1,3
"Tab Perry, WR",CIN,1,9,9.0,9,0,0,4.5,0,0
"Craig Davis, WR",SD,3,9,3.0,6,0,0,0.6,0,0
"Kenneth Darby, RB",TB,2,9,4.5,7,0,0,9.0,0,1
"Gilbert Harris, FB",KC,9,9,1.0,4,0,0,2.3,1,1
"Reggie Williams, WR",JAX,1,8,8.0,8,0,0,0.5,0,1
"Ahmard Hall, FB",TEN,1,8,8.0,8,0,0,0.7,0,1
"Steve Breaston, WR",ARI,2,8,4.0,10,0,0,0.5,0,1
"Byron Leftwich, QB",ATL,6,7,1.2,7,0,0,2.3,2,1
"Ovie Mughelli, FB",ATL,6,7,1.2,3,0,1,0.4,0,2
"Kris Wilson, TE",KC,3,7,2.3,5,0,0,0.4,0,1
"Jeff Dugan, TE",MIN,2,7,3.5,4,0,0,0.4,0,2
"Lance Moore, WR",NO,2,7,3.5,7,0,1,0.4,0,1
"Jon Ryan, P",GB,2,7,3.5,7,0,0,0.4,1,1
"Ike Hilliard, WR",TB,1,6,6.0,6,0,0,0.4,0,0
"Jeremy Shockey, TE",NYG,1,6,6.0,6,0,0,0.4,0,0
"Patrick Ramsey, QB",DEN,2,6,3.0,4,0,0,3.0,0,2
"Craig Nall, QB",BUF/GB/HOU,5,6,1.2,8,0,0,6.0,2,1
"Eddie Kennison, WR",KC,1,5,5.0,5,0,0,0.6,0,0
"Terrell Owens, WR",DAL,1,5,5.0,5,0,0,0.3,0,0
"Tim Rattay, QB",ARI,2,5,2.5,5,0,0,1.3,2,0
"Koren Robinson, WR",GB,1,5,5.0,5,0,0,0.6,0,0
"Antonio Chatman, WR",CIN,1,5,5.0,5,0,0,0.4,0,0
"Jeff Webb, WR",KC,1,5,5.0,5,0,0,0.3,0,0
"Steve Weatherford, P",NO,1,5,5.0,5,0,0,0.3,0,1
"Reagan Maui'a, FB",MIA,4,5,1.3,3,0,0,0.3,0,0
"Derek Stanley, WR",STL,1,5,5.0,5,0,0,1.7,0,0
"Matt Moore, QB",CAR,3,5,1.7,5,0,0,0.6,1,0
"Donald Driver, WR",GB,2,4,2.0,5,0,0,0.3,0,0
"Reggie Wayne, WR",IND,1,4,4.0,4,0,0,0.3,0,0
"Jon McGraw, S",KC,1,4,4.0,4,0,0,0.3,0,1
"Nate Burleson, WR",SEA,2,4,2.0,3,0,0,0.3,0,0
"Arnaz Battle, WR",SF,4,4,1.0,8,0,1,0.3,1,1
"Zak Keasey, FB",SF,2,4,2.0,3,0,0,0.3,0,0
"Sinorice Moss, WR",NYG,1,4,4.0,4,0,0,0.3,0,0
"JaMarcus Russell, QB",OAK,5,4,0.8,7,0,0,1.0,2,0
"Gus Frerotte, QB",STL,6,3,0.5,2,0,0,0.4,1,2
"Terrelle Smith, FB",ARI,1,3,3.0,3,0,0,0.2,0,0
"Alex Haynes, RB",CAR,3,3,1.0,3,0,0,0.3,0,0
"Chris Barclay, RB",CLE/TEN/NO,1,3,3.0,3,0,0,0.8,0,0
"Mike Bell, RB",DEN,6,3,0.5,3,0,0,0.6,1,2
"Ted Ginn, WR",MIA,4,3,0.8,7,0,0,0.2,0,0
"Johnnie Lee Higgins, WR",OAK,2,3,1.5,8,0,0,0.2,0,0
"Aundrae Allison, WR",MIN,2,3,1.5,3,0,0,0.3,0,0
"Chris Davis, WR",NYJ,1,3,3.0,3,0,0,1.5,0,0
"Dan Kreider, FB",PIT,1,2,2.0,2,0,0,0.2,0,0
"Shaun McDonald, WR",DET,4,2,0.5,9,0,0,0.1,1,0
"Samie Parker, WR",KC,1,2,2.0,2,0,0,0.1,0,0
"Jared Lorenzen, QB",NYG,1,2,2.0,2,0,0,1.0,0,0
"Vonta Leach, FB",HOU,2,2,1.0,1,0,1,0.1,0,1
"Glenn Holt, WR",CIN,2,2,1.0,1,0,0,0.1,0,0
"Todd Collins, QB",WSH,8,1,0.1,4,0,0,0.3,1,1
"Joey Galloway, WR",TB,1,1,1.0,1,0,0,0.1,0,0
"Ronald Curry, WR",OAK,1,1,1.0,1,0,0,0.1,0,0
"Andrew Pinnock, RB",SD,4,1,0.3,5,0,0,0.1,0,0
"Roy Williams, WR",DET,2,1,0.5,9,0,0,0.1,0,1
"Charlie Frye, QB",CLE/SEA,1,1,1.0,1,0,0,1.0,0,0
"Jason Avant, WR",PHI,1,1,1.0,1,0,0,0.1,0,0
"Skyler Green, WR",CIN,1,1,1.0,1,0,0,0.1,0,0
"Mitch Berger, P",ARI,1,0,0.0,0,0,0,0.0,1,0
"Zack Crockett, RB",DAL/TB,1,0,0.0,0,0,0,0.0,0,0
"Matt Turk, P",HOU,1,0,0.0,0,0,0,0.0,0,0
"Rock Cartwright, RB",WSH,2,0,0.0,1,0,0,0.0,0,0
"Derrick Frost, P",WSH,1,0,0.0,0,0,0,0.0,1,0
"Michael Koenen, P",ATL,1,0,0.0,0,0,0,0.0,1,0
"Nate Washington, WR",PIT,1,0,0.0,0,0,0,0.0,0,0
"Ryan Plackemeier, P",SEA,1,0,0.0,0,0,0,0.0,0,0
"Damon Huard, QB",KC,9,-1,-0.1,2,0,0,-0.1,0,0
"Anthony Wright, QB",NYG,1,-1,-1.0,-1,0,0,-0.3,0,0
"Tim Hasselbeck, QB",ARI,1,-1,-1.0,-1,0,0,-1.0,0,0
"Ben Troupe, TE",TEN,1,-1,-1.0,-1,0,0,-0.1,0,0
"Kyle Orton, QB",CHI,5,-1,-0.2,1,0,0,-0.3,1,1
"Jacoby Jones, WR",HOU,3,-1,-0.3,4,0,0,-0.1,0,1
"Yamon Figurs, WR",BAL,1,-1,-1.0,-1,0,0,-0.1,0,0
"Roddy White, WR",ATL,1,-2,-2.0,-2,0,0,-0.1,0,0
"Kevin Kolb, QB",PHI,3,-2,-0.7,0,0,0,-2.0,0,0
"Adam Podlesh, P",JAX,2,-2,-1.0,0,0,0,-0.1,1,0
"Jamie Martin, QB",NO,3,-3,-1.0,-1,0,0,-1.0,0,0
"Kerry Collins, QB",TEN,3,-3,-1.0,-1,0,0,-0.5,0,0
"Javon Walker, WR",DEN,2,-3,-1.5,-1,0,0,-0.4,0,0
"Antwaan Randle El, WR",WSH,4,-3,-0.8,1,0,0,-0.2,0,0
"Dave Zastudil, P",CLE,2,-3,-1.5,0,0,0,-0.3,1,0
"Eddie Drummond, WR",KC,1,-3,-3.0,-3,0,0,-0.3,0,0
"Isaac Bruce, WR",STL,2,-4,-2.0,-1,0,0,-0.3,0,0
"Shane Lechler, P",OAK,1,-4,-4.0,-4,0,0,-0.3,0,0
"Jim Sorgi, QB",IND,6,-4,-0.7,1,0,0,-1.0,0,1
"Marques Hagans, WR",STL,2,-4,-2.0,-2,0,0,-1.0,0,0
"Brad Johnson, QB",DAL,5,-5,-1.0,0,0,0,-0.3,0,0
"David Patten, WR",NO,2,-5,-2.5,1,0,0,-0.3,0,0
"Peyton Manning, QB",IND,20,-5,-0.3,4,0,3,-0.3,0,4
"Chris Chambers, WR",MIA/SD,1,-5,-5.0,-5,0,0,-0.8,0,0
"Brandon Stokley, WR",DEN,1,-6,-6.0,-6,0,0,-0.5,0,0
"Charlie Batch, QB",PIT,12,-7,-0.6,0,0,0,-1.0,0,0
"Billy Volek, QB",SD,11,-7,-0.6,0,0,0,-1.4,1,0
"Craig Hentrich, P",TEN,1,-8,-8.0,-8,0,0,-0.5,0,0
"Bryan Gilmore, WR",SF,1,-8,-8.0,-8,0,0,-0.8,0,0
"Taylor Jacobs, WR",DEN/SF,1,-8,-8.0,-8,0,0,-2.0,0,0
"Domenik Hixon, WR",DEN/NYG,1,-8,-8.0,-8,0,0,-0.7,0,0
"Bobby Wade, WR",MIN,1,-9,-9.0,-9,0,0,-0.6,0,0
"J.T. O'Sullivan, QB",DET,4,-10,-2.5,2,0,0,-2.5,3,0
"Devin Hester, WR",CHI,7,-10,-1.4,5,0,0,-0.6,0,0
"Matt Gutierrez, QB",NE,5,-13,-2.6,-1,0,0,-2.6,0,0
"Jacob Bell, OG",TEN,1,-15,-15.0,-15,0,0,-0.9,1,0
"Brock Berlin, QB",STL,3,-16,-5.3,0,0,0,-16.0,2,0
"Roydell Williams, WR",TEN,2,-17,-8.5,-6,0,0,-1.1,0,0
