PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
"LaDainian Tomlinson, RB",SD,315,"1,474",4.7,49,13,15,92.1,0,75
"Adrian Peterson, RB",MIN,238,"1,341",5.6,73,11,12,95.8,4,62
"Brian Westbrook, RB",PHI,278,"1,333",4.8,36,11,7,88.9,0,73
"Willie Parker, RB",PIT,321,"1,316",4.1,32,12,2,87.7,4,49
"Jamal Lewis, RB",CLE,298,"1,304",4.4,66,9,9,86.9,4,58
"Clinton Portis, RB",WSH,325,"1,262",3.9,32,3,11,78.9,6,61
"Edgerrin James, RB",ARI,324,"1,222",3.8,27,4,7,76.4,4,52
"Willis McGahee, RB",BAL,294,"1,207",4.1,46,5,7,80.5,4,56
"Fred Taylor, RB",JAX,223,"1,202",5.4,80,8,5,80.1,2,45
"Thomas Jones, RB",NYJ,310,"1,119",3.6,36,2,1,69.9,2,55
"Marshawn Lynch, RB",BUF,280,"1,115",4.0,56,6,7,85.8,1,51
"LenDale White, RB",TEN,303,"1,110",3.7,28,4,7,69.4,5,57
"Frank Gore, RB",SF,260,"1,102",4.2,43,5,5,73.5,3,42
"Joseph Addai, RB",IND,261,"1,072",4.1,23,2,12,71.5,0,65
"Justin Fargas, RB",OAK,222,"1,009",4.5,48,6,4,72.1,3,52
"Brandon Jacobs, RB",NYG,202,"1,009",5.0,43,4,4,91.7,4,49
"Steven Jackson, RB",STL,237,"1,002",4.2,54,8,5,83.5,3,36
"Marion Barber, RB",DAL,204,975,4.8,54,8,10,60.9,1,48
"Ryan Grant, RB",GB,188,956,5.1,66,11,8,63.7,0,36
"Earnest Graham, RB",TB,222,898,4.0,28,6,10,59.9,0,46
"DeShaun Foster, RB",CAR,247,876,3.5,20,1,3,54.8,5,42
"Chester Taylor, RB",MIN,157,844,5.4,84,8,7,60.3,5,35
"Laurence Maroney, RB",NE,185,835,4.5,59,2,6,64.2,0,49
"Ron Dayne, RB",HOU,194,773,4.0,39,5,6,59.5,1,43
"Maurice Jones-Drew, RB",JAX,167,768,4.6,57,8,9,51.2,1,46
"Kenny Watson, RB",CIN,178,763,4.3,24,1,7,47.7,2,40
"Selvin Young, RB",DEN,140,729,5.2,50,8,1,48.6,1,22
"Warrick Dunn, RB",ATL,227,720,3.2,38,3,4,45.0,2,34
"DeAngelo Williams, RB",CAR,144,717,5.0,75,5,4,44.8,0,27
"Shaun Alexander, RB",SEA,207,716,3.5,25,5,4,55.1,2,37
"Travis Henry, RB",DEN,167,691,4.1,33,3,4,57.6,3,36
"Cedric Benson, RB",CHI,196,674,3.4,43,3,4,61.3,3,33
"Maurice Morris, RB",SEA,140,628,4.5,46,4,4,44.9,1,32
"Jerious Norwood, RB",ATL,103,613,6.0,67,6,1,40.9,0,25
"Derrick Ward, RB",NYG,125,602,4.8,44,4,3,75.3,2,28
"Ronnie Brown, RB",MIA,119,602,5.1,60,2,4,86.0,0,39
"Julius Jones, RB",DAL,164,588,3.6,25,3,2,36.8,0,24
"Kevin Jones, RB",DET,153,581,3.8,34,3,8,44.7,2,35
"Reggie Bush, RB",NO,157,581,3.7,22,3,4,48.4,7,32
"Larry Johnson, RB",KC,158,559,3.5,54,5,3,69.9,1,24
"LaMont Jordan, RB",OAK,144,549,3.8,33,4,3,45.8,0,24
"Kenton Keith, RB",IND,121,533,4.4,22,2,3,33.3,1,43
"Jesse Chatman, RB",MIA,128,515,4.0,30,4,1,36.8,0,26
"Adrian Peterson, RB",CHI,151,510,3.4,21,2,3,31.9,2,26
"Najeh Davenport, RB",PIT,107,499,4.7,45,2,5,33.3,1,37
"Rudi Johnson, RB",CIN,170,497,2.9,22,2,3,45.2,3,26
"Chris Brown, RB",TEN,102,462,4.5,42,3,5,38.5,1,28
"Aaron Stecker, RB",NO,115,448,3.9,26,1,5,28.0,1,29
"Kolby Smith, RB",KC,112,407,3.6,19,0,2,25.4,0,26
"Vince Young, QB",TEN,93,395,4.2,21,2,3,26.3,5,24
"Sammy Morris, RB",NE,85,384,4.5,49,1,3,64.0,0,24
"Leon Washington, RB",NYJ,71,353,5.0,49,2,3,22.1,1,12
"T.J. Duckett, RB",DET,65,335,5.2,53,3,3,27.9,1,16
"Ladell Betts, RB",WSH,93,335,3.6,20,1,1,20.9,1,16
"Michael Turner, RB",SD,71,316,4.5,74,2,1,19.8,1,10
"Correll Buckhalter, RB",PHI,62,313,5.0,30,3,4,22.4,0,17
"Brian Leonard, RB",STL,86,303,3.5,31,1,0,18.9,0,14
"Dominic Rhodes, RB",OAK,75,302,4.0,25,1,1,30.2,2,18
"Fred Jackson, RB",BUF,58,300,5.2,27,3,0,37.5,0,12
"Michael Pittman, RB",TB,68,286,4.2,29,2,0,28.6,0,12
"Jason Wright, RB",CLE,60,277,4.6,18,0,1,17.3,1,19
"Reuben Droughns, RB",NYG,85,275,3.2,45,2,6,17.2,1,27
"Brandon Jackson, RB",GB,75,267,3.6,46,1,1,24.3,0,10
"Kevin Faulk, RB",NE,62,265,4.3,14,0,0,16.6,0,15
"Musa Smith, RB",BAL,75,264,3.5,24,1,2,16.5,1,13
"Darius Walker, RB",HOU,58,264,4.6,41,1,1,66.0,0,13
"Ahman Green, RB",HOU,70,260,3.7,18,0,2,43.3,0,17
"Tarvaris Jackson, QB",MIN,54,260,4.8,32,1,3,21.7,2,19
"Pierre Thomas, RB",NO,52,252,4.8,24,1,1,21.0,0,15
"Donovan McNabb, QB",PHI,50,236,4.7,40,3,0,16.9,3,16
"Andre Hal, CB",DEN,44,216,4.9,62,2,2,21.6,1,10
"Cadillac Williams, RB",TB,54,208,3.9,20,1,3,52.0,1,12
"Jay Cutler, QB",DEN,44,205,4.7,31,4,1,12.8,7,15
"Ben Roethlisberger, QB",PIT,35,204,5.8,30,1,2,13.6,1,17
"DeShawn Wynn, RB",GB,50,203,4.1,44,2,4,29.0,0,10
"Ahmad Bradshaw, RB",NYG,23,190,8.3,88,1,1,15.8,0,6
"Michael Bennett, RB",KC/TB,41,189,4.6,28,1,1,23.6,0,7
"David Garrard, QB",JAX,49,185,3.8,19,0,1,15.4,0,19
"Jason Campbell, QB",WSH,36,185,5.1,29,2,1,14.2,5,15
"DeDe Dorsey, RB",CIN,21,183,8.7,45,2,0,15.3,0,9
"Tatum Bell, RB",DET,44,182,4.1,24,1,1,36.4,1,7
"Darren Sproles, RB",SD,37,164,4.4,34,1,2,10.9,0,6
"Leonard Weaver, FB",SEA,33,146,4.4,37,1,1,9.1,0,13
"Josh McCown, QB",OAK,29,143,4.9,24,2,0,15.9,3,9
"Jerome Harrison, RB",CLE,23,142,6.2,17,0,0,17.8,0,8
"Antonio Pittman, RB",STL,38,139,3.7,43,1,0,12.6,0,7
"Priest Holmes, RB",KC,46,137,3.0,11,0,0,34.3,0,6
"Tony Romo, QB",DAL,31,129,4.2,17,0,2,8.1,3,8
