RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Chris Doering, WR",WSH,18,0,192,10.7,2,33,1,12.8,1,0,12
182,"Dwayne Carswell, OG",DEN,21,0,189,9.0,1,19,0,11.8,0,0,9
183,"Pat Johnson, WR",JAX,9,0,187,20.8,2,79,2,20.8,0,0,7
 ,"Brad Hoover, FB",CAR,17,0,187,11.0,2,33,3,11.7,1,0,7
185,"Kevin Kasper, WR",DEN/ARI/SEA,15,0,180,12.0,3,24,3,30.0,0,0,11
186,"Mark Campbell, TE",CLE,25,0,179,7.2,3,26,1,11.2,0,0,9
187,"Kelly Campbell, WR",MIN,13,0,176,13.5,3,32,3,29.3,1,0,10
188,"Dan Campbell, TE",NYG,22,0,175,8.0,1,27,2,10.9,0,0,10
189,"Bob Christian, FB",ATL,13,0,174,13.4,0,55,2,11.6,1,0,7
190,"Erron Kinney, TE",TEN,13,0,173,13.3,0,31,3,11.5,0,0,10
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
191,"Chris Walsh, WR",MIN,14,0,172,12.3,1,28,2,10.8,0,0,8
 ,"Dedric Ward, WR",MIA,19,0,172,9.1,0,22,1,10.8,0,0,11
193,"William Henderson, FB",GB,26,0,168,6.5,3,17,0,11.2,0,0,12
194,"Lamar Smith, RB",CAR,20,0,167,8.4,0,58,1,15.2,1,0,8
 ,"Mike Anderson, RB",DEN,18,0,167,9.3,2,52,2,11.1,0,0,7
 ,"John Simon, RB",TEN,16,0,167,10.4,3,42,4,13.9,0,0,7
197,"Cedrick Wilson, WR",SF,15,0,166,11.1,1,22,1,10.4,0,0,12
198,"Stanley Pritchett, RB",CHI,19,0,165,8.7,1,24,2,10.3,0,0,10
199,"Isaac Byrd, WR",CAR,14,0,164,11.7,1,31,1,12.6,0,0,8
200,"Anthony Thomas, RB",CHI,24,0,163,6.8,0,19,0,13.6,0,0,4
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
201,"Reggie Kelly, TE",ATL,14,0,162,11.6,0,33,3,10.1,0,0,7
202,"LaMont Jordan, RB",NYJ,17,0,160,9.4,0,27,1,11.4,0,0,8
203,"Kris Mangum, TE",CAR,16,0,159,9.9,0,35,1,9.9,0,0,7
204,"Troy Edwards, WR",STL,18,0,157,8.7,2,48,1,11.2,1,0,8
205,"Ladell Betts, RB",WSH,12,0,154,12.8,0,40,2,14.0,0,0,5
206,"Fred Beasley, RB",SF,22,0,152,6.9,1,25,1,9.5,0,0,8
 ,"James Whalen, TE",DAL,17,0,152,8.9,0,33,1,9.5,0,0,7
 ,"Larry Foster, WR",DET,14,0,152,10.9,0,22,1,11.7,0,0,10
209,"Daniel Graham, TE",NE,15,0,150,10.0,1,31,2,12.5,0,0,7
210,"Olandis Gary, RB",DEN,18,0,148,8.2,0,19,0,11.4,0,0,5
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
211,"Karl Hankton, WR",CAR,9,0,146,16.2,0,31,4,9.1,0,0,7
 ,"Zeron Flemister, TE",WSH,10,0,146,14.6,2,25,1,9.7,1,0,9
213,"Michael Wiley, RB",DAL,13,0,144,11.1,0,31,2,9.0,0,0,7
214,"Boo Williams, TE",NO,13,0,143,11.0,2,32,2,8.9,0,0,9
215,"Stephen Davis, RB",WSH,23,0,142,6.2,1,14,0,11.8,0,0,4
216,"Dave Moore, TE",BUF,16,0,141,8.8,2,19,0,10.1,0,0,8
217,"Kevan Barlow, RB",SF,14,0,136,9.7,1,29,1,9.7,1,0,7
218,"Derrick Alexander, WR",MIN,14,0,134,9.6,1,18,0,16.8,0,0,7
219,"Lorenzo Neal, FB",CIN,21,0,133,6.3,1,15,0,8.3,0,0,7
 ,"Donald Hayes, WR",NE,12,0,133,11.1,2,40,1,11.1,0,0,5
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
221,"John Gilmore, TE",CHI,10,0,130,13.0,0,30,2,16.3,0,0,7
222,"Kevin Lockett, WR",WSH/JAX,11,0,129,11.7,2,26,2,21.5,1,0,6
 ,"Chester Taylor, RB",BAL,14,0,129,9.2,2,20,1,8.6,0,0,8
224,"Jeff Thomason, TE",PHI,10,0,128,12.8,2,24,2,8.0,0,0,8
225,"David Sloan, TE",NO,12,0,127,10.6,0,29,2,7.9,0,0,6
 ,"David Terrell, WR",CHI,9,0,127,14.1,3,52,2,25.4,0,0,7
227,"Cecil Martin, RB",PHI,15,0,126,8.4,0,53,1,7.9,1,0,3
 ,"Robert Edwards, RB",MIA,18,0,126,7.0,1,14,0,10.5,0,0,10
229,"Tony Richardson, FB",KC,18,0,125,6.9,1,23,1,8.9,0,0,6
 ,"Leon Johnson, RB",CHI,16,0,125,7.8,0,31,1,7.8,0,0,6
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
231,"Dorsey Levens, RB",PHI,19,0,124,6.5,1,24,1,7.8,0,0,6
232,"Randy Hymes, WR",BAL,6,0,123,20.5,0,43,2,17.6,0,0,5
233,"Dan Kreider, FB",PIT,18,0,122,6.8,1,15,0,7.6,1,0,9
234,"Steve Bush, RB",ARI,19,0,121,6.4,1,13,0,7.6,0,0,5
 ,"Dustin Lyman, TE",CHI,14,0,121,8.6,2,21,1,10.1,0,0,6
 ,"Rock Cartwright, RB",WSH,11,0,121,11.0,1,22,1,7.6,0,0,5
237,"Mack Strong, FB",SEA,22,0,120,5.5,2,12,0,7.5,0,0,4
238,"Terry Kirby, RB",OAK,17,0,115,6.8,1,24,1,19.2,1,0,3
 ,"Danny Farmer, WR",CIN,9,0,115,12.8,0,51,2,14.4,0,0,4
240,"Bryan Johnson, FB",WSH,15,0,114,7.6,0,23,1,7.1,0,0,4
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
241,"Ron Johnson, WR",BAL,10,0,114,11.4,1,33,1,7.1,0,0,7
242,"Thomas Jones, RB",ARI,20,0,113,5.7,0,17,0,12.6,0,0,4
 ,"William Green, RB",CLE,16,0,113,7.1,0,18,0,7.1,1,0,5
244,"Cameron Cleeland, TE",NE,16,0,112,7.0,1,22,1,9.3,0,0,7
245,"Brandon Bennett, RB",CIN,18,0,109,6.1,0,15,0,9.1,1,0,3
246,"Nate Poole, WR",ARI,13,0,108,8.3,1,15,0,21.6,0,0,7
247,"Tyrone Davis, TE",GB,9,0,107,11.9,1,24,2,11.9,0,0,7
248,"Brandon Manumaleuna, TE",STL,8,0,106,13.3,1,27,2,6.6,0,0,5
 ,"Terry Jones, TE",BAL,11,0,106,9.6,1,27,1,7.6,0,0,5
250,"Steve Heiden, TE",CLE,17,0,105,6.2,1,12,0,6.6,0,0,8
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Freddie Mitchell, WR",PHI,12,0,105,8.8,0,18,0,6.6,1,0,6
252,"Ahmad Merritt, WR",CHI,14,0,100,7.1,0,25,1,8.3,1,0,5
253,"James Williams, WR",SEA,9,0,99,11.0,0,18,0,7.6,0,0,5
 ,"Troy Hambrick, RB",DAL,21,0,99,4.7,0,14,0,6.2,1,0,1
255,"Fred McCrary, RB",SD,22,0,96,4.4,3,25,1,6.0,1,0,5
256,"Michael Westbrook, WR",CIN,8,0,94,11.8,2,26,1,10.4,0,0,4
 ,"Jacquez Green, WR",DET/WSH,5,0,94,18.8,0,44,2,10.4,0,0,4
258,"David Givens, WR",NE,9,0,92,10.2,1,30,1,7.7,1,0,4
259,"Robert Holcombe, FB",TEN,10,0,91,9.1,0,18,0,11.4,1,0,3
 ,"Nick Goings, RB",CAR,18,0,91,5.1,0,14,0,6.5,0,0,3
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
261,"Daryl Jones, WR",NYG,8,0,90,11.3,0,32,1,6.9,0,0,3
262,"Emmitt Smith, RB",DAL,16,0,89,5.6,0,17,0,5.6,1,0,4
263,"Charles Stackhouse, RB",NYG,13,0,88,6.8,3,18,0,5.5,1,0,5
264,"Dee Brown, RB",CAR,17,0,86,5.1,1,15,0,6.1,0,0,5
 ,"Brian Westbrook, RB",PHI,9,0,86,9.6,0,20,1,5.7,1,0,4
266,"Walter Rasby, TE",WSH,9,0,85,9.4,0,18,0,6.5,0,0,3
 ,"Jerald Sowell, FB",NYJ,9,0,85,9.4,1,31,1,5.3,0,0,7
268,"Joel Makovicka, FB",ARI,15,0,81,5.4,3,17,0,6.8,0,0,6
 ,"James Mungro, RB",IND,13,0,81,6.2,0,11,0,9.0,1,0,4
270,"Robert Thomas, FB",DAL,12,0,80,6.7,0,23,1,5.3,0,0,4
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
