RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Yo Murphy, WR",KC/STL,5,0,23,4.6,0,8,0,2.1,0,0,0
 ,"Omar Easy, RB",KC,3,0,23,7.7,1,13,0,3.3,0,0,2
 ,"Darnell Sanders, TE",CLE,3,0,23,7.7,1,14,0,2.3,0,0,2
349,"Mike Lucky, TE",DAL,1,0,22,22.0,0,22,1,1.4,0,0,1
350,"Hunter Goodwin, TE",MIN,4,0,20,5.0,1,8,0,1.3,0,0,2
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Ricky Williams, RB",IND,1,0,20,20.0,1,20,1,2.0,0,0,1
352,"Randy Jordan, RB",OAK,2,0,19,9.5,0,15,0,1.4,0,0,1
 ,"Chad Morton, RB",NYJ,3,0,19,6.3,0,8,0,1.2,0,0,0
354,"Adrian Peterson, RB",CHI,3,0,18,6.0,0,16,0,2.0,0,0,1
355,"Jermaine Wiggins, TE",IND/CAR,2,0,17,8.5,0,9,0,5.7,1,0,0
 ,"Shad Meier, TE",TEN,1,0,17,17.0,1,17,0,1.4,0,0,1
 ,"Mike Roberg, TE",IND,2,0,17,8.5,1,15,0,1.4,0,0,2
 ,"Robert Baker, WR",MIA,1,0,17,17.0,0,17,0,1.7,0,0,1
359,"Jason Dunn, TE",KC,2,0,16,8.0,0,11,0,1.5,0,0,1
 ,"Ryan Hannam, TE",SEA,1,0,16,16.0,1,16,0,1.1,0,0,1
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
361,"Justin Peelle, TE",SD,3,0,15,5.0,0,10,0,1.0,0,0,0
362,"Detron Smith, RB",IND,1,0,14,14.0,0,14,0,1.3,0,0,1
 ,"Bryan Gilmore, WR",ARI,1,0,14,14.0,0,14,0,2.0,0,0,1
 ,"Eddie Berlin, WR",TEN,1,0,14,14.0,0,14,0,0.9,0,0,1
 ,"Chris Baker, TE",NYJ,2,0,14,7.0,0,10,0,1.2,0,0,1
366,"Stephen Trejo, RB",DET,2,0,13,6.5,0,8,0,0.8,0,0,0
 ,"Tory Woodbury, QB",NYJ,1,0,13,13.0,0,13,0,6.5,0,0,1
 ,"Leonard Stephens, TE",WSH,1,0,13,13.0,0,13,0,2.6,0,0,1
369,"Chris Fuamatu-Ma'afala, RB",PIT,2,0,12,6.0,0,6,0,1.5,0,0,0
370,"Drew Haddad, WR",IND,1,0,11,11.0,0,11,0,11.0,0,0,1
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"George Layne, RB",ATL,2,0,11,5.5,0,6,0,5.5,1,0,0
372,"Billy Baber, TE",KC,2,0,10,5.0,1,7,0,0.8,0,0,1
 ,"Verron Haynes, FB",PIT,3,0,10,3.3,0,7,0,0.7,0,0,0
374,"Shawn Bryson, RB",BUF,1,0,9,9.0,0,9,0,1.5,0,0,1
 ,"James Jackson, RB",CLE,3,0,9,3.0,0,5,0,0.6,0,0,0
376,"Mike Bartrum, TE",PHI,1,0,8,8.0,0,8,0,0.5,0,0,0
 ,"Matt Murphy, TE",DET,1,0,8,8.0,0,8,0,2.7,0,0,1
 ,"Atnaf Harris, WR",HOU,1,0,8,8.0,0,8,0,8.0,0,0,0
379,"Mike Wahle, OG",GB,1,0,7,7.0,0,7,0,0.4,0,0,0
 ,"Jason Starkey, C",ARI,1,0,7,7.0,0,7,0,0.4,0,0,0
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Mike McMahon, QB",DET,1,0,7,7.0,0,7,0,0.9,0,0,1
 ,"Jason McKie, FB",DAL,1,0,7,7.0,0,7,0,7.0,0,0,0
383,"Jay Graham, RB",GB,2,0,6,3.0,0,4,0,2.0,0,0,0
 ,"Lamont Hall, TE",NO,2,0,6,3.0,0,4,0,0.4,0,0,0
 ,"Tony Stewart, TE",CIN/PHI,1,0,6,6.0,0,6,0,2.0,0,0,0
 ,"Travis Stephens, RB",TB,1,0,6,6.0,0,6,0,6.0,0,0,0
 ,"Frisman Jackson, WR",CLE,1,0,6,6.0,0,6,0,0.9,0,0,1
388,"J.R. Redmond, RB",NE,2,0,5,2.5,0,3,0,0.6,0,0,0
 ,"Patrick Washington, FB",JAX,1,0,5,5.0,0,5,0,0.4,0,0,0
 ,"Chris Luzar, TE",JAX,1,0,5,5.0,0,5,0,0.4,0,0,0
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
 ,"Delvin Joyce, RB",NYG,1,0,5,5.0,0,5,0,0.4,0,0,0
392,"Matt Cushing, TE",PIT,1,0,4,4.0,0,4,0,0.7,0,0,0
 ,"Snoop Minnis, WR",KC,1,0,4,4.0,0,4,0,2.0,0,0,0
 ,"Rafael Cooper, RB",DET,1,0,4,4.0,0,4,0,0.8,0,0,0
395,"Marc Bulger, QB",STL,1,0,3,3.0,0,3,0,0.4,0,0,0
396,"Chris Hetherington, FB",STL,1,0,2,2.0,0,2,0,0.3,0,0,0
 ,"Jake Plummer, QB",ARI,1,0,2,2.0,0,2,0,0.1,0,0,0
398,"Mike Vrabel, LB",NE,1,0,1,1.0,1,1,0,0.1,0,0,1
399,"Todd Weiner, OT",ATL,1,0,0,.0,0,0,0,0.0,0,0,0
400,"Eddie Drummond, WR",DET,2,0,-3,-1.5,0,-1,0,-0.3,0,0,0
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
401,"Ruben Brown, OG",BUF,1,0,-6,-6.0,0,-6,0,-0.4,0,0,0
402,"Shane Matthews, QB",WSH,1,0,-13,-13.0,0,-13,0,-1.6,0,0,0
