PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Josh Gordon, WR",CLE,87,159,"1,646",18.9,9,95,30,117.6,0,637,64
"Antonio Brown, WR",PIT,110,165,"1,499",13.6,8,56,23,93.7,0,602,69
"Calvin Johnson, WR",DET,84,156,"1,492",17.8,12,87,22,106.6,1,496,69
"Demaryius Thomas, WR",DEN,92,143,"1,430",15.5,14,78,19,89.4,1,704,66
"A.J. Green, WR",CIN,98,180,"1,426",14.6,11,82,18,89.1,1,412,65
"Alshon Jeffery, WR",CHI,89,150,"1,421",16.0,7,80,20,88.8,3,432,62
"Andre Johnson, WR",HOU,109,181,"1,407",12.9,5,62,20,87.9,0,412,69
"Pierre Garcon, WR",WSH,113,184,"1,346",11.9,5,53,16,84.1,1,667,60
"DeSean Jackson, WR",PHI,82,126,"1,332",16.2,9,61,25,83.3,1,493,60
"Jordy Nelson, WR",GB,85,126,"1,314",15.5,8,76,22,82.1,0,442,60
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Brandon Marshall, WR",CHI,100,163,"1,295",13.0,12,44,16,80.9,0,307,70
"Eric Decker, WR",DEN,87,137,"1,288",14.8,11,61,19,80.5,2,404,63
"Dez Bryant, WR",DAL,93,160,"1,233",13.3,13,79,14,77.1,3,527,67
"Vincent Jackson, WR",TB,78,159,"1,224",15.7,7,60,19,76.5,1,319,60
"Jimmy Graham, TE",NO,86,144,"1,215",14.1,16,56,19,75.9,0,440,61
"Anquan Boldin, WR",SF,85,130,"1,179",13.9,7,63,19,73.7,0,453,62
"Torrey Smith, WR",BAL,65,139,"1,128",17.4,4,74,20,70.5,1,402,48
"T.Y. Hilton, WR",IND,82,138,"1,083",13.2,5,73,13,67.7,0,400,46
"Kendall Wright, WR",TEN,94,140,"1,079",11.5,2,45,17,67.4,2,588,52
"Harry Douglas, WR",ATL,85,133,"1,067",12.6,2,80,13,66.7,2,534,47
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Julian Edelman, WR",NE,105,151,"1,056",10.1,6,44,9,66.0,0,493,54
"Keenan Allen, WR",SD,71,105,"1,046",14.7,8,43,16,69.7,1,437,54
"Michael Floyd, WR",ARI,65,112,"1,041",16.0,5,91,17,65.1,0,278,48
"Brian Hartline, WR",MIA,76,134,"1,016",13.4,4,50,14,63.5,0,316,53
"Victor Cruz, WR",NYG,73,123,998,13.7,4,70,10,71.3,1,264,45
"Larry Fitzgerald, WR",ARI,82,136,954,11.6,10,75,11,59.6,1,351,49
"Marques Colston, WR",NO,75,110,943,12.6,5,35,13,62.9,0,249,54
"Mike Wallace, WR",MIA,73,142,930,12.7,5,57,11,58.1,0,291,46
"Nate Washington, WR",TEN,58,104,919,15.8,3,77,11,57.4,0,240,43
"Jordan Cameron, TE",CLE,80,117,917,11.5,7,53,11,61.1,1,248,47
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Golden Tate, WR",SEA,64,98,898,14.0,5,80,12,56.1,1,520,41
"Hakeem Nicks, WR",NYG,56,102,896,16.0,0,57,14,59.7,0,281,38
"Rod Streater, WR",OAK,60,100,888,14.8,4,66,10,55.5,1,329,39
"Antonio Gates, TE",SD,77,116,872,11.3,4,56,11,54.5,2,410,49
"Tony Gonzalez, TE",ATL,83,119,859,10.3,8,25,5,53.7,0,229,56
"Jason Witten, TE",DAL,73,111,851,11.7,8,34,13,53.2,0,337,44
"Vernon Davis, TE",SF,52,84,850,16.3,13,64,16,56.7,1,280,35
"Riley Cooper, WR",PHI,47,84,835,17.8,8,63,13,52.2,0,246,33
"James Jones, WR",GB,59,93,817,13.8,3,83,12,58.4,2,384,30
"Greg Olsen, TE",CAR,73,109,816,11.2,6,31,12,51.0,0,347,44
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Greg Jennings, WR",MIN,68,106,804,11.8,4,70,11,53.6,0,357,36
"DeAndre Hopkins, WR",HOU,52,93,802,15.4,2,66,12,50.1,1,188,38
"Julius Thomas, TE",DEN,65,89,788,12.1,12,74,10,56.3,0,390,41
"Wes Welker, WR",DEN,73,110,778,10.7,10,33,12,59.8,0,333,49
"Doug Baldwin, WR",SEA,50,73,778,15.6,5,52,14,48.6,0,249,36
"Cecil Shorts III, WR",JAX,66,125,777,11.8,3,59,10,59.8,0,292,41
"Martellus Bennett, TE",CHI,65,96,759,11.7,5,43,11,47.4,1,400,40
"Charles Clay, RB",MIA,69,103,759,11.0,6,67,10,47.4,0,380,36
"Steve Smith Sr., WR",CAR,64,109,745,11.6,4,44,4,49.7,0,183,44
"Emmanuel Sanders, WR",PIT,67,112,740,11.0,6,55,12,46.3,1,303,37
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Terrance Williams, WR",DAL,44,74,736,16.7,5,82,12,46.0,1,219,31
"Jerome Simpson, WR",MIN,48,102,726,15.1,1,51,12,45.4,1,196,35
"Marvin Jones, WR",CIN,51,80,712,14.0,10,45,10,44.5,0,232,36
"Roddy White, WR",ATL,63,99,711,11.3,3,39,8,54.7,2,127,37
"Denarius Moore, WR",OAK,46,86,695,15.1,5,73,9,53.5,0,263,36
"Jamaal Charles, RB",KC,70,104,693,9.9,7,71,8,46.2,0,669,32
"Jarrett Boykin, WR",GB,49,82,681,13.9,3,52,10,42.6,0,259,34
"Dwayne Bowe, WR",KC,57,105,673,11.8,5,34,9,44.9,0,202,39
"Jared Cook, TE",STL,51,83,671,13.2,5,47,9,41.9,1,273,34
"Scott Chandler, TE",BUF,53,81,655,12.4,2,33,10,40.9,1,284,26
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Kenny Stills, WR",NO,32,51,641,20.0,5,76,7,40.1,0,198,24
"Danny Amendola, WR",NE,54,83,633,11.7,2,57,8,52.8,0,269,37
"Eddie Royal, WR",SD,47,67,631,13.4,8,54,12,42.1,0,363,33
"Brandon LaFell, WR",CAR,49,88,627,12.8,5,79,5,39.2,1,276,31
"Rueben Randle, WR",NYG,41,80,611,14.9,6,37,16,38.2,1,211,28
"Coby Fleener, TE",IND,52,88,608,11.7,4,44,7,38.0,1,260,32
"Danny Woodhead, RB",SD,76,86,605,8.0,6,39,4,37.8,1,483,30
"Darren Sproles, RB",NO,71,89,604,8.5,2,48,7,40.3,0,551,24
"Jerricho Cotchery, WR",PIT,46,76,602,13.1,10,36,9,37.6,0,232,36
"Stevie Johnson, WR",BUF,52,100,597,11.5,3,45,6,49.8,1,226,33
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Donnie Avery, WR",KC,40,72,596,14.9,2,51,10,37.3,1,201,25
"Matt Forte, RB",CHI,74,94,594,8.0,3,34,5,37.1,0,552,23
"Heath Miller, TE",PIT,58,78,593,10.2,1,31,8,42.4,1,243,30
"Rob Gronkowski, TE",NE,39,67,592,15.2,4,50,10,84.6,0,213,31
"Robert Woods, WR",BUF,40,86,587,14.7,3,57,9,41.9,0,115,26
"Julio Jones, WR",ATL,41,60,580,14.1,2,81,9,116.0,2,262,25
"Delanie Walker, TE",TEN,60,86,571,9.5,6,33,5,38.1,1,183,30
"Tim Wright, TE",TB,54,76,571,10.6,5,36,5,35.7,0,138,30
"Chris Givens, WR",STL,34,83,569,16.7,0,47,13,35.6,1,264,27
"Ted Ginn, WR",CAR,36,68,556,15.4,5,47,10,34.8,0,229,24
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Knowshon Moreno, RB",DEN,60,74,548,9.1,3,35,5,34.3,0,488,29
"Joique Bell, RB",DET,53,68,547,10.3,0,37,7,34.2,0,568,22
"Garrett Graham, TE",HOU,49,88,545,11.1,5,42,8,41.9,2,216,26
"LeSean McCoy, RB",PHI,52,65,539,10.4,2,70,8,33.7,0,616,23
"Marlon Brown, WR",BAL,49,81,524,10.7,7,59,6,37.4,0,243,29
"Jeremy Kerley, WR",NYJ,43,72,523,12.2,3,26,7,43.6,0,186,30
"Brandon Myers, TE",NYG,47,73,522,11.1,4,27,9,32.6,0,182,28
"Aaron Dobson, WR",NE,37,74,519,14.0,4,81,6,43.3,1,205,25
"Giovani Bernard, RB",CIN,56,71,514,9.2,3,41,9,32.1,0,538,21
"Pierre Thomas, RB",NO,77,84,513,6.7,3,29,5,32.1,1,667,21
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Dexter McCluster, WR",KC,53,81,511,9.6,2,43,5,34.1,0,270,28
"Reggie Bush, RB",DET,54,80,506,9.4,3,77,4,36.1,0,478,22
"Reggie Wayne, WR",IND,38,58,503,13.2,2,35,8,71.9,0,171,28
"Brent Celek, TE",PHI,32,50,502,15.7,6,42,13,31.4,1,299,22
"Jordan Reed, TE",WSH,45,59,499,11.1,3,38,3,55.4,0,249,30
"Kris Durham, WR",DET,38,86,490,12.9,2,40,7,30.6,1,143,25
"Ace Sanders, WR",JAX,51,85,484,9.5,1,51,8,32.3,0,291,22
"Vincent Brown, WR",SD,41,69,472,11.5,1,51,3,29.5,0,97,28
"Andre Roberts, WR",ARI,43,76,471,11.0,2,34,3,29.4,0,122,22
"Cordarrelle Patterson, WR",MIN,45,78,469,10.4,4,79,7,29.3,0,293,19
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Zach Ertz, TE",PHI,36,56,469,13.0,4,38,8,29.3,0,169,25
"Kenbrell Thompkins, WR",NE,32,70,466,14.6,4,49,8,38.8,0,142,21
"Greg Little, WR",CLE,41,99,465,11.3,2,47,4,29.1,0,190,22
"Nate Burleson, WR",DET,39,53,461,11.8,1,47,8,51.2,1,222,23
"Jermaine Gresham, TE",CIN,46,66,458,10.0,4,30,6,32.7,3,277,24
"Lance Moore, WR",NO,37,54,457,12.4,2,44,5,35.2,0,67,26
"Santonio Holmes, WR",NYJ,23,59,456,19.8,1,69,9,41.5,0,129,19
"Jacoby Jones, WR",BAL,37,66,455,12.3,2,66,5,37.9,0,112,21
"Mohamed Sanu, WR",CIN,47,78,455,9.7,2,32,4,28.4,1,253,28
"Rob Housler, TE",ARI,39,57,454,11.6,1,31,7,34.9,1,206,22
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Santana Moss, WR",WSH,42,80,452,10.8,2,28,2,28.3,1,183,28
"Rishard Matthews, WR",MIA,41,64,448,10.9,2,29,7,28.0,0,178,26
"Jason Avant, WR",PHI,38,76,447,11.8,2,31,9,27.9,1,88,23
"Mike Brown, WR",JAX,32,57,446,13.9,2,43,6,40.5,2,174,20
"Tyler Eifert, TE",CIN,39,59,445,11.4,2,61,5,29.7,0,239,19
"Tiquan Underwood, WR",TB,24,45,440,18.3,4,85,7,36.7,0,101,19
"Jarius Wright, WR",MIN,26,43,434,16.7,3,42,10,27.1,0,122,20
"Randall Cobb, WR",GB,31,46,433,14.0,4,48,6,72.2,0,189,18
"Andre Holmes, WR",OAK,25,52,431,17.2,1,40,10,43.1,0,130,21
"Shane Vereen, RB",NE,47,69,427,9.1,3,50,2,53.4,0,297,25
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"David Nelson, WR",NYJ,36,60,423,11.8,2,31,5,35.3,0,110,20
"Tavon Austin, WR",STL,40,69,418,10.5,4,81,5,32.2,1,232,17
"Brandon Pettigrew, TE",DET,41,64,416,10.1,2,31,5,29.7,1,197,19
"Justin Blackmon, WR",JAX,29,48,415,14.3,1,67,4,103.8,0,221,17
"Mychal Rivera, TE",OAK,38,60,407,10.7,4,37,5,25.4,0,109,25
"Austin Pettis, WR",STL,38,63,399,10.5,4,31,4,24.9,0,118,25
"Le'Veon Bell, RB",PIT,45,66,399,8.9,0,43,5,30.7,0,424,13
"Jeff Cumberland, TE",NYJ,26,40,398,15.3,4,47,7,26.5,0,171,15
"Kellen Winslow, TE",NYJ,31,47,388,12.5,2,34,4,32.3,0,129,20
"Fred Jackson, RB",BUF,47,68,387,8.2,1,37,4,24.2,1,428,16
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Zach Miller, TE",SEA,33,56,387,11.7,5,60,3,27.6,0,152,18
"Ladarius Green, TE",SD,17,30,376,22.1,3,60,9,23.5,0,167,15
"Leonard Hankerson, WR",WSH,30,48,375,12.5,3,29,5,37.5,0,137,21
"Andre Ellington, RB",ARI,39,57,371,9.5,1,38,3,24.7,0,274,21
"Cole Beasley, WR",DAL,39,55,368,9.4,2,23,2,26.3,1,193,20
"Aldrick Robinson, WR",WSH,18,46,365,20.3,2,62,5,22.8,0,79,14
"Davone Bess, WR",CLE,42,86,362,8.6,2,20,1,25.9,0,148,23
"T.J. Graham, WR",BUF,23,56,361,15.7,2,47,6,22.6,1,86,13
"Marcedes Lewis, TE",JAX,25,47,359,14.4,4,41,7,32.6,1,233,17
"Justin Hunter, WR",TEN,18,42,354,19.7,4,57,5,25.3,0,97,16
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"DeMarco Murray, RB",DAL,53,66,350,6.6,1,22,1,25.0,1,394,18
"Jermaine Kearse, WR",SEA,22,38,346,15.7,4,43,5,23.1,0,56,16
"Chris Johnson, RB",TEN,42,52,345,8.2,4,66,4,21.6,1,401,10
"John Carlson, TE",MIN,32,48,344,10.8,1,30,5,26.5,0,169,19
"Dallas Clark, TE",BAL,31,52,343,11.1,3,45,4,28.6,0,169,19
"Chris Ogbonnaya, RB",CLE,48,75,343,7.1,2,17,0,21.4,1,295,15
"Stephen Hill, WR",NYJ,24,59,342,14.3,1,51,5,28.5,1,97,15
"Jacquizz Rodgers, RB",ATL,52,62,341,6.6,2,22,1,22.7,1,386,12
"DeAngelo Williams, RB",CAR,26,36,333,12.8,1,72,2,22.2,2,400,10
"Marcel Reece, RB",OAK,32,54,331,10.3,2,45,4,20.7,0,237,12
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Jerrel Jernigan, WR",NYG,29,44,329,11.3,2,30,3,21.9,0,130,16
"Brandon Gibson, WR",MIA,30,44,326,10.9,3,46,3,46.6,0,133,19
"Robert Meachem, WR",NO,16,30,324,20.3,2,60,5,21.6,0,83,9
"Ray Rice, RB",BAL,58,73,321,5.5,0,22,1,21.4,0,375,13
"Marshawn Lynch, RB",SEA,36,44,316,8.8,2,55,5,19.8,1,289,12
"Maurice Jones-Drew, RB",JAX,43,59,314,7.3,0,17,0,20.9,0,337,13
"Kyle Rudolph, TE",MIN,30,46,313,10.4,3,31,6,39.1,0,123,12
"Andrew Quarless, TE",GB,32,54,312,9.8,2,22,3,19.5,0,141,18
"Darrius Heyward-Bey, WR",IND,29,62,309,10.7,1,27,2,19.3,0,140,16
"Tandon Doss, WR",BAL,19,36,305,16.1,0,63,6,20.3,0,99,13
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Brian Quick, WR",STL,18,36,302,16.8,2,73,5,18.9,0,109,15
"Sean McGrath, TE",KC,26,40,302,11.6,2,25,6,18.9,0,134,16
"Jermichael Finley, TE",GB,25,34,300,12.0,3,52,3,50.0,0,236,13
"Rashad Jennings, RB",OAK,36,47,292,8.1,0,24,2,19.5,0,322,12
"Clay Harbor, TE",JAX,24,35,292,12.2,2,31,5,18.3,2,138,16
"Michael Crabtree, WR",SF,19,33,284,14.9,1,60,3,56.8,0,143,13
"Marquise Goodwin, WR",BUF,17,32,283,16.6,3,59,5,23.6,1,52,13
"Ed Dickson, TE",BAL,25,43,273,10.9,1,43,2,17.1,0,127,16
"Bilal Powell, RB",NYJ,36,57,272,7.6,0,36,3,17.0,0,326,13
"Luke Willson, TE",SEA,20,28,272,13.6,1,39,4,17.0,0,179,13
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Logan Paulsen, TE",WSH,28,51,267,9.5,3,33,2,16.7,2,96,11
"Trent Richardson, RB",CLE/IND,28,41,265,9.5,1,24,3,18.9,0,267,13
"Griff Whalen, WR",IND,24,40,259,10.8,2,25,3,28.8,0,117,14
"Lance Kendricks, TE",STL,32,46,258,8.1,4,21,1,17.2,0,112,16
"Eddie Lacy, RB",GB,35,44,257,7.3,0,34,3,17.1,0,321,12
"Keshawn Martin, WR",HOU,22,40,253,11.5,2,32,3,15.8,0,93,12
"Owen Daniels, TE",HOU,24,40,252,10.5,3,28,3,50.4,0,86,18
"Roy Helu, RB",WSH,31,42,251,8.1,0,28,2,15.7,1,190,9
"Miles Austin, WR",DAL,24,49,244,10.2,0,20,1,22.2,0,113,14
"Ryan Griffin, TE",HOU,19,28,244,12.8,1,40,3,16.3,0,83,14
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Earl Bennett, WR",CHI,32,44,243,7.6,4,17,0,16.2,0,70,13
"Bruce Miller, RB",SF,25,35,243,9.7,0,43,2,17.4,1,183,12
"Sidney Rice, WR",SEA,15,35,231,15.4,3,31,5,28.9,1,22,11
"Benjamin Watson, TE",NO,19,30,226,11.9,2,32,4,15.1,0,96,14
"Stedman Bailey, WR",STL,17,25,226,13.3,0,28,2,14.1,0,41,10
"Jason Snelling, FB",ATL,29,34,216,7.4,3,34,2,15.4,0,211,11
"Mike Williams, WR",TB,22,40,216,9.8,2,28,1,36.0,0,65,12
"Drew Davis, WR",ATL,12,17,216,18.0,2,59,5,13.5,0,115,9
"Jim Dray, TE",ARI,26,33,215,8.3,2,18,0,13.4,1,100,13
"Josh Morgan, WR",WSH,20,33,214,10.7,0,21,1,15.3,0,90,13
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Donald Brown, RB",IND,27,35,214,7.9,2,33,3,13.4,0,240,10
"Darius Johnson, WR",ATL,22,43,210,9.5,1,17,0,21.0,1,90,12
"Joseph Fauria, TE",DET,18,30,207,11.5,7,25,3,12.9,0,50,14
"Anthony Fasano, TE",KC,23,33,200,8.7,3,20,1,22.2,0,79,12
"Andre Caldwell, WR",DEN,16,30,200,12.5,3,36,2,12.5,0,41,11
"Kevin Ogletree, WR",DET/TB,13,25,199,15.3,1,43,3,16.6,0,73,10
"Andrew Hawkins, WR",CIN,12,18,199,16.6,0,50,4,24.9,0,137,7
"Da'Rick Rogers, WR",IND,14,23,192,13.7,2,69,1,38.4,0,115,9
"Steven Jackson, RB",ATL,33,49,191,5.8,1,25,1,15.9,0,211,10
"Ryan Mathews, RB",SD,26,33,189,7.3,1,17,0,11.8,0,205,9
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Kerry Taylor, WR",ARI/JAX,19,31,189,9.9,1,17,0,27.0,0,77,9
"C.J. Spiller, RB",BUF,33,40,185,5.6,0,27,2,12.3,0,234,5
"Jacob Tamme, TE",DEN,20,25,184,9.2,1,15,0,11.5,0,73,14
"Mike Tolbert, RB",CAR,27,32,184,6.8,2,18,0,11.5,0,187,10
"Arian Foster, RB",HOU,22,35,183,8.3,1,41,2,22.9,0,213,6
"Brian Leonard, RB",TB,29,39,179,6.2,0,19,0,11.2,0,161,9
"Damian Williams, WR",TEN,15,23,178,11.9,0,32,3,17.8,0,49,10
"Adrian Peterson, RB",MIN,29,39,171,5.9,1,22,1,12.2,2,171,11
"Lamar Miller, RB",MIA,26,35,170,6.5,0,22,1,10.6,0,195,6
"Dennis Pitta, TE",BAL,20,33,169,8.5,1,18,0,42.3,0,57,11
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"LaVon Brazill, WR",IND,12,27,161,13.4,2,29,1,16.1,1,56,7
"Anthony Sherman, RB",KC,18,24,155,8.6,1,26,1,9.7,1,166,8
"DeVier Posey, WR",HOU,15,25,155,10.3,0,42,1,11.1,0,78,5
"Fozzy Whittaker, RB",CLE/SD,21,36,155,7.4,2,35,1,14.1,0,173,6
"Brandon Bolden, RB",NE,21,29,152,7.2,0,18,0,12.7,0,163,6
"Malcom Floyd, WR",SD,6,11,149,24.8,0,47,3,74.5,0,24,5
"Montee Ball, RB",DEN,20,27,145,7.3,0,31,1,9.1,1,141,10
"Greg Salas, WR",NYJ,8,13,143,17.9,0,44,3,17.9,0,80,5
"Frank Gore, RB",SF,16,26,141,8.8,0,29,1,8.8,0,106,5
"Zac Stacy, RB",STL,26,35,141,5.4,1,25,1,10.1,0,157,7
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Ben Tate, RB",HOU,34,51,140,4.1,0,10,0,10.0,1,171,1
"Jaron Brown, WR",ARI,11,18,140,12.7,1,32,1,8.8,0,38,6
"Michael Hoomanawanui, TE",NE,12,19,136,11.3,1,19,0,10.5,0,84,7
"Brittan Golden, WR",ARI,4,10,136,34.0,0,63,2,27.2,0,78,3
"Rashard Mendenhall, RB",ARI,18,21,134,7.4,0,24,2,8.9,0,159,5
"Gavin Escobar, TE",DAL,9,15,134,14.9,2,25,3,8.4,0,43,7
"Chase Ford, TE",MIN,11,16,133,12.1,0,37,2,14.8,0,57,7
"A.J. Jenkins, WR",KC,8,17,130,16.3,0,48,3,8.1,0,43,4
"Stanley Havili, FB",IND,18,21,128,7.1,1,20,1,9.8,0,118,6
"Gary Barnidge, TE",CLE,13,18,127,9.8,2,40,1,7.9,0,93,6
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Junior Hemingway, WR",KC,13,19,125,9.6,2,24,1,7.8,2,31,6
"Clyde Gates, WR",NYJ,12,24,122,10.2,0,34,1,20.3,0,29,5
"Daryl Richardson, RB",STL,14,18,121,8.6,0,19,0,15.1,0,128,3
"Josh Boyce, WR",NE,9,19,121,13.4,0,30,3,13.4,0,79,6
"Brandon Bostick, TE",GB,7,15,120,17.1,1,26,4,10.9,0,64,5
"Ronnie Hillman, RB",DEN,12,14,119,9.9,0,19,0,11.9,0,85,7
"Vance McDonald, TE",SF,8,19,119,14.9,0,25,3,7.9,0,48,5
"Jordan Todman, RB",JAX,14,26,116,8.3,1,30,2,7.3,0,112,6
"Brandon Stokley, WR",BAL,13,20,115,8.8,0,18,0,19.2,0,61,8
"Chris Owusu, WR",TB,13,20,114,8.8,0,20,1,12.7,0,35,5
PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
"Kyle Williams, WR",KC/SF,12,27,113,9.4,0,16,0,12.6,0,56,5
"Cory Harkey, TE",STL,13,18,113,8.7,2,31,1,7.5,0,112,7
"Darren McFadden, RB",OAK,17,26,108,6.4,0,16,0,10.8,0,125,3
"Travis Benjamin, WR",CLE,5,13,105,21.0,0,39,4,13.1,0,58,4
