RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
1,"LeSean McCoy, RB",PHI,314,"1,607",5.1,57,9,9,100.4,1,79
2,"Matt Forte, RB",CHI,289,"1,339",4.6,55,9,9,83.7,2,74
3,"Jamaal Charles, RB",KC,259,"1,287",5.0,46,6,12,85.8,4,72
4,"Alfred Morris, RB",WSH,276,"1,275",4.6,45,10,7,79.7,5,57
5,"Adrian Peterson, RB",MIN,279,"1,266",4.5,78,8,10,90.4,3,59
6,"Marshawn Lynch, RB",SEA,301,"1,257",4.2,43,6,12,78.6,3,68
7,"Ryan Mathews, RB",SD,285,"1,255",4.4,51,7,6,78.4,2,54
8,"Eddie Lacy, RB",GB,284,"1,178",4.1,60,3,11,78.5,1,61
9,"Frank Gore, RB",SF,276,"1,128",4.1,51,9,9,70.5,3,55
10,"DeMarco Murray, RB",DAL,217,"1,121",5.2,43,8,9,80.1,2,59
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
11,"Chris Johnson, RB",TEN,279,"1,077",3.9,30,5,6,67.3,2,54
12,"Knowshon Moreno, RB",DEN,241,"1,038",4.3,31,5,10,64.9,1,53
13,"Reggie Bush, RB",DET,223,"1,006",4.5,39,6,4,71.9,5,46
14,"Zac Stacy, RB",STL,250,973,3.9,40,5,7,69.5,1,47
15,"C.J. Spiller, RB",BUF,202,933,4.6,77,9,2,62.2,4,26
16,"Fred Jackson, RB",BUF,206,890,4.3,59,1,9,55.6,2,54
17,"Le'Veon Bell, RB",PIT,244,860,3.5,43,4,8,66.2,1,48
18,"DeAngelo Williams, RB",CAR,201,843,4.2,43,6,3,56.2,1,35
19,"Chris Ivory, RB",NYJ,182,833,4.6,69,8,3,55.5,2,34
20,"Maurice Jones-Drew, RB",JAX,234,803,3.4,48,5,5,53.5,1,43
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
21,"Stevan Ridley, RB",NE,178,773,4.3,29,3,7,55.2,3,39
22,"LeGarrette Blount, RB",NE,153,772,5.0,47,5,7,48.3,3,35
23,"Ben Tate, RB",HOU,181,771,4.3,60,3,4,55.1,4,33
24,"BenJarvus Green-Ellis, RB",CIN,220,756,3.4,25,1,7,47.3,2,48
25,"Rashad Jennings, RB",OAK,163,733,4.5,80,4,6,48.9,0,34
26,"Lamar Miller, RB",MIA,177,709,4.0,49,4,2,44.3,1,26
27,"Bilal Powell, RB",NYJ,176,697,4.0,39,3,1,43.6,1,35
28,"Giovani Bernard, RB",CIN,170,695,4.1,35,3,5,43.4,1,32
29,"Rashard Mendenhall, RB",ARI,217,687,3.2,28,1,8,45.8,4,43
30,"Ray Rice, RB",BAL,214,660,3.1,47,1,4,44.0,2,28
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
31,"Andre Ellington, RB",ARI,118,652,5.5,80,8,3,43.5,1,27
32,"Joique Bell, RB",DET,166,650,3.9,20,1,8,40.6,4,43
33,"Cam Newton, QB",CAR,111,585,5.3,56,2,6,36.6,1,45
34,"Terrelle Pryor, QB",OAK,83,576,6.9,93,8,2,52.4,2,27
35,"Montee Ball, RB",DEN,120,559,4.7,45,3,4,34.9,2,35
36,"Pierre Thomas, RB",NO,147,549,3.7,18,0,2,34.3,0,31
37,"Steven Jackson, RB",ATL,157,543,3.5,50,3,6,45.3,0,26
38,"Arian Foster, RB",HOU,121,542,4.5,23,2,1,67.8,0,31
39,"Russell Wilson, QB",SEA,96,539,5.6,27,4,1,33.7,2,31
40,"Donald Brown, RB",IND,102,537,5.3,51,4,6,33.6,0,20
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
41,"Bobby Rainey, RB",CLE/TB,137,532,3.9,80,3,5,59.1,1,23
42,"Colin Kaepernick, QB",SF,92,524,5.7,28,4,4,32.8,3,28
43,"James Starks, RB",GB,89,493,5.5,41,6,3,37.9,1,27
44,"Andre Brown, RB",NYG,139,492,3.5,23,1,3,61.5,3,31
45,"Robert Griffin, QB",WSH,86,489,5.7,26,4,0,37.6,5,24
46,"Trent Richardson, RB",CLE/IND,157,458,2.9,22,1,3,32.7,2,25
47,"Doug Martin, RB",TB,127,456,3.6,28,2,1,76.0,1,16
48,"Bernard Pierce, RB",BAL,152,436,2.9,28,2,2,27.3,0,20
49,"Alex Smith, QB",KC,76,431,5.7,26,5,1,28.7,3,23
50,"Danny Woodhead, RB",SD,106,429,4.0,14,0,2,26.8,1,26
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
51,"Daniel Thomas, RB",MIA,109,406,3.7,55,1,4,27.1,0,17
52,"Mark Ingram, RB",NO,78,386,4.9,34,3,1,35.1,0,18
53,"Darren McFadden, RB",OAK,114,379,3.3,30,4,5,37.9,1,16
54,"Willis McGahee, RB",CLE,138,377,2.7,16,0,2,31.4,1,28
 ,"Andrew Luck, QB",IND,63,377,6.0,29,3,4,23.6,1,23
56,"Geno Smith, QB",NYJ,72,366,5.1,32,1,6,22.9,3,23
57,"Mike Tolbert, RB",CAR,101,361,3.6,22,2,5,22.6,0,31
58,"Kendall Hunter, RB",SF,78,358,4.6,45,5,3,22.4,1,18
59,"Jacquizz Rodgers, RB",ATL,96,332,3.5,19,0,2,22.1,0,19
60,"Bryce Brown, RB",PHI,75,314,4.2,65,2,2,19.6,0,16
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
61,"Michael Vick, QB",PHI,36,306,8.5,61,4,2,43.7,1,17
62,"Shonn Greene, RB",TEN,77,295,3.8,29,2,4,26.8,0,18
 ,"Mike James, RB",TB,60,295,4.9,24,2,0,36.9,0,14
64,"Toby Gerhart, RB",MIN,36,283,7.9,41,4,2,20.2,1,13
65,"Roy Helu, RB",WSH,62,274,4.4,24,2,4,17.1,1,18
66,"Brandon Bolden, RB",NE,55,271,4.9,46,2,3,22.6,0,14
67,"Robert Turbin, RB",SEA,77,264,3.4,15,0,0,16.5,0,9
68,"Benjamin Cunningham, RB",STL,47,261,5.6,56,2,1,18.6,2,11
69,"Jordan Todman, RB",JAX,76,256,3.4,33,1,2,16.0,0,16
70,"Peyton Hillis, RB",NYG,73,247,3.4,27,1,2,35.3,1,12
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
71,"Knile Davis, RB",KC,70,242,3.5,20,1,4,15.1,1,10
72,"Chris Ogbonnaya, RB",CLE,49,240,4.9,43,2,0,15.0,1,14
73,"Brandon Jacobs, RB",NYG,58,238,4.1,37,1,4,34.0,1,16
 ,"Ryan Tannehill, QB",MIA,40,238,6.0,48,3,1,14.9,3,12
75,"Ryan Fitzpatrick, QB",TEN,43,225,5.2,26,1,3,20.5,1,15
76,"Khiry Robinson, RB",NO,54,224,4.1,25,3,1,22.4,0,12
77,"Nick Foles, QB",PHI,57,221,3.9,21,2,3,17.0,2,15
78,"Darren Sproles, RB",NO,53,220,4.2,38,1,2,14.7,1,11
79,"Marcel Reece, RB",OAK,46,218,4.7,63,1,2,13.6,0,8
 ,"Ronnie Hillman, RB",DEN,55,218,4.0,19,0,1,21.8,2,13
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
81,"Daryl Richardson, RB",STL,69,215,3.1,14,0,0,26.9,0,12
82,"Shane Vereen, RB",NE,44,208,4.7,21,2,1,26.0,1,10
83,"Michael Bush, RB",CHI,63,197,3.1,40,1,3,13.1,0,10
 ,"Jonathan Dwyer, RB",PIT,49,197,4.0,30,2,0,13.1,0,16
85,"Ahmad Bradshaw, RB",IND,41,186,4.5,27,1,2,62.0,0,11
 ,"EJ Manuel, QB",BUF,53,186,3.5,19,0,2,18.6,3,14
87,"Felix Jones, RB",PIT,48,184,3.8,14,0,0,11.5,1,9
88,"Andy Dalton, QB",CIN,61,183,3.0,12,0,2,11.4,1,15
 ,"Dennis Johnson, RB",HOU,49,183,3.7,29,1,0,22.9,0,8
90,"Brian Leonard, RB",TB,47,182,3.9,24,1,0,11.4,0,12
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
91,"Jonathan Stewart, RB",CAR,48,180,3.8,16,0,0,30.0,1,7
92,"Edwin Baker, RB",CLE,43,171,4.0,20,1,2,57.0,0,11
93,"Matt Asiata, RB",MIN,44,166,3.8,39,1,3,15.1,1,11
94,"Jason Snelling, FB",ATL,44,164,3.7,17,0,1,11.7,0,9
 ,"Joseph Randle, RB",DAL,54,164,3.0,19,0,2,12.6,0,7
96,"Cordarrelle Patterson, WR",MIN,12,158,13.2,50,3,3,9.9,0,7
97,"Ronnie Brown, RB",SD,45,157,3.5,13,0,1,9.8,0,8
98,"Jake Locker, QB",TEN,24,155,6.5,39,1,2,22.1,3,9
99,"Christian Ponder, QB",MIN,34,151,4.4,19,0,4,16.8,3,12
 ,"Tavon Austin, WR",STL,9,151,16.8,65,2,1,11.6,0,3
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
101,"Lance Dunbar, RB",DAL,30,150,5.0,45,1,0,16.7,0,8
102,"David Wilson, RB",NYG,44,146,3.3,18,0,1,29.2,2,10
103,"Antone Smith, RB",ATL,5,145,29.0,50,3,2,9.7,0,4
104,"Jackie Battle, RB",TEN,36,142,3.9,37,2,1,8.9,0,7
105,"Joe Flacco, QB",BAL,27,131,4.9,22,1,1,8.2,0,11
106,"Tashard Choice, RB",BUF/IND,35,126,3.6,20,1,0,10.5,0,7
107,"Aaron Rodgers, QB",GB,30,120,4.0,18,0,0,13.3,1,9
108,"Jay Cutler, QB",CHI,23,118,5.1,18,0,0,10.7,1,7
109,"Stepfan Taylor, RB",ARI,36,115,3.2,15,0,0,7.2,0,6
110,"Jason Campbell, QB",CLE,14,107,7.6,21,1,0,11.9,0,6
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Johnathan Franklin, RB",GB,19,107,5.6,51,1,1,9.7,2,7
112,"Trent Richardson, RB",CLE/IND,31,105,3.4,10,0,0,52.5,0,3
 ,"Alshon Jeffery, WR",CHI,16,105,6.6,38,2,0,6.6,0,6
114,"Ben Roethlisberger, QB",PIT,27,99,3.7,19,0,1,6.2,3,5
115,"Chris Polk, RB",PHI,11,98,8.9,38,2,3,6.5,0,5
116,"Josh Gordon, WR",CLE,5,88,17.6,34,3,0,6.3,0,4
117,"Fozzy Whittaker, RB",CLE/SD,28,79,2.8,11,0,0,7.2,0,3
 ,"Christine Michael, RB",SEA,18,79,4.4,13,0,0,19.8,0,5
119,"Randall Cobb, WR",GB,4,78,19.5,67,1,0,13.0,0,1
120,"Chad Henne, QB",JAX,27,77,2.9,14,0,0,5.1,1,7
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
121,"Da'Rel Scott, RB",NYG,20,73,3.7,16,0,0,14.6,0,3
 ,"Jonathan Grimes, RB",HOU,21,73,3.5,12,0,1,36.5,0,6
123,"Philip Rivers, QB",SD,28,72,2.6,18,0,0,4.5,2,5
 ,"Case Keenum, QB",HOU,14,72,5.1,22,1,1,9.0,0,6
125,"Josh McCown, QB",CHI,13,69,5.3,20,1,1,8.6,1,5
 ,"Matthew Stafford, QB",DET,37,69,1.9,14,0,2,4.3,8,12
127,"Denard Robinson, RB",JAX,20,66,3.3,24,1,0,4.1,3,3
