RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
128,"Marvin Jones, WR",CIN,8,65,8.1,34,1,0,4.1,0,3
129,"Kellen Clemens, QB",STL,23,64,2.8,16,0,0,6.4,2,4
 ,"Tyrod Taylor, QB",BAL,8,64,8.0,25,1,0,21.3,0,5
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
131,"Vick Ballard, RB",IND,13,63,4.8,12,0,0,63.0,0,4
132,"Tommy Bohanon, RB",NYJ,17,62,3.6,8,0,0,3.9,0,4
133,"Matt Flynn, QB",GB/OAK,17,61,3.6,17,0,0,12.2,2,2
 ,"Mike Goodson, RB",NYJ,7,61,8.7,26,1,0,30.5,0,2
135,"LaMichael James, RB",SF,12,59,4.9,21,1,0,5.9,0,2
136,"Matt Cassel, QB",MIN,18,57,3.2,13,0,1,6.3,1,3
 ,"Jerrel Jernigan, WR",NYG,2,57,28.5,49,1,1,3.8,0,1
138,"Boobie Dixon, RB",SF,28,56,2.0,9,0,2,3.5,0,5
139,"Joshua Cribbs, WR",NYJ,13,55,4.2,9,0,0,9.2,0,2
 ,"Matt Ryan, QB",ATL,17,55,3.2,17,0,0,3.4,1,5
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Scott Tolzien, QB",GB,5,55,11.0,19,0,1,18.3,0,4
142,"Alfonso Smith, RB",ARI,18,54,3.0,21,1,1,3.4,2,5
143,"Drew Brees, QB",NO,35,52,1.5,16,0,3,3.3,0,6
 ,"Chase Daniel, QB",KC,14,52,3.7,29,1,0,10.4,0,3
 ,"Thad Lewis, QB",BUF,24,52,2.2,8,0,1,8.7,3,3
146,"Deji Karim, RB",HOU,12,51,4.3,14,0,0,7.3,0,3
147,"Frank Summers, FB",BUF,12,46,3.8,16,0,1,3.1,0,3
148,"Jed Collins, RB",NO,15,45,3.0,12,0,1,2.8,0,9
 ,"Travis Benjamin, WR",CLE,1,45,45.0,45,1,0,5.6,0,1
150,"Tashard Choice, RB",BUF/IND,11,44,4.0,8,0,0,14.7,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Brandon Weeden, QB",CLE,12,44,3.7,11,0,0,5.5,0,2
152,"Michael Cox, RB",NYG,22,43,2.0,9,0,0,3.1,0,1
 ,"MarQueis Gray, TE",CLE,6,43,7.2,18,0,0,3.6,0,3
154,"Darrel Young, FB",WSH,12,41,3.4,19,0,3,3.2,0,7
155,"Jeremy Ross, WR",DET/GB,2,40,20.0,24,1,0,4.0,0,2
156,"Tony Romo, QB",DAL,20,38,1.9,15,0,0,2.5,2,3
 ,"John Kuhn, RB",GB,10,38,3.8,12,0,1,2.5,0,7
 ,"C.J. Anderson, RB",DEN,7,38,5.4,11,0,0,7.6,0,3
159,"Matt Simms, QB",NYJ,5,37,7.4,22,1,0,12.3,1,1
 ,"Mike Glennon, QB",TB,27,37,1.4,16,0,0,2.8,4,4
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
161,"Eli Manning, QB",NYG,18,36,2.0,14,0,0,2.3,3,3
162,"David Bruton Jr., DB",DEN,1,35,35.0,35,1,0,2.2,0,1
 ,"Alex Green, RB",NYJ,11,35,3.2,9,0,0,2.7,0,2
164,"Bobby Rainey, RB",CLE/TB,13,34,2.6,7,0,0,5.7,0,0
 ,"Josh Aubrey, DB",CLE,1,34,34.0,34,1,0,5.7,0,1
166,"Mike Wallace, WR",MIA,3,33,11.0,13,0,0,2.1,0,2
 ,"Daniel Herron, RB",IND,5,33,6.6,22,1,0,5.5,0,2
 ,"Stedman Bailey, WR",STL,2,33,16.5,27,1,1,2.1,0,1
169,"Le'Ron McClain, FB",SD,11,32,2.9,7,0,0,2.0,0,7
 ,"Blaine Gabbert, QB",JAX,9,32,3.6,7,0,0,10.7,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
171,"Justin Forsett, RB",JAX,6,31,5.2,10,0,0,3.4,0,1
 ,"Sam Bradford, QB",STL,15,31,2.1,23,1,0,4.4,1,1
 ,"Golden Tate, WR",SEA,3,31,10.3,20,1,0,1.9,0,1
174,"Ted Ginn, WR",CAR,4,29,7.3,14,0,0,1.8,0,2
175,"Matt McGloin, QB",OAK,11,27,2.5,20,1,0,3.9,2,2
176,"Darrius Heyward-Bey, WR",IND,3,26,8.7,30,1,0,1.6,0,1
 ,"Quinton Patton, WR",SF,1,26,26.0,26,1,0,4.3,0,1
178,"Santana Moss, WR",WSH,3,25,8.3,18,0,0,1.6,0,1
 ,"Emmanuel Sanders, WR",PIT,1,25,25.0,25,1,0,1.6,0,1
 ,"Theo Riddick, RB",DET,9,25,2.8,7,0,1,1.8,0,2
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
181,"Matt Schaub, QB",HOU,5,24,4.8,7,0,0,2.4,1,1
 ,"Cyrus Gray, RB",KC,9,24,2.7,9,0,0,1.5,0,1
183,"Vonta Leach, FB",BAL,11,23,2.1,6,0,0,1.4,0,3
 ,"Kyle Williams, WR",KC/SF,2,23,11.5,13,0,0,2.6,0,2
 ,"Taiwan Jones, RB",OAK,5,23,4.6,19,0,0,1.4,0,1
 ,"Michael Hill, RB",GB/TB,9,23,2.6,10,0,0,3.8,0,1
187,"Dashon Goldson, DB",TB,1,22,22.0,22,1,0,1.7,0,1
188,"Eddie Royal, WR",SD,3,21,7.0,15,0,0,1.4,0,1
 ,"Patrick Peterson, DB",ARI,4,21,5.3,12,0,0,1.3,0,2
 ,"Isaiah Pead, RB",STL,7,21,3.0,11,0,0,2.1,0,2
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Mike Gillislee, RB",MIA,6,21,3.5,6,0,0,7.0,0,1
192,"Josh Johnson, QB",CIN,7,20,2.9,10,0,0,10.0,1,2
 ,"Josh Freeman, QB",MIN/TB,5,20,4.0,13,0,0,6.7,0,1
194,"Pierre Garcon, WR",WSH,2,19,9.5,10,0,0,1.2,0,1
 ,"LaRod Stephens-Howling, RB",PIT,6,19,3.2,5,0,0,19.0,0,0
196,"Tom Brady, QB",NE,32,18,0.6,11,0,0,1.1,3,5
 ,"Marcus Thigpen, RB",MIA,6,18,3.0,9,0,0,1.1,0,1
 ,"Jordan Reed, TE",WSH,1,18,18.0,18,0,0,2.0,0,1
199,"Cedric Peerman, RB",CIN,8,17,2.1,5,0,0,1.1,0,0
 ,"Rod Streater, WR",OAK,2,17,8.5,9,0,0,1.1,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
201,"Jeff Tuel, QB",BUF,3,17,5.7,14,0,0,8.5,0,1
202,"Brian Hoyer, QB",CLE,6,16,2.7,11,0,0,5.3,0,1
 ,"Mohamed Sanu, WR",CIN,4,16,4.0,9,0,0,1.0,0,0
 ,"Robert Woods, WR",BUF,2,16,8.0,13,0,0,1.1,0,1
205,"Brandon LaFell, WR",CAR,2,15,7.5,9,0,0,0.9,0,1
 ,"Jacoby Ford, WR",OAK,5,15,3.0,4,0,0,1.1,0,0
 ,"Charles Clay, RB",MIA,7,15,2.1,13,0,1,0.9,0,2
 ,"Skye Dawson, WR",TB,2,15,7.5,14,0,0,2.1,0,1
209,"Bernard Scott, RB",BAL,4,14,3.5,9,0,0,7.0,0,0
 ,"Kirk Cousins, QB",WSH,4,14,3.5,6,0,0,2.8,0,2
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"T.J. Graham, WR",BUF,4,14,3.5,14,0,0,0.9,0,2
 ,"Eric Page, WR",TB,2,14,7.0,19,0,0,0.9,0,1
 ,"Jeff Demps, RB",TB,1,14,14.0,14,0,0,7.0,0,1
214,"Josh Morgan, WR",WSH,2,13,6.5,9,0,0,0.9,0,1
 ,"Bruce Miller, RB",SF,7,13,1.9,4,0,0,0.9,0,3
 ,"Marquise Goodwin, WR",BUF,3,13,4.3,17,0,0,1.1,0,1
217,"Isaac Redman, RB",PIT,10,12,1.2,8,0,0,4.0,1,0
 ,"Phillip Tanner, RB",DAL,9,12,1.3,9,0,1,0.8,1,2
219,"Anquan Boldin, WR",SF,2,11,5.5,11,0,0,0.7,0,1
 ,"Julian Edelman, WR",NE,2,11,5.5,7,0,0,0.7,0,2
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Jeremy Kerley, WR",NYJ,4,11,2.8,8,0,0,0.9,0,0
222,"Stevie Johnson, WR",BUF,1,10,10.0,10,0,0,0.8,0,1
 ,"James Develin, RB",NE,4,10,2.5,4,0,1,0.6,0,4
 ,"Kenny Stills, WR",NO,3,10,3.3,4,0,0,0.6,0,0
 ,"Spencer Ware, RB",SEA,3,10,3.3,5,0,0,5.0,0,1
226,"Marlon Moore, WR",MIA/SF,1,9,9.0,9,0,0,1.5,0,0
 ,"Mikel Leshoure, RB",DET,2,9,4.5,5,0,0,3.0,0,0
 ,"Cierre Wood, RB",HOU,3,9,3.0,5,0,0,3.0,0,0
229,"Larry Fitzgerald, WR",ARI,2,8,4.0,4,0,0,0.5,0,0
 ,"Kyle Orton, QB",DAL,1,8,8.0,8,0,0,2.7,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Shiloh Keo, FS",HOU,1,8,8.0,8,0,0,0.5,0,1
 ,"Chris Givens, WR",STL,3,8,2.7,16,0,0,0.5,0,1
 ,"Ray Graham, RB",HOU,4,8,2.0,4,0,0,8.0,0,0
234,"Andre Caldwell, WR",DEN,1,7,7.0,7,0,0,0.4,0,0
 ,"Trindon Holliday, WR",DEN,1,7,7.0,7,0,0,0.5,0,0
 ,"Julio Jones, WR",ATL,1,7,7.0,7,0,0,1.4,0,1
 ,"Stanley Havili, FB",IND,7,7,1.0,4,0,0,0.5,0,1
 ,"Kenjon Barner, RB",CAR,6,7,1.2,2,0,0,0.9,0,0
239,"Donnie Avery, WR",KC,2,6,3.0,4,0,0,0.4,0,0
 ,"Dwayne Harris, WR",DAL,1,6,6.0,6,0,0,0.5,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
241,"Doug Baldwin, WR",SEA,2,6,3.0,3,0,0,0.4,0,0
 ,"M.D. Jennings, FS",GB,1,6,6.0,6,0,0,0.4,0,0
 ,"T.Y. Hilton, WR",IND,2,6,3.0,3,0,0,0.4,0,0
 ,"A.J. Jenkins, WR",KC,2,6,3.0,5,0,0,0.4,0,0
 ,"Jamize Olawale, RB",OAK,3,6,2.0,4,0,0,0.4,0,0
246,"Reggie Wayne, WR",IND,1,5,5.0,5,0,0,0.7,0,0
 ,"Dexter McCluster, WR",KC,8,5,0.6,5,0,0,0.3,0,0
 ,"Armond Smith, RB",CAR,4,5,1.3,5,0,0,1.0,0,0
249,"Eric Weddle, DB",SD,2,4,2.0,2,0,0,0.3,0,2
 ,"Matt Flynn, QB",GB/OAK,3,4,1.3,2,0,0,2.0,2,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Antonio Brown, WR",PIT,7,4,0.6,10,0,0,0.3,0,2
 ,"Sheldon Richardson, DT",NYJ,4,4,1.0,1,0,2,0.3,0,2
 ,"Terrance Williams, WR",DAL,3,4,1.3,5,0,0,0.3,0,0
 ,"Ace Sanders, WR",JAX,2,4,2.0,4,0,0,0.3,0,1
 ,"Ronnie Wingo Jr., RB",BUF,1,4,4.0,4,0,0,2.0,0,0
256,"Carson Palmer, QB",ARI,27,3,0.1,10,0,0,0.2,0,1
 ,"Corey Lynch, DB",TEN/IND,1,3,3.0,3,0,0,0.6,0,0
 ,"Andrew Hawkins, WR",CIN,2,3,1.5,6,0,0,0.4,1,1
 ,"Anthony Sherman, RB",KC,2,3,1.5,2,0,0,0.2,0,1
 ,"Derrick Coleman, RB",SEA,2,3,1.5,4,0,0,0.3,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Sam Martin, P",DET,2,3,1.5,3,0,0,0.2,2,0
262,"Greg Jones, RB",HOU,2,2,1.0,4,0,0,0.1,0,0
 ,"Brad Smith, WR",PHI,2,2,1.0,2,0,0,0.3,1,0
 ,"DeSean Jackson, WR",PHI,3,2,0.7,8,0,0,0.1,0,0
 ,"Bear Pascoe, TE",NYG,1,2,2.0,2,0,0,0.1,0,0
 ,"Shaun Draughn, RB",BAL,4,2,0.5,3,0,0,0.7,0,1
 ,"Brock Osweiler, QB",DEN,3,2,0.7,4,0,0,0.5,0,1
 ,"Jeremy Stewart, RB",OAK,2,2,1.0,2,0,1,0.2,0,1
 ,"Tim Wright, TE",TB,1,2,2.0,2,0,0,0.1,0,0
270,"Tarvaris Jackson, QB",SEA,4,1,0.3,5,0,1,0.3,0,1
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Leon Washington, RB",TEN/NE,1,1,1.0,1,0,0,0.5,0,0
 ,"Danny Amendola, WR",NE,1,1,1.0,1,0,0,0.1,0,0
 ,"Will Ta'ufo'ou, RB",JAX,1,1,1.0,1,0,0,0.1,0,0
 ,"Dez Bryant, WR",DAL,1,1,1.0,1,0,0,0.1,0,0
 ,"Richie Brockel, TE",CAR,1,1,1.0,1,0,0,0.1,0,0
 ,"Josh Vaughan, RB",ATL,1,1,1.0,1,0,0,0.2,0,0
277,"Vincent Jackson, WR",TB,1,0,0.0,0,0,0,0.0,0,0
 ,"Derek Anderson, QB",CAR,5,0,0.0,2,0,0,0.0,0,1
 ,"Michael Robinson, FB",SEA,1,0,0.0,0,0,0,0.0,0,0
 ,"Steve Weatherford, P",NYG,1,0,0.0,0,0,0,0.0,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
281,"Jacoby Jones, WR",BAL,2,0,0.0,4,0,0,0.0,0,0
 ,"Brandon Fields, P",MIA,1,0,0.0,0,0,0,0.0,1,0
 ,"Brett Kern, P",TEN,2,0,0.0,0,0,0,0.0,2,0
 ,"Darius Reynaud, WR",TEN/NYJ,1,0,0.0,0,0,0,0.0,0,0
 ,"Kevin Huber, P",CIN,1,0,0.0,0,0,0,0.0,1,0
 ,"Armanti Edwards, WR",CLE/CAR,1,0,0.0,0,0,0,0.0,0,0
 ,"Chris Maragos, DB",SEA,1,0,0.0,0,0,0,0.0,1,0
 ,"Evan Royster, RB",WSH,2,0,0.0,0,0,0,0.0,0,0
 ,"T.J. Yates, QB",HOU,1,0,0.0,0,0,0,0.0,0,0
 ,"Bryan Anger, P",JAX,1,0,0.0,0,0,0,0.0,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
 ,"Da'Rick Rogers, WR",IND,1,0,0.0,0,0,0,0.0,0,0
292,"Robert Meachem, WR",NO,2,-1,-0.5,4,0,0,-0.1,0,0
 ,"Justin Blackmon, WR",JAX,1,-1,-1.0,-1,0,0,-0.3,0,0
294,"Matt Hasselbeck, QB",IND,2,-2,-1.0,-1,0,0,-0.7,0,0
 ,"Shaun Hill, QB",DET,2,-2,-1.0,-1,0,0,-2.0,0,0
 ,"Curtis Painter, QB",NYG,3,-2,-0.7,0,0,0,-0.7,2,0
 ,"Ricardo Lockette, WR",SEA,1,-2,-2.0,-2,0,0,-0.3,0,0
 ,"Matt Barkley, QB",PHI,2,-2,-1.0,-1,0,0,-0.7,0,0
 ,"Marlon Brown, WR",BAL,1,-2,-2.0,-2,0,0,-0.1,0,0
300,"Saalim Hakim, WR",NYJ,2,-3,-1.5,8,0,0,-1.0,0,0
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
