RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
1,"Arian Foster, RB",HOU,327,"1,616",4.9,74,12,16,101.0,3,89
2,"Jamaal Charles, RB",KC,230,"1,467",6.4,80,10,5,91.7,2,70
3,"Michael Turner, RB",ATL,334,"1,371",4.1,55,9,12,85.7,2,71
4,"Chris Johnson, RB",TEN,316,"1,364",4.3,76,13,11,85.3,2,55
5,"Maurice Jones-Drew, RB",JAX,299,"1,324",4.4,37,8,5,94.6,2,75
6,"Adrian Peterson, RB",MIN,283,"1,298",4.6,80,9,12,86.5,1,70
7,"Rashard Mendenhall, RB",PIT,324,"1,273",3.9,50,11,13,79.6,2,61
8,"Steven Jackson, RB",STL,330,"1,241",3.8,42,7,6,77.6,1,60
9,"Ahmad Bradshaw, RB",NYG,276,"1,235",4.5,48,13,8,77.2,7,61
10,"Ray Rice, RB",BAL,307,"1,220",4.0,50,4,5,76.3,0,51
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
11,"Peyton Hillis, RB",CLE,270,"1,177",4.4,48,5,11,73.6,8,57
12,"Darren McFadden, RB",OAK,223,"1,157",5.2,57,14,7,89.0,3,45
13,"Cedric Benson, RB",CIN,321,"1,111",3.5,26,2,7,69.4,7,59
14,"LeSean McCoy, RB",PHI,207,"1,080",5.2,62,7,7,72.0,1,48
15,"Matt Forte, RB",CHI,237,"1,069",4.5,68,9,6,66.8,0,42
16,"BenJarvus Green-Ellis, RB",NE,229,"1,008",4.4,33,4,13,63.0,0,62
17,"LeGarrette Blount, RB",TB,201,"1,007",5.0,53,10,6,77.5,3,38
18,"Fred Jackson, RB",BUF,222,927,4.2,39,6,5,57.9,4,42
19,"LaDainian Tomlinson, RB",NYJ,219,914,4.2,31,5,6,60.9,2,42
20,"Thomas Jones, RB",KC,245,896,3.7,70,3,6,56.0,3,39
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
21,"Frank Gore, RB",SF,203,853,4.2,64,6,3,77.5,3,42
22,"Brandon Jacobs, RB",NYG,147,823,5.6,73,10,9,51.4,2,39
23,"Felix Jones, RB",DAL,185,800,4.3,34,3,1,50.0,1,44
24,"Knowshon Moreno, RB",DEN,182,779,4.3,35,3,5,59.9,3,34
25,"Jonathan Stewart, RB",CAR,178,770,4.3,48,5,2,55.0,4,32
26,"Shonn Greene, RB",NYJ,185,766,4.1,23,1,2,51.1,2,40
27,"Ryan Torain, RB",WSH,164,742,4.5,54,7,4,74.2,2,35
28,"Tim Hightower, RB",ARI,153,736,4.8,80,8,5,46.0,4,30
29,"Mike Tolbert, RB",SD,182,735,4.0,36,6,11,49.0,5,42
30,"Ronnie Brown, RB",MIA,200,734,3.7,51,1,5,45.9,3,40
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
31,"Chris Ivory, RB",NO,137,716,5.2,55,5,5,59.7,4,44
32,"Brandon Jackson, RB",GB,190,703,3.7,71,2,3,43.9,1,27
33,"Ryan Mathews, RB",SD,158,678,4.3,31,4,7,56.5,4,25
34,"Michael Vick, QB",PHI,100,676,6.8,35,8,9,56.3,4,38
35,"Ricky Williams, RB",MIA,159,673,4.2,45,3,2,42.1,4,26
36,"Michael Bush, RB",OAK,158,655,4.1,30,5,8,46.8,0,32
37,"Marshawn Lynch, RB",BUF/SEA,165,573,3.5,39,5,6,47.8,1,29
38,"Jahvid Best, RB",DET,171,555,3.2,45,3,4,34.7,1,25
39,"Danny Woodhead, RB",NE/NYJ,97,547,5.6,36,3,5,39.1,1,23
40,"Justin Forsett, RB",SEA,118,523,4.4,32,5,2,32.7,0,25
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
41,"Donald Brown, RB",IND,129,497,3.9,49,4,2,38.2,0,26
42,"Joseph Addai, RB",IND,116,495,4.3,46,1,4,61.9,2,31
43,"Rashad Jennings, RB",JAX,84,459,5.5,74,1,4,35.3,0,25
44,"Mike Goodson, RB",CAR,103,452,4.4,45,3,3,28.3,4,20
45,"Cadillac Williams, RB",TB,125,437,3.5,45,3,2,27.3,1,19
46,"Beanie Wells, RB",ARI,116,397,3.4,24,1,2,30.5,1,18
47,"Willis McGahee, RB",BAL,100,380,3.8,30,3,5,25.3,2,18
48,"Marion Barber, RB",DAL,113,374,3.3,25,3,4,28.8,0,29
49,"Josh Freeman, QB",TB,68,364,5.4,33,2,0,22.8,2,29
50,"DeAngelo Williams, RB",CAR,87,361,4.1,39,4,1,60.2,1,12
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
51,"Aaron Rodgers, QB",GB,64,356,5.6,27,1,4,23.7,2,22
52,"Brian Westbrook, RB",SF,77,340,4.4,30,1,4,24.3,0,17
53,"Maurice Morris, RB",DET,90,336,3.7,26,1,5,24.0,1,19
54,"Jason Snelling, FB",ATL,87,324,3.7,30,1,2,23.1,1,21
55,"Toby Gerhart, RB",MIN,81,322,4.0,21,1,1,21.5,1,13
56,"Derrick Ward, RB",HOU,50,315,6.3,38,3,4,19.7,0,17
57,"Brad Smith, WR",NYJ,38,299,7.9,53,4,1,18.7,1,12
 ,"Bernard Scott, RB",CIN,61,299,4.9,18,0,1,18.7,0,16
59,"C.J. Spiller, RB",BUF,74,283,3.8,20,1,0,20.2,2,10
60,"John Kuhn, RB",GB,84,281,3.3,18,0,4,17.6,1,26
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
61,"David Garrard, QB",JAX,66,279,4.2,25,3,5,19.9,5,28
62,"Ryan Fitzpatrick, QB",BUF,40,269,6.7,22,2,0,20.7,4,13
 ,"Pierre Thomas, RB",NO,83,269,3.2,16,0,2,44.8,0,19
64,"Chester Taylor, RB",CHI,112,267,2.4,24,1,3,16.7,0,16
 ,"Darren Sproles, RB",SD,50,267,5.3,34,3,0,16.7,1,10
66,"Keiland Williams, RB",WSH,65,261,4.0,32,2,3,17.4,0,14
67,"Isaac Redman, RB",PIT,52,247,4.8,23,1,0,15.4,1,21
68,"Tashard Choice, RB",DAL,66,243,3.7,26,2,3,15.2,0,14
69,"Jerome Harrison, RB",CLE/PHI,40,239,6.0,50,3,1,29.9,1,9
 ,"Javon Ringer, RB",TEN,51,239,4.7,54,1,2,14.9,0,10
RK,PLAYER,TEAM,ATT,YDS,YDS/A,LONG,20+,TD,YDS/G,FUM,1DN
71,"Boobie Dixon, RB",SF,70,237,3.4,34,1,2,14.8,0,11
72,"Jay Cutler, QB",CHI,50,232,4.6,25,1,1,15.5,1,15
73,"Clinton Portis, RB",WSH,54,227,4.2,27,1,2,45.4,0,12
 ,"Tim Tebow, QB",DEN,43,227,5.3,40,2,6,25.2,1,12
