RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
1,"Andre Johnson, WR",HOU,115,170,"1,575",13.7,8,65,20,98.4,1,473,79
2,"Larry Fitzgerald, WR",ARI,96,154,"1,431",14.9,12,78,20,89.4,1,446,66
3,"Steve Smith Sr., WR",CAR,78,129,"1,421",18.2,6,65,23,101.5,1,429,59
4,"Roddy White, WR",ATL,88,148,"1,382",15.7,7,70,18,86.4,1,370,61
5,"Calvin Johnson, WR",DET,78,151,"1,331",17.1,12,96,21,83.2,2,489,52
6,"Greg Jennings, WR",GB,80,139,"1,292",16.2,9,63,21,80.8,1,368,55
7,"Brandon Marshall, WR",DEN,104,183,"1,265",12.2,6,47,16,84.3,3,411,65
8,"Antonio Bryant, WR",TB,83,137,"1,248",15.0,7,71,16,78.0,1,373,60
9,"Wes Welker, WR",NE,111,150,"1,165",10.5,3,64,13,72.8,1,751,57
10,"Reggie Wayne, WR",IND,82,131,"1,145",14.0,6,65,13,71.6,0,317,63
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
11,"Vincent Jackson, WR",SD,59,100,"1,098",18.6,7,60,16,68.6,1,204,52
12,"Tony Gonzalez, TE",KC,96,154,"1,058",11.0,10,35,10,66.1,0,258,67
13,"Terrell Owens, WR",DAL,69,140,"1,052",15.2,10,75,15,65.8,1,274,38
14,"Santana Moss, WR",WSH,79,137,"1,044",13.2,6,67,15,65.3,1,428,50
15,"Hines Ward, WR",PIT,81,124,"1,043",12.9,7,49,15,65.2,1,411,55
16,"Anquan Boldin, WR",ARI,89,127,"1,038",11.7,11,79,10,86.5,3,571,56
17,"Derrick Mason, WR",BAL,80,121,"1,037",13.0,5,54,12,64.8,2,234,60
18,"Dwayne Bowe, WR",KC,86,158,"1,022",11.9,7,36,12,63.9,0,386,49
19,"Lee Evans, WR",BUF,63,101,"1,017",16.1,3,87,13,63.6,2,267,46
20,"Donald Driver, WR",GB,74,115,"1,012",13.7,5,71,13,63.3,0,348,44
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
21,"Randy Moss, WR",NE,69,125,"1,008",14.6,11,76,14,63.0,3,350,46
22,"Steve Breaston, WR",ARI,77,113,"1,006",13.1,3,58,13,62.9,0,245,44
23,"Eddie Royal, WR",DEN,91,129,980,10.8,5,93,8,65.3,1,343,43
24,"Bernard Berrian, WR",MIN,48,96,964,20.1,7,99,14,60.3,0,320,34
25,"Jason Witten, TE",DAL,81,121,952,11.8,4,42,14,59.5,0,330,50
26,"Lance Moore, WR",NO,79,121,928,11.7,10,70,8,58.0,0,286,40
27,"Muhsin Muhammad, WR",CAR,65,108,923,14.2,5,60,12,57.7,2,322,46
28,"DeSean Jackson, WR",PHI,62,121,912,14.7,2,60,17,57.0,1,263,43
29,"T.J. Houshmandzadeh, WR",CIN,92,135,904,9.8,4,46,10,60.3,0,366,51
30,"Kevin Walter, WR",HOU,60,95,899,15.0,8,61,15,56.2,0,305,39
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
31,"Braylon Edwards, WR",CLE,55,139,873,15.9,3,70,15,54.6,0,216,42
32,"Owen Daniels, TE",HOU,70,101,862,12.3,2,35,10,53.9,2,411,46
33,"Jerricho Cotchery, WR",NYJ,71,111,858,12.1,5,56,11,53.6,2,350,43
34,"Laveranues Coles, WR",NYJ,70,117,850,12.1,7,54,12,53.1,1,294,44
35,"Chris Cooley, TE",WSH,83,111,849,10.2,1,28,7,53.1,3,459,43
36,"Dallas Clark, TE",IND,77,107,848,11.0,6,33,13,56.5,2,360,41
37,"Isaac Bruce, WR",SF,61,108,835,13.7,7,63,14,52.2,0,199,43
38,"Santonio Holmes, WR",PIT,55,114,821,14.9,5,48,10,54.7,2,211,40
39,"Torry Holt, WR",STL,64,119,796,12.4,3,45,9,49.8,0,162,40
40,"Devery Henderson, WR",NO,32,56,793,24.8,3,84,13,49.6,1,263,27
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
41,"Ted Ginn, WR",MIA,56,93,790,14.1,2,64,7,49.4,3,192,36
42,"Zach Miller, TE",OAK,56,87,778,13.9,1,63,16,48.6,0,259,32
43,"Michael Jenkins, WR",ATL,50,81,777,15.5,3,62,13,48.6,0,176,37
44,"Matt Jones, WR",JAX,65,108,761,11.7,2,35,9,63.4,1,193,47
45,"Marques Colston, WR",NO,47,89,760,16.2,5,70,12,69.1,1,243,35
46,"Antonio Gates, TE",SD,60,92,704,11.7,8,34,8,44.0,1,227,39
47,"Mark Clayton, WR",BAL,41,82,695,17.0,3,70,9,43.4,0,173,23
48,"Donnie Avery, WR",STL,53,102,674,12.7,3,69,8,44.9,0,201,30
49,"Devin Hester, WR",CHI,51,91,665,13.0,3,65,9,44.3,1,200,29
50,"Anthony Gonzalez, WR",IND,57,79,664,11.6,4,58,7,41.5,0,184,36
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
51,"Justin Gage, WR",TEN,34,73,651,19.1,6,56,13,54.3,0,180,28
52,"Bobby Wade, WR",MIN,53,88,645,12.2,2,59,8,40.3,2,238,32
 ,"Tony Scheffler, TE",DEN,40,60,645,16.1,3,72,13,49.6,1,201,28
54,"Marvin Harrison, WR",IND,60,107,636,10.6,5,67,4,42.4,1,162,41
55,"Nate Washington, WR",PIT,40,78,631,15.8,3,65,7,39.4,0,141,25
56,"John Carlson, TE",SEA,55,80,627,11.4,5,33,10,39.2,0,236,36
57,"Greg Camarillo, WR",MIA,55,83,613,11.1,2,33,6,55.7,0,175,31
58,"Josh Reed, WR",BUF,56,79,597,10.7,1,24,6,45.9,0,145,36
59,"Visanthe Shiancoe, TE",MIN,42,59,596,14.2,7,40,12,37.3,0,180,30
 ,"Domenik Hixon, WR",NYG,43,74,596,13.9,2,41,5,37.3,0,147,29
RK,PLAYER,TEAM,REC,TAR,YDS,AVG,TD,LONG,20+,YDS/G,FUM,YAC,1DN
61,"Antwaan Randle El, WR",WSH,53,87,593,11.2,4,31,6,37.1,0,184,34
62,"Amani Toomer, WR",NYG,48,91,580,12.1,4,40,6,36.3,1,140,30
63,"Billy Miller, TE",NO,45,63,579,12.9,1,41,11,38.6,0,193,30
64,"Greg Olsen, TE",CHI,54,82,574,10.6,5,52,6,35.9,2,255,31
 ,"Steve Smith, WR",NYG,57,83,574,10.1,1,30,3,35.9,1,136,35
66,"Maurice Jones-Drew, RB",JAX,62,76,565,9.1,2,26,4,35.3,2,572,27
67,"Bo Scaife, TE",TEN,58,83,561,9.7,2,44,4,35.1,1,372,29
68,"Davone Bess, WR",MIA,54,75,554,10.3,1,37,5,34.6,0,265,29
69,"Patrick Crayton, WR",DAL,39,70,550,14.1,4,55,8,34.4,1,204,24
70,"Bryant Johnson, WR",SF,45,75,546,12.1,3,42,6,34.1,0,153,28
